,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Niagara County, New York: Summary level: 050, state:36> county:063",214249,104322,5845,5675,6602,4346,3400,1286,1896,3938,6328,6007,5828,5770,7205,8899,8854,2850,3794,3185,2581,3346,2406,2226,2055,109927,5259,5224,7171,3824,2877,2027,1618,3960,5878,6294,5721,6776,7626,9115,10244,2242,3865,2145,2996,4900,3088,3295,3782
"Oneida County, New York: Summary level: 050, state:36> county:065",233585,116384,6402,5948,8678,4176,3800,2730,920,5385,7169,7342,6500,7083,7794,9542,7857,2793,4810,2357,3591,3943,2636,2303,2625,117201,6286,6802,6573,4706,3935,1732,1880,3871,6601,6329,5809,7451,8065,8827,7989,3504,4262,3469,2910,4602,3212,3537,4849
"Onondaga County, New York: Summary level: 050, state:36> county:067",468387,226077,13742,13754,15740,9701,7540,4233,3181,10138,15841,13836,12184,13780,15738,17236,15895,5410,8377,4335,5651,6595,4998,4696,3476,242310,13358,13590,14538,8852,9286,4510,3387,8967,15745,14520,13804,13995,16849,18283,18028,5816,8494,6449,5768,7569,6151,6642,7709
"Ontario County, New York: Summary level: 050, state:36> county:069",109103,52513,2979,2929,3624,2122,1543,1115,976,1644,3069,2586,2468,3478,3862,4089,4090,1448,2448,1667,1300,1937,1496,924,719,56590,2695,2793,3754,2218,1566,999,818,2071,2769,3168,3089,3685,3874,4484,4174,1540,2474,1493,1451,2509,2128,1189,1649
"Orange County, New York: Summary level: 050, state:36> county:071",375592,187696,12776,13518,15460,8846,6625,4020,2721,9361,10157,10746,10623,12120,14166,14469,11928,4482,5693,2848,4797,4797,2526,2451,2566,187896,12086,13948,13502,8561,4905,2138,2326,8000,9911,10641,11205,12971,14879,14495,12584,4716,5557,2868,5793,5147,3647,3064,4952
"Oswego County, New York: Summary level: 050, state:36> county:075",121165,60589,3320,3635,3943,2386,2382,982,1106,3030,4082,3384,2941,3778,4738,4844,4387,1569,2426,1581,1234,2026,1576,956,283,60576,3359,2607,4707,2423,2325,1631,1175,1686,3496,3319,4267,2872,4354,4944,3883,1353,2897,1315,1770,2035,1588,970,1600
"Putnam County, New York: Summary level: 050, state:36> county:079",99645,50034,2692,3218,3050,2585,1629,700,734,1376,2784,2844,3032,2835,4594,4405,4377,1390,1381,1183,1524,1555,974,566,606,49611,1976,3392,2819,2138,1378,750,639,1225,1892,2696,3693,2873,4269,4710,4330,1621,1554,907,2180,1406,1062,1252,849
"Queens County, New York: Summary level: 050, state:36> county:081",2296175,1115860,72766,66115,62642,39116,25420,14803,15989,50383,94654,92963,84215,80730,79051,79363,72633,25905,32010,20307,21847,31730,23888,15263,14067,1180315,69670,60966,60992,37234,23680,15659,14772,50285,93368,92954,81951,82698,82134,84773,80488,28662,39092,24185,31485,38263,30564,24956,31484
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159918,79457,4685,4407,4728,3438,3536,2188,1140,3244,5642,4255,4720,5276,5061,6226,5795,2202,2803,2319,1707,2052,1457,1361,1215,80461,4004,4219,4446,2773,2480,1024,909,3409,5576,5021,3824,5644,5866,6681,6559,2090,2562,2486,1834,2529,2135,1395,2995
"Richmond County, New York: Summary level: 050, state:36> county:085",472621,228464,12929,15921,14729,10555,5907,4153,3642,9413,15196,14589,13682,16482,16825,16859,15040,6123,8105,5919,5326,6634,4320,3627,2488,244157,14879,12987,16100,8292,5303,3706,3405,9392,15015,15312,13335,19004,17795,18560,17907,6250,8601,6466,6429,8031,5237,5515,6636
"Rockland County, New York: Summary level: 050, state:36> county:087",320903,157422,12334,13978,11611,7898,4364,1953,1916,7206,9442,8655,8987,9438,10681,10808,9904,3320,5081,3480,3234,4541,3647,2580,2364,163481,11979,12606,11506,7355,4354,2529,1852,6029,8622,8939,9357,9276,11085,11435,10915,3857,4839,3793,4499,5435,4365,3652,5202
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111963,56605,3074,3097,3757,2045,2969,1159,1840,2848,3803,3193,3304,3262,3624,4083,4145,1213,1694,1778,1344,1484,1424,562,903,55358,2983,3157,3248,1837,3324,1407,1240,2148,3058,2930,2814,3286,3609,4039,3794,995,2283,1793,1156,1864,1624,1250,1519
"Saratoga County, New York: Summary level: 050, state:36> county:091",223865,110438,5704,6517,8247,4262,2736,1735,1479,3742,6623,6794,5825,8566,9035,8973,9292,1732,3880,3323,2046,4233,2325,2183,1186,113427,5671,6027,7288,4447,2547,956,1992,3409,6199,7055,6918,8309,8719,9778,8398,2629,4448,3362,2237,4832,2806,2017,3383
"Schenectady County, New York: Summary level: 050, state:36> county:093",155333,73937,4762,5043,4476,2595,1913,1313,1712,2504,5307,4550,4420,4739,4731,5796,5468,1930,2839,1675,2102,1853,1151,1405,1653,81396,4374,5172,5182,2715,3397,1270,886,2811,4354,5993,4920,4202,5233,6366,5277,2948,2713,2227,2125,1684,2135,1619,3793
"Steuben County, New York: Summary level: 050, state:36> county:101",98650,48660,2860,3146,3245,1906,1220,408,761,1605,2631,2851,3022,3006,3432,3927,3623,1566,1928,1460,950,2002,1303,993,815,49990,2650,2730,3426,2201,1076,506,631,1701,2583,2763,2298,3647,3577,3961,3599,1719,1725,1111,1398,2224,1828,1187,1449
"Suffolk County, New York: Summary level: 050, state:36> county:103",1499738,738418,41511,50734,48364,33263,21137,9298,9655,32091,44160,42092,43836,51802,59491,61394,51912,18517,22859,15644,16649,24729,16485,11927,10868,761320,39709,45399,48708,31610,19352,10834,9381,26770,40531,41189,41617,55916,62037,62889,57376,18047,22871,18574,20103,28685,22432,19755,17535
"Sullivan County, New York: Summary level: 050, state:36> county:105",76665,40493,2604,2704,2576,1665,1627,501,459,1486,2014,2172,1851,2588,2686,3523,3203,1090,1664,1041,1409,1349,1002,530,749,36172,1714,1786,2536,1105,954,270,743,1582,2040,2421,1930,2398,2464,2804,2522,1514,1342,1277,947,1299,1048,481,995
"Tompkins County, New York: Summary level: 050, state:36> county:109",103617,51111,2139,2112,2702,1915,4908,2875,2062,3792,4305,2703,2791,2331,2740,3013,2752,1113,1424,977,1352,1116,797,861,331,52506,2217,2916,1468,1282,5838,1791,1848,3732,3713,2992,3086,2639,2845,3011,3128,1329,1680,1201,979,1652,1322,868,969
"Ulster County, New York: Summary level: 050, state:36> county:111",180998,89760,4334,4944,5055,2960,2683,1290,987,5259,4849,4546,4977,6827,7225,7308,6138,2505,4853,1873,2298,3851,2883,1392,723,91238,3687,4705,5783,2815,3235,1806,1031,3097,4882,4408,4300,5895,7554,7515,6730,2411,4838,2522,2606,3841,2385,2848,2344
"Warren County, New York: Summary level: 050, state:36> county:113",65337,32127,1523,1610,2154,1156,871,249,490,1082,1762,1855,1995,1632,2609,2567,2858,1326,812,819,944,1649,1007,475,682,33210,1662,1592,1769,1131,799,165,383,1145,1744,1739,1732,1990,2357,3081,2785,1072,1109,1198,1220,1252,1121,1074,1090
"Wayne County, New York: Summary level: 050, state:36> county:117",92473,45688,2610,3445,2725,1844,975,679,484,1989,2283,2510,1905,3091,3781,3989,3590,1107,1933,953,1010,2131,810,1228,616,46785,2371,2557,3301,2005,1017,621,429,1429,2334,2713,1933,3402,3650,4128,4258,1080,1560,1221,1387,1907,1503,1202,777
"Westchester County, New York: Summary level: 050, state:36> county:119",968802,468193,28486,33849,31541,21170,13198,5339,5878,18272,27686,27951,30140,32221,35670,36152,31386,10624,16508,9441,11198,14174,10564,9142,7603,500609,27141,28794,33199,20016,13415,5747,5658,16819,26360,28493,29749,35965,38415,38820,37684,12176,14904,12005,13341,17021,15880,13084,15923
