,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Rensselaer County, New York: Summary level: 050, state:36> county:083",158714,78731,4199,4285,4440,2632,3394,1473,924,3302,5498,6101,5727,3238,4399,5249,5772,1913,3493,1680,2548,3643,2022,1482,1317,79983,3948,4098,4059,2977,2492,650,1734,2487,5238,5695,4519,5167,4394,5835,4727,2463,4008,1970,2758,3805,2228,2003,2728
"Queens County, New York: Summary level: 050, state:36> county:081",2253858,1094029,70188,60523,63990,36904,22287,13576,9846,38436,88898,91572,79470,72570,72554,73507,78722,26157,38478,25422,28006,40645,26259,17236,18783,1159829,66670,55612,63104,34336,20590,12803,12442,38852,90733,88823,78387,75898,75221,77266,82765,27418,46800,25696,35578,52642,36573,29061,32559
"New York County, New York: Summary level: 050, state:36> county:061",1628706,771278,38723,31586,30050,16722,14792,7245,7703,34782,89128,86207,66695,49658,48725,47998,47055,16266,24614,16226,18213,29599,19802,14452,15037,857428,37408,28679,31794,16909,19184,10214,10280,41084,98118,88278,60302,57363,49997,48631,47340,21560,27013,19243,24679,41076,30381,23935,23960
"Cayuga County, New York: Summary level: 050, state:36> county:011",76576,38865,1893,1697,2379,1342,707,748,245,1230,2494,2413,2966,2330,2662,2904,2975,1056,1888,846,1419,1996,1039,959,677,37711,1889,1872,2442,1204,832,395,335,1306,2094,1980,2222,1992,2118,2536,3353,1518,1516,1021,1298,2170,1633,534,1451
"Rockland County, New York: Summary level: 050, state:36> county:087",325789,159798,12954,11960,13798,8308,4159,1743,2038,7310,10292,8894,9874,8802,9143,9141,9461,4588,5009,3587,3248,6195,4272,2939,2083,165991,13738,11178,13557,7075,4334,2202,1280,6581,9699,8434,9602,8962,9160,10375,8942,4490,6937,2969,4726,7416,6679,3901,3754
"Niagara County, New York: Summary level: 050, state:36> county:063",209281,102656,5240,5414,6797,3559,2481,1218,1676,2910,7056,7342,6279,5122,6048,6607,7750,3460,5152,3250,3730,4825,3089,1963,1688,106625,5784,5566,5866,3472,2314,514,1143,4183,6479,6455,6601,5190,6319,7227,8732,3164,5084,2579,4362,5382,4008,2931,3270
"Nassau County, New York: Summary level: 050, state:36> county:059",1356924,662102,37828,41322,43138,27002,16788,7981,7299,27705,42024,38993,38877,42153,42614,46463,49248,20048,24895,16739,20352,27181,17251,13202,12999,694822,36258,38977,40784,25646,15778,8093,7543,25802,40093,38601,38240,44544,44482,49870,50645,20673,29849,17463,22883,32291,21658,19793,24856
"Jefferson County, New York: Summary level: 050, state:36> county:045",109834,57906,4132,3786,3250,2261,1486,1267,1925,4244,5662,4737,3721,3185,2405,2946,2881,1555,1523,1117,1283,1884,1055,860,741,51928,4159,3521,2898,1934,1471,658,872,1951,3689,4369,3390,2428,2390,2910,3411,1668,1524,1088,1477,2155,1933,1408,624
"Suffolk County, New York: Summary level: 050, state:36> county:103",1476601,727380,40144,43048,44520,29976,19740,9430,9965,28587,48300,43641,44276,42248,48226,55246,53495,22279,31962,19345,20677,26810,22617,11606,11242,749221,38811,38350,45616,28435,17949,7433,11306,27476,44848,41087,43934,41868,49888,57180,57305,24881,29394,17342,21136,38047,25764,19051,22120
"Oswego County, New York: Summary level: 050, state:36> county:075",117124,58818,3461,2465,4496,2438,2351,1193,1032,1875,3693,3756,2996,3348,3260,4125,4280,2799,2100,1563,1024,3163,1457,895,1048,58306,3140,3079,3545,1990,2515,1495,638,1529,3449,3524,3763,2557,3604,4174,4813,1765,2270,944,2321,2634,2042,1149,1366
"Wayne County, New York: Summary level: 050, state:36> county:117",89918,45138,2742,2970,2481,1934,962,637,276,1374,2884,2246,2527,2618,2905,3360,2738,1625,2658,795,1778,2698,1541,762,627,44780,2012,2436,2671,1765,961,640,177,1277,2979,2332,2236,2509,2866,3707,3449,808,2666,1617,1622,1986,1989,960,1115
"Broome County, New York: Summary level: 050, state:36> county:007",190488,94225,5668,4993,5138,3512,4282,2241,2102,5698,5831,4912,4786,4955,4584,5804,6200,3489,3669,2235,3134,4197,3678,1472,1645,96263,5086,4715,4789,2862,3977,2369,2268,4114,6057,4928,5005,5320,4776,5575,7162,2671,3904,2989,3048,4382,4306,3111,2849
"Erie County, New York: Summary level: 050, state:36> county:029",918702,444435,25539,24124,27912,16513,12368,5556,7188,16843,33723,32714,27020,25183,25196,28885,31111,12823,18911,10656,16877,16960,11920,8083,8330,474267,24562,23359,26965,16299,12276,4908,5170,19138,32836,32612,28676,24587,26845,30761,34222,14522,20348,11551,16400,23107,16733,12124,16266
"Sullivan County, New York: Summary level: 050, state:36> county:105",75432,39074,2146,2297,2267,2094,649,254,222,1240,2985,2197,1510,2408,2301,3852,2125,1837,1729,848,1409,2160,1467,745,332,36358,2114,1886,1584,1482,422,949,445,1045,1675,1960,2423,1410,2266,3528,2553,1472,1367,743,1964,2133,1719,489,729
"Orange County, New York: Summary level: 050, state:36> county:071",384940,193819,13845,12718,15688,8702,6454,4249,2861,9540,10988,12031,11345,11221,12348,12854,12681,4992,6831,4805,4299,6425,5273,2257,1412,191121,11979,14132,12164,8578,4587,2626,3321,7176,11097,10969,12100,10971,12739,13144,12162,5019,7534,3559,5061,8852,4485,4553,4313
