,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Jefferson County, New York: Summary level: 050, state:36> county:045",114187,60129,4637,3654,3601,1802,2009,1653,2023,4233,5537,4653,3791,2889,3045,3884,3267,1110,1604,1046,1436,1729,1223,599,704,54058,4210,4264,2991,2014,934,722,746,2451,4644,4258,2791,3210,2825,3356,3415,1191,1832,1234,1320,1985,1195,1264,1206
"Kings County, New York: Summary level: 050, state:36> county:047",2648771,1254273,99255,79633,84381,45881,26264,13296,14369,54512,122618,114374,94820,81740,74470,71449,66983,27267,37629,21884,29308,36319,24724,18565,14532,1394498,94155,77621,79744,44795,25630,15059,16333,56983,131602,120309,102774,88342,85364,83640,79812,35527,45157,31309,39006,44016,38058,28761,30501
"Livingston County, New York: Summary level: 050, state:36> county:051",63799,32213,1271,1599,1483,1570,1622,594,742,1720,2238,1799,1707,1746,1982,2269,2305,936,1669,738,1033,1307,993,609,281,31586,1505,1393,1488,1082,1722,1262,356,1459,1453,1634,1235,1742,2164,2244,2273,1077,1643,741,1093,1445,997,796,782
"Madison County, New York: Summary level: 050, state:36> county:053",70965,35144,1821,2328,1654,1286,1553,784,603,1293,1806,1748,2488,1283,2066,2827,3331,1477,1047,1207,955,1424,837,460,866,35821,1645,1590,2428,1416,2007,537,601,1311,1824,1733,2002,1604,2314,2627,2890,1311,1307,484,1340,1838,1492,446,1074
"Monroe County, New York: Summary level: 050, state:36> county:055",747642,361167,21141,20742,23758,14479,12121,4545,5409,16125,27773,24439,23812,16800,22327,24640,26057,10499,12375,8841,11315,12740,9581,6625,5023,386475,20359,22075,20729,13387,11585,5122,4974,15946,27633,25729,23200,20341,24283,26487,26431,12285,14906,9276,11990,17124,11859,9196,11558
"Nassau County, New York: Summary level: 050, state:36> county:059",1369514,665751,38178,42858,42090,28218,17426,9985,9974,25359,41287,39129,40410,39800,45145,49456,46655,21026,25820,15032,19272,26826,15787,12891,13127,703763,36258,39819,41057,26786,16484,8001,6533,28883,39911,39160,40402,42471,48221,53412,52754,23354,24972,16274,22693,30915,21629,17610,26164
"New York County, New York: Summary level: 050, state:36> county:061",1664727,789155,40737,29143,33702,17054,15089,7363,8432,38169,91978,88609,66918,51458,52787,50402,47565,19590,21606,17850,17810,26701,17653,14315,14224,875572,39286,34410,27704,17537,19735,9822,9667,43608,103809,90598,70306,49584,52493,50754,50553,21804,26232,17674,24906,41507,29340,19719,24524
"Niagara County, New York: Summary level: 050, state:36> county:063",211328,103341,5625,5373,6954,3969,2412,1163,1120,4560,6576,6154,6371,5236,6885,7338,8279,4357,4004,2312,3028,5150,2851,1914,1710,107987,4972,6542,5441,3561,2577,1429,1300,3326,6818,6651,5983,5784,6487,8164,8401,4238,4281,1991,3813,5757,4110,2112,4249
"Oneida County, New York: Summary level: 050, state:36> county:065",231332,114898,6778,7037,7018,4110,3958,2115,1289,4252,7263,8101,7389,5382,7499,8571,8867,2794,3993,3072,3500,4448,2922,1888,2652,116434,6724,6989,6570,3929,3879,1260,1050,3873,7463,6639,6692,4840,7341,8598,9163,2547,4916,3305,3387,5473,3983,3632,4181
"Onondaga County, New York: Summary level: 050, state:36> county:067",465398,224504,13534,14478,13481,9283,7085,3792,4429,8286,15817,14739,13275,11646,13901,15820,16871,7163,7580,5226,6000,8841,5416,3740,4101,240894,12831,13514,13899,8660,8549,3777,2940,9696,16037,15170,14386,12190,14962,16890,17652,7138,9349,5590,7738,9836,8038,5154,6898
"Ontario County, New York: Summary level: 050, state:36> county:069",109899,53462,2627,2319,3668,2466,1666,689,638,2004,3333,2996,3315,2428,3762,3993,4172,2037,1962,1241,2691,2095,1345,1222,793,56437,2763,3374,2768,2494,1225,456,728,2015,2714,2993,3456,2697,4208,4083,4854,1419,2606,1978,2325,2218,2144,1965,954
"Orange County, New York: Summary level: 050, state:36> county:071",382226,192772,13132,13364,15312,9329,7067,3953,3099,8841,11712,11092,12294,10028,13145,13517,13243,5405,5181,2912,4971,6703,4538,1993,1941,189454,11691,13469,13123,8083,5024,1769,2671,7576,11239,10636,11528,11852,13019,13995,13837,4338,6582,3920,4958,7543,4784,3470,4347
"Oswego County, New York: Summary level: 050, state:36> county:075",118478,59393,3188,4317,3031,2389,2441,1545,1201,1782,4018,3283,3187,3419,3778,4520,4717,1753,2339,1545,1772,2117,1409,613,1029,59085,2897,3383,3319,2142,2429,1016,855,2348,3485,3318,2985,3543,3911,4583,4295,2418,1925,1997,1810,2152,1403,1431,1440
"Putnam County, New York: Summary level: 050, state:36> county:079",99323,48880,2420,2306,3132,1748,1693,407,740,1858,2716,2443,3423,2797,4037,4141,3942,1764,1963,1360,1463,1844,1590,447,646,50443,2034,2073,3883,2144,1189,210,364,1675,2373,3597,2814,2999,3606,4537,3974,1817,2559,1656,1086,2139,1199,1011,1504
"Queens County, New York: Summary level: 050, state:36> county:081",2358582,1143636,75125,65402,64292,38146,23473,15990,14118,40408,99143,93683,85295,76152,79321,78876,74719,30497,39836,22648,30054,36361,26779,16740,16578,1214946,70685,61281,62462,36581,22378,13127,11367,48445,100972,92455,89338,75187,81884,83919,84061,31718,43292,28316,33623,48006,37351,25595,32903
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159722,78348,3713,4566,4702,2837,3608,1785,766,3396,5435,5061,4532,4372,5144,5482,4975,2159,4082,2117,2370,3086,1862,1089,1209,81374,4184,4130,4527,2588,2374,1082,1085,3332,5450,5826,5372,4230,5187,5605,5481,2552,3232,2160,2384,3716,2899,1651,2327
"Richmond County, New York: Summary level: 050, state:36> county:085",479458,232018,13978,14504,15794,9331,4854,2016,2834,10793,17257,15011,13153,16432,15886,16617,15685,4896,10448,5696,7360,7326,6007,2954,3186,247440,13404,13662,14920,9249,4470,3495,2475,9600,17073,14735,14435,17046,17066,18096,15973,8787,9722,5525,8335,11134,7869,4611,5758
"Rockland County, New York: Summary level: 050, state:36> county:087",328868,161182,12307,14564,12269,7717,4368,2418,2647,6193,10177,9255,9226,9242,9218,10401,10860,3147,5374,3728,3997,5609,3679,2835,1951,167686,12607,11627,13133,7592,4309,2573,1528,7031,9116,8519,10229,8518,10070,11156,10449,4347,5831,3135,5236,7381,5609,3004,4686
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",109623,56142,2960,3228,3045,1913,3502,1341,1242,2078,3732,3656,3099,3289,3244,3905,4435,1237,1922,904,2222,2041,1858,594,695,53481,2558,3112,3037,1989,2828,1061,1230,1944,3164,2853,2171,3417,3118,3537,4363,1074,2170,1001,1594,2824,1737,1452,1247
"Saratoga County, New York: Summary level: 050, state:36> county:091",229869,113117,5638,7125,6646,4347,3135,1646,1506,3134,7244,6915,7004,7362,8797,9117,8453,2779,4459,3654,2905,4756,3312,1855,1328,116752,5702,6243,6417,4536,2879,1067,610,4824,5887,7130,7707,7156,8489,9022,8050,4029,4888,3030,3987,5997,4302,3297,1503
"Schenectady County, New York: Summary level: 050, state:36> county:093",155565,74985,4151,4389,5401,2767,3382,574,1030,2977,4423,4971,4733,4604,4729,5611,5432,2072,2721,1440,2338,2656,2164,1300,1120,80580,3845,5009,4404,3563,1243,1925,908,2544,4450,4799,5961,4175,5473,5991,5884,1848,3340,2103,2057,3286,2225,2076,3471
"Steuben County, New York: Summary level: 050, state:36> county:101",96281,48089,2760,3065,2877,2114,1092,333,696,1685,2713,2882,2691,2695,3058,3555,4150,1185,2070,1456,1338,2375,1192,1001,1106,48192,2425,2577,3052,1917,922,690,488,1577,2664,2678,2406,2966,3074,3543,4015,1282,1906,965,1977,2614,1833,1117,1504
"Suffolk County, New York: Summary level: 050, state:36> county:103",1492953,734913,40440,38951,52369,31187,20014,9918,8638,31819,47863,42676,47002,41443,52717,58985,55295,22806,25862,15292,21877,27293,17857,12843,11766,758040,39093,44999,42285,30055,17808,8713,11834,27884,44217,40963,43614,44273,54985,61120,57154,23280,27938,15282,23351,35620,24662,15749,23161
"Sullivan County, New York: Summary level: 050, state:36> county:105",75485,38386,1417,2150,3103,1403,1254,566,230,1784,1703,3038,1698,2736,2204,2801,3102,916,1563,1789,692,1887,961,898,491,37099,1904,1425,2571,1379,1609,598,245,537,1973,1647,2436,1651,2207,4037,2850,1149,1714,423,972,2776,1614,783,599
"Tompkins County, New York: Summary level: 050, state:36> county:109",104802,51771,1813,1865,2383,1883,4663,2739,1943,5311,3901,3018,3208,2268,2230,2952,2662,1352,1113,822,1725,1760,1340,321,499,53031,1881,1730,2118,1512,5294,2137,1893,3716,4020,2724,3734,2601,2399,3125,3213,1301,1830,1228,1619,1823,1227,885,1021
"Ulster County, New York: Summary level: 050, state:36> county:111",179417,88865,4061,4385,4738,2939,2523,840,1897,3586,5414,5421,5415,5247,5781,7402,7564,3251,3050,2385,3191,4111,2380,1717,1567,90552,3588,4949,4159,3235,2958,531,1244,2872,5743,5132,5355,4915,6005,6735,7535,3303,3549,3344,3671,3855,3248,2414,2212
"Warren County, New York: Summary level: 050, state:36> county:113",64532,32032,1476,1589,1707,1209,641,231,108,1408,2570,1651,1714,1803,1964,2444,2175,894,1918,1305,1014,1801,1125,619,666,32500,1232,1489,1810,1048,839,253,273,834,1881,1717,1724,1767,2202,2464,2505,1204,1631,1031,1157,2124,1269,1194,852
"Wayne County, New York: Summary level: 050, state:36> county:117",90670,44726,2139,2394,3363,1811,1601,1042,293,1051,2370,2282,2172,2757,2990,3598,3969,1528,1602,1043,1556,2175,1660,490,840,45944,2264,2320,3442,1816,826,439,916,1348,2626,2367,2549,2386,3226,3398,3779,1308,2070,1105,1355,2719,1617,1073,995
"Westchester County, New York: Summary level: 050, state:36> county:119",980244,475008,28602,28920,33621,21130,12521,4935,5668,20351,27764,29019,31432,29948,34091,34880,32315,12401,18326,9586,12619,17912,10248,7917,10802,505236,26670,27306,31915,19101,12529,6384,6479,18544,27250,28628,30702,32897,36343,37795,36136,13384,19291,11571,14813,20933,15980,12366,18219
