,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Livingston County, New York: Summary level: 050, state:36> county:051",64810,32644,1484,1685,1860,1117,1753,841,562,1924,1991,1597,1931,1902,2563,2792,2309,598,1459,754,610,1106,1065,396,345,32166,1369,1576,1837,1150,1779,990,995,1103,1619,1512,1696,1676,2384,2638,2578,727,1071,852,895,1101,756,661,1201
"Madison County, New York: Summary level: 050, state:36> county:053",72382,35534,1853,1955,2528,1630,1640,731,1241,1233,1796,1779,2036,1706,2698,2915,2595,855,1413,530,965,1387,1089,580,379,36848,1839,1709,2545,1495,2231,739,786,1264,1776,1788,1962,2100,2800,2983,2534,892,1486,838,856,1481,697,1004,1043
"Monroe County, New York: Summary level: 050, state:36> county:055",747813,361478,21763,21310,25392,15052,12829,6630,7277,16537,25403,21787,20071,22226,25848,27187,24575,8797,12450,7166,9002,10549,8238,5902,5487,386335,20652,19309,25277,14464,12472,6443,6584,15948,25928,23219,21998,23748,27354,29497,28647,8790,12542,7687,10609,13435,9373,8086,14273
"Nassau County, New York: Summary level: 050, state:36> county:059",1349233,653817,37155,39720,48220,30349,18992,9094,9416,23897,38336,36305,38532,43696,50584,52633,46807,17104,23216,14010,15040,19930,17385,12230,11166,695416,35624,40084,43603,28611,17635,7181,7758,24974,36107,37049,40100,47613,55104,56674,48473,19116,26290,15819,16355,25850,21436,19094,24866
"New York County, New York: Summary level: 050, state:36> county:061",1619090,764250,42363,31473,30281,18207,16621,8500,8563,40172,90806,80838,59873,59532,52958,48720,45198,17656,20903,13053,15439,24668,16967,11192,10267,854840,40549,32278,27828,17939,22003,9548,11881,46895,107791,84464,61166,56884,51255,50316,48979,18734,31540,18355,23383,29405,22507,18982,22158
"Niagara County, New York: Summary level: 050, state:36> county:063",215124,104789,5670,5451,7598,4129,3291,1421,1535,4239,6505,5520,5350,7288,7636,8898,8489,2738,4089,3785,2343,2503,3066,1828,1417,110335,5548,4963,7255,3762,2755,2211,1534,3650,6303,6097,5935,6791,8381,9170,7658,2783,5180,2526,2944,4419,3029,3217,4224
"Oneida County, New York: Summary level: 050, state:36> county:065",233556,116233,6731,7008,7284,4759,3373,1424,1479,5730,7992,7116,5264,8064,8560,9240,7765,3178,4262,2566,3157,3628,3299,2010,2344,117323,6373,6635,6767,4329,3231,1906,1385,4413,7500,6886,5664,7152,8262,8749,8598,2682,4582,2131,3677,4750,3260,3314,5077
"Onondaga County, New York: Summary level: 050, state:36> county:067",466852,226098,14181,13855,15643,9990,8940,3523,4203,9562,14729,13044,12237,14594,16243,17370,15598,5469,8037,4388,4593,7210,5261,4082,3346,240754,12794,14378,13836,9017,8056,5114,4436,9208,14952,13730,12423,16130,17605,18357,17790,5798,7520,4966,5537,8452,6386,6438,7831
"Ontario County, New York: Summary level: 050, state:36> county:069",108519,53045,3148,3796,2877,2141,1663,442,336,2713,2569,3309,2217,3909,3978,4200,3722,1703,2402,1505,1537,1680,1110,1122,966,55474,2683,2575,3991,2146,1466,1102,1458,818,2796,2958,2985,3660,4148,4650,3794,2007,2187,1673,1853,1641,1912,1309,1662
"Orange County, New York: Summary level: 050, state:36> county:071",374512,186760,12478,15230,13832,8418,6728,4162,3026,8279,10266,10369,11034,13484,14379,14007,13029,3799,5239,3283,3505,4933,2854,2844,1582,187752,12406,14477,12457,8855,5662,2005,3065,6507,9859,10118,10967,14359,15237,14350,10398,5213,7007,3445,3763,6099,4085,2918,4500
"Oswego County, New York: Summary level: 050, state:36> county:075",121700,60912,3461,3919,3992,2481,2586,978,1700,2411,3716,3379,3263,3731,4771,4967,4220,1790,2179,1432,1679,1465,739,1265,788,60788,3281,3231,3978,2789,2643,1320,1492,1815,3153,3427,3224,3919,4634,5098,3897,1533,2411,1284,1431,2183,1591,1163,1291
"Putnam County, New York: Summary level: 050, state:36> county:079",99607,49243,1986,2645,4101,2382,1514,833,415,1624,3162,2137,2824,3846,4304,4637,3550,1438,1754,951,1372,1724,1010,558,476,50364,2220,3335,3286,2069,1109,527,284,1705,2078,2321,2560,4283,5364,4373,3979,1121,2194,1397,1405,1544,917,850,1443
"Queens County, New York: Summary level: 050, state:36> county:081",2272771,1102505,70767,64155,63264,40025,25858,16981,15179,50805,93273,91527,81651,81505,79761,78144,69911,22814,33952,20314,21210,29568,20521,16365,14955,1170266,67605,60694,61444,38463,24131,15428,14512,51503,93152,91767,81171,82165,82380,83882,77734,28143,38907,24101,27493,39121,31396,24100,30974
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159835,78472,4127,5198,4054,3258,3429,2046,1302,3602,4851,5266,4046,5484,5306,6054,5689,2097,3007,1314,2193,2153,1921,1342,733,81363,4607,4548,4249,3003,2707,951,1104,3398,5172,5382,4666,4861,6142,6576,6616,2026,2553,1723,1679,3089,1863,1709,2739
"Richmond County, New York: Summary level: 050, state:36> county:085",470728,227378,14321,14084,16445,9641,5964,2937,3697,10128,15462,14370,15447,14884,16772,17371,13436,7774,7569,4350,6134,6319,5225,2450,2598,243350,13595,14950,14071,9518,6074,2950,3237,9793,14899,15098,15930,17019,18132,18422,15544,6700,10140,5147,6151,8695,5141,4894,7250
"Rockland County, New York: Summary level: 050, state:36> county:087",317757,155846,12309,12640,12371,7902,4678,2486,1813,5992,9892,8779,9594,8871,10415,10963,9253,4501,4309,2881,4273,4497,2894,2563,1970,161911,11599,12068,11838,7049,5165,1923,1518,5703,8842,8499,8616,10472,11294,11699,10654,4319,4597,3882,4334,5311,5053,3658,3818
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",112232,57567,3264,3090,3529,2257,2827,2160,1379,2691,3970,3097,3259,3438,3839,4281,3924,1072,2158,1055,1643,1735,1102,907,890,54665,2863,3102,3263,1934,2974,1068,1056,2480,2932,2771,2911,3070,3642,4217,3685,1345,2218,1271,1308,2117,1444,1454,1540
"Saratoga County, New York: Summary level: 050, state:36> county:091",222133,108551,5745,6279,8091,3977,2723,1630,1179,3567,6766,6455,6411,8781,9052,8699,7837,3159,3791,2526,3142,3363,2577,1375,1426,113582,6076,7206,6316,4188,2630,2262,1560,3045,5708,6960,7931,7099,9212,8915,8620,3411,4234,3183,2606,4184,2738,2719,2779
"Schenectady County, New York: Summary level: 050, state:36> county:093",155124,74588,3825,4619,5681,3252,2923,1000,964,3001,4200,4254,4220,5162,6104,5909,5373,2198,2152,1357,1610,2645,1044,1418,1677,80536,4616,3828,5710,3033,2752,1256,1223,2994,4197,4605,4560,5459,5871,6083,6098,1887,2278,1040,2479,3018,2210,2092,3247
"Steuben County, New York: Summary level: 050, state:36> county:101",99063,48647,2924,3454,2780,1965,1167,535,254,2103,2648,2943,2306,3349,3673,4006,3270,1847,2014,884,1571,1877,1251,1054,772,50416,3075,2179,3936,2168,1007,478,298,2056,2826,3003,2549,3194,3580,3884,3495,1364,2345,1252,1438,1907,1350,1340,1692
"Suffolk County, New York: Summary level: 050, state:36> county:103",1499273,737938,42493,49750,51532,33537,21459,9822,10844,28914,42884,42697,44503,54201,61102,60704,49501,16945,24316,13544,18442,22738,15819,11782,10409,761335,40773,44590,51284,31945,19160,9709,8320,27771,39875,41741,44980,56410,62904,61638,51462,18023,26430,15245,23553,26209,20819,18909,19585
"Sullivan County, New York: Summary level: 050, state:36> county:105",76793,38801,2315,2265,2424,1448,987,929,484,1220,2453,2266,2729,1705,3395,3044,2897,1047,1458,932,895,1862,869,581,596,37992,1995,2264,2604,1412,641,266,255,2270,2249,2243,1701,2237,2885,2751,2670,930,1632,942,1713,1307,722,940,1363
"Tompkins County, New York: Summary level: 050, state:36> county:109",102554,49745,2439,2370,1961,1400,4542,2998,1510,4489,4421,2919,2969,1968,2598,2731,2915,1218,1370,601,460,1866,618,757,625,52809,2152,2592,1796,1493,4945,2569,2811,3560,3805,3541,2450,2224,2809,3174,3032,1101,1953,921,1263,1241,1662,792,923
"Ulster County, New York: Summary level: 050, state:36> county:111",181791,90384,4416,4925,5352,3365,2874,681,1928,3202,5864,4715,4957,7588,6430,8113,5845,3612,3620,2696,2193,2985,2111,1573,1339,91407,4047,5130,4689,3073,2919,1787,1428,3135,4784,5386,4277,6144,7033,7620,6576,3389,4002,2607,2451,3088,2774,2305,2763
"Warren County, New York: Summary level: 050, state:36> county:113",65538,32063,1545,1761,1922,1301,683,203,209,1455,1897,1673,1510,2320,2437,2649,2511,852,1541,645,1158,1395,810,1004,582,33475,1487,1724,2008,1207,651,675,364,958,1798,1599,1146,2675,2646,2734,2465,929,1621,1146,980,1375,978,1411,898
"Wayne County, New York: Summary level: 050, state:36> county:117",92962,45915,2659,2470,3276,1941,1069,863,791,1214,2441,2374,2446,2992,3628,4358,3949,828,1921,975,1340,1698,1359,877,446,47047,2784,3211,2732,1986,1363,555,457,1263,2278,2674,1930,3575,3671,4090,4364,715,1631,1012,1311,1936,1269,998,1242
"Westchester County, New York: Summary level: 050, state:36> county:119",961670,463488,28726,31497,34208,21043,13083,5570,5223,17775,27496,27373,30809,31749,35701,35790,33045,10540,13560,8491,9575,15231,10371,8732,7900,498182,27414,30701,31658,19984,13523,6424,5861,14555,26529,28334,28651,38092,38499,38575,36345,11815,15437,10580,12186,18463,14478,13314,16764
