,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Madison County, New York: Summary level: 050, state:36> county:053",73439,35902,2144,1778,2948,1576,1462,1032,1033,1024,1815,1838,1752,2401,2868,3019,2326,1285,977,665,776,1358,758,409,658,37537,1931,1989,2628,1574,2274,585,1070,1015,1919,1805,2479,1952,3050,2976,2914,803,954,627,931,1343,857,739,1122
"Monroe County, New York: Summary level: 050, state:36> county:055",744389,359175,21996,22911,24693,16277,13839,7882,7791,13421,23764,20313,21109,23955,26594,27388,25114,9072,9770,5706,8892,9174,7820,6404,5290,385214,21277,21707,23808,15717,12133,7023,6756,15083,24844,21984,23359,24320,29294,28957,27181,8891,12364,7000,9134,12192,10048,9432,12710
"Nassau County, New York: Summary level: 050, state:36> county:059",1341245,649286,37614,41619,49080,31264,17268,8844,7263,25046,36855,35281,39526,45743,52402,52390,43348,16412,23878,10039,15009,19532,14701,13538,12634,691959,36061,41464,44633,29116,16065,10062,8154,20199,34846,36340,40375,51920,57012,56051,48494,18522,22932,12385,17897,23867,23462,20443,21659
"New York County, New York: Summary level: 050, state:36> county:061",1586698,744337,39117,31294,29203,19239,17219,10377,10271,41386,85253,75791,60087,56976,52398,47885,44725,16939,19231,13233,17633,18920,15186,12503,9471,842361,37429,30833,28172,18960,21766,11030,13458,55650,101328,79074,59430,56869,51179,50988,49770,19042,29435,16162,23428,26443,22890,17856,21169
"Niagara County, New York: Summary level: 050, state:36> county:063",216546,105762,5939,6394,6668,4451,3005,2989,1130,3374,6436,5477,6066,6919,8061,9601,8572,2579,3526,2080,2666,3527,2373,2135,1794,110784,5366,5853,6564,4615,2966,950,1039,5119,6213,5624,6637,7167,8874,9367,7855,2236,4490,1617,2969,4562,3096,4226,3379
"Oneida County, New York: Summary level: 050, state:36> county:065",234845,117036,6661,6860,7861,5032,3596,1591,1697,4793,7740,6877,7184,7824,9310,8890,6889,2461,5506,1999,2731,3977,2973,2221,2363,117809,6373,7724,5985,4735,3189,1619,1550,4372,6960,6162,6694,7897,8248,8879,7025,3189,5293,2413,2570,4842,3731,3532,4827
"Onondaga County, New York: Summary level: 050, state:36> county:067",467204,224000,14076,14087,16142,10014,7610,4653,3935,9423,14242,12178,13388,14587,17081,17562,15612,4865,7182,3948,4805,6154,4946,3834,3676,243204,13364,14753,14479,10125,9357,4876,3434,10007,14696,13381,14167,15576,18380,18413,15353,6455,7949,4498,5659,7464,7614,6278,6926
"Ontario County, New York: Summary level: 050, state:36> county:069",108116,53223,2970,2897,4048,3034,1421,360,858,1887,2560,2462,3045,3919,4542,4207,4452,1215,1966,1469,1545,1343,1432,952,639,54893,2524,3480,3193,2160,1586,765,731,1786,2833,2533,3804,3138,4551,4450,3604,1170,3072,849,1495,2346,1525,1647,1651
"Orange County, New York: Summary level: 050, state:36> county:071",373355,186986,13700,13557,15705,9457,6343,3978,3313,6386,10595,10745,9291,16281,15524,13788,11480,4151,4893,3188,3641,3590,3321,2134,1925,186369,12844,13852,13848,8583,5648,2836,1565,6012,9510,11100,10781,15888,15057,13723,10160,5187,6231,2524,3947,5451,3826,3630,4166
"Oswego County, New York: Summary level: 050, state:36> county:075",122114,60664,3640,3792,3761,2808,2792,1584,1454,2341,3521,3130,3071,4437,5026,4803,4353,1403,2002,679,1440,1896,1594,666,471,61450,3496,3510,4020,3005,3693,902,1370,1333,3196,3247,3778,4047,5022,4735,4197,1821,1530,1049,1649,1823,1546,1251,1230
"Putnam County, New York: Summary level: 050, state:36> county:079",99713,50025,2158,2857,4776,2796,1003,377,567,1646,3148,2080,3606,3608,4719,4501,4142,1011,1326,938,1138,1586,1148,550,344,49688,2656,3736,2712,2078,792,748,173,1231,1854,2664,3762,3720,5463,4361,4561,1005,1503,641,1400,1571,919,959,1179
"Queens County, New York: Summary level: 050, state:36> county:081",2233841,1081881,67395,61630,64869,42178,29738,16857,14564,51056,91820,88453,85378,76920,79666,76427,65173,22175,31438,16875,21541,27549,22472,14614,13093,1151960,64555,59027,61486,39868,26926,13693,15381,50293,92758,89244,78338,85169,83723,83184,71399,27917,37903,19704,26432,39064,29330,28747,27819
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159428,78946,4213,4555,5156,3514,3596,2108,1130,3909,4875,4744,3530,5868,5941,6421,4578,1870,3806,1458,1796,2025,1665,1565,623,80482,4499,4480,4554,2725,2317,1395,1388,3021,4745,5032,4799,5756,6293,6541,5825,2211,2325,1113,1934,2977,2024,1852,2676
"Richmond County, New York: Summary level: 050, state:36> county:085",469363,227792,14526,13121,18107,10276,6887,3276,3559,9030,15325,14493,14116,17887,17323,17239,14586,4652,8666,3441,5069,6562,4236,3000,2415,241571,13699,15319,14210,9646,6569,3433,3242,8393,14775,15397,14471,19223,18453,18656,15666,7089,8511,4129,4842,8898,7332,3969,5649
"Rockland County, New York: Summary level: 050, state:36> county:087",312183,153027,12366,12025,13000,7485,3955,1712,1982,6830,9293,8200,8842,10229,11018,10822,9714,3573,4227,2749,2957,4022,3981,2629,1416,159156,11418,11933,11850,7487,4738,2040,2144,5044,7828,8154,9721,10341,11660,11238,9910,4378,5022,2910,4123,5650,4752,3084,3731
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111894,56566,3257,3245,3174,2101,2902,1113,1399,3938,3550,3080,3217,3715,3991,4082,3554,1330,2143,952,1275,1697,1399,894,558,55328,3080,2870,3426,2137,3008,1726,1605,1787,3052,2701,2937,3378,4120,3987,3760,1083,2008,763,1416,2109,1857,1720,798
"Saratoga County, New York: Summary level: 050, state:36> county:091",219960,108534,6357,7729,6831,4564,2869,653,1206,4089,6594,6372,7361,8321,9473,8415,7571,2489,4360,2260,2279,3470,1949,1876,1446,111426,6221,7242,6492,4156,2457,1353,1302,3265,5913,6830,8414,7851,9166,8882,7794,2617,4781,2189,2798,3752,2398,2152,3401
"Schenectady County, New York: Summary level: 050, state:36> county:093",154889,74974,4823,5396,4952,3215,2243,1634,1351,2501,4830,4392,3629,5625,5943,5590,5424,1565,2625,1138,1578,1937,1463,1652,1468,79915,4387,4644,4587,3420,2311,1865,1019,2650,4233,4730,5893,4688,5828,6194,5659,1710,2745,1444,1772,2483,1913,2501,3239
"Steuben County, New York: Summary level: 050, state:36> county:101",98930,48920,2998,3165,3460,2114,1493,718,244,1708,2787,2728,2434,3496,3876,3922,3762,1579,1492,1113,1460,1384,1091,1081,815,50010,2676,2763,3650,2036,1196,368,464,1654,3002,2691,3136,2972,4111,3817,3630,1454,1634,1181,1418,1644,1470,1393,1650
"Suffolk County, New York: Summary level: 050, state:36> county:103",1494434,735283,44105,44914,59723,34611,20893,9879,9336,28126,42169,42632,48327,56206,63446,58293,48129,14609,23655,11720,17429,20520,16438,11540,8583,759151,41985,46101,53354,32573,18582,7610,8634,26811,39594,42801,47862,60225,64763,59065,51561,16934,24307,14503,19912,24655,20087,18394,18838
"Sullivan County, New York: Summary level: 050, state:36> county:105",77500,40318,2672,2594,2784,1726,1003,378,694,1294,1806,2175,2974,2906,3022,3517,2888,1076,1346,592,1298,1577,1107,429,460,37182,1549,2229,2511,1265,894,441,554,1377,1995,2033,1601,2794,3010,3382,2939,885,1650,1116,1272,1136,905,767,877
"Tompkins County, New York: Summary level: 050, state:36> county:109",101620,49971,2287,1873,2084,2621,4554,2267,1867,4886,4714,2517,2240,2453,2522,2691,2923,1030,1732,782,311,1632,656,708,621,51649,1940,2452,1568,1609,6385,2008,1470,3320,4120,2449,2972,2392,2970,3499,2981,1404,1647,506,1135,1348,972,1348,1154
"Ulster County, New York: Summary level: 050, state:36> county:111",182435,89626,4330,4175,5991,3943,3360,2143,1427,2305,5597,4942,5414,6821,7468,7736,6623,2057,3499,1702,2284,2768,1586,1861,1594,92809,4486,6900,3460,3420,3375,497,3203,2309,4565,5257,5119,6541,7554,7650,6903,2760,3698,1891,2761,2837,2349,2318,2956
"Warren County, New York: Summary level: 050, state:36> county:113",65697,31898,1579,1630,2020,1267,789,461,618,795,1849,2006,1206,2664,2602,2544,2998,524,1437,789,801,1281,697,791,550,33799,1723,1031,2367,1260,741,143,166,1253,1955,1892,1829,2206,2900,2879,2646,1021,1426,910,1003,1284,1117,771,1276
"Wayne County, New York: Summary level: 050, state:36> county:117",93753,45907,2809,2995,2986,2044,1147,66,363,2110,3045,2330,2278,3779,3705,3792,3041,955,2383,985,1541,1087,1252,1016,198,47846,3347,3274,2552,2234,924,46,545,1787,2562,2229,2632,3250,4661,4101,2744,1585,2183,883,1617,1178,1705,744,1063
"Westchester County, New York: Summary level: 050, state:36> county:119",950541,457547,29240,31196,34629,21740,11872,6069,4699,17047,26533,27211,30080,33714,36557,35015,29079,10900,14816,7647,10802,12138,10250,9205,7108,492994,27876,33806,29270,20071,11616,6189,6496,13497,26304,28455,27221,41525,39349,37874,33255,11039,16879,8878,12315,17248,15873,12696,15262
