,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Onondaga County, New York: Summary level: 050, state:36> county:067",461809,222736,13511,14645,13114,8445,7693,4030,2746,9097,15239,14726,13779,11648,13423,14711,15745,6377,9471,5665,6284,8882,5757,3469,4279,239073,13002,14551,11847,8908,8325,3445,4460,8955,15138,15735,13064,13443,14372,15928,16227,7377,9765,5026,7757,10951,7559,5499,7739
"Albany County, New York: Summary level: 050, state:36> county:001",307117,149679,7763,7607,8789,5665,6255,4335,3378,8081,10045,10432,9421,7675,8591,9846,9170,4008,6158,3593,4528,5993,3529,2381,2436,157438,7130,6307,8386,4870,7302,4225,2880,8662,10454,9462,10578,7109,8997,10509,10596,3578,6537,4266,5199,6426,5204,4147,4614
"Madison County, New York: Summary level: 050, state:36> county:053",70795,34819,1596,2104,1761,1219,1964,1317,433,1082,1767,1830,1452,2148,2027,2633,2319,1304,1835,898,1738,1153,1247,363,629,35976,1496,1960,1842,1499,1995,745,702,1375,1683,1775,1754,1851,2230,2482,2903,1108,1517,732,1828,1375,1623,741,760
"Queens County, New York: Summary level: 050, state:36> county:081",2278906,1105577,72323,57099,69020,36515,22204,13932,11711,38597,92992,90301,81147,73911,75515,75544,78762,30147,34614,22042,27245,41568,27101,18124,15163,1173329,68702,57634,62447,34628,21392,12858,12505,40797,93846,89130,81364,76889,77660,79580,80598,34010,42902,26076,35835,48809,37800,27857,30010
"Wayne County, New York: Summary level: 050, state:36> county:117",90064,44790,2503,1759,4072,1545,953,569,339,1539,2773,2809,2170,2752,2652,3275,3882,1313,1907,916,1458,2516,1331,1131,626,45274,2564,2827,2389,1654,859,253,674,1425,2359,2373,1957,2825,2957,3413,3724,1701,2006,817,1717,2506,2025,765,1484
"Bronx County, New York: Summary level: 050, state:36> county:005",1432132,673951,51942,48725,50672,29009,19506,8570,11398,32148,60600,50975,43807,40083,40206,42242,39733,13612,18779,10744,13166,19419,12791,9973,5851,758181,50822,45761,49873,28245,18857,10054,11665,30494,63174,55411,49028,48214,46960,50201,45584,16848,25769,12792,18708,27142,20336,16906,15337
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",108047,55626,2704,3489,3035,2004,3379,1378,1482,2132,3449,3205,2695,3372,3417,3883,3902,1618,1996,1085,1318,2832,1641,810,800,52421,2637,2745,3136,1850,2694,1502,1112,1277,2875,2838,2557,2973,3151,3622,3857,1667,1946,1192,1871,2433,1165,1571,1750
"Richmond County, New York: Summary level: 050, state:36> county:085",476179,230765,13935,15887,14043,9437,6165,2137,1533,10176,17003,15620,13314,15546,15366,16102,15364,6238,9666,5702,7423,8158,5335,4130,2485,245414,13478,12595,15699,8963,5350,2379,3764,7987,16842,15427,15624,14829,16677,17424,16802,6388,11365,5173,8393,11134,8952,4053,6116
"Schenectady County, New York: Summary level: 050, state:36> county:093",155350,76212,4482,4963,4988,3106,2607,784,1594,3306,4720,5031,4349,4653,4912,4813,5388,1871,3345,1371,2227,3019,1887,1414,1382,79138,4228,3391,5467,2712,2183,811,1113,3862,4156,4081,6269,4981,4078,5644,4557,2623,3430,1440,2741,4038,2045,2356,2932
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",76840,38067,2181,2064,2717,1611,1023,389,481,1507,2088,2318,2215,2053,2335,2550,2936,967,1781,792,1429,1978,1454,601,597,38773,1887,2583,2096,1586,985,650,765,945,1967,2072,2272,2090,2317,2881,2736,1099,2052,1008,1367,1875,1848,765,927
"Monroe County, New York: Summary level: 050, state:36> county:055",742474,358147,20744,21005,22981,13891,11726,5861,5383,14135,27184,25012,20300,20194,21442,23647,22593,10814,15561,7538,11518,14868,9989,5650,6111,384327,19821,20747,21623,13404,10442,4819,4887,16377,27301,25163,24301,20249,23388,25704,25457,11523,16685,9203,11765,17952,13486,8455,11575
"Sullivan County, New York: Summary level: 050, state:36> county:105",75498,38858,1954,1944,2745,1663,1245,738,320,1150,2413,2184,2288,1800,2676,3229,2979,864,1584,914,1720,1914,1847,363,324,36640,2213,2298,1988,1197,1175,354,350,781,1984,1881,2486,1933,2688,2425,3008,692,2071,628,1270,1924,1221,1280,793
"Broome County, New York: Summary level: 050, state:36> county:007",191659,93150,4986,6152,4126,3141,4581,1630,1918,5088,5937,5424,4229,6215,4928,5884,6176,3477,3578,1601,2454,4999,2946,1810,1870,98509,4810,4617,5774,3139,4234,1782,1365,5085,6328,5294,5642,3848,5379,6000,7031,3480,3588,2449,3558,4556,3449,2637,4464
"Dutchess County, New York: Summary level: 050, state:36> county:027",293718,146156,6817,7793,8071,5557,5373,1560,1867,7056,9653,9357,7866,9293,9633,10944,11152,4024,7013,3176,4522,6268,4126,2723,2312,147562,6600,6964,8080,5465,4938,2152,2880,6286,7746,8110,7398,9399,9462,11229,11518,4917,5972,3981,4768,6502,5065,3954,4176
"Steuben County, New York: Summary level: 050, state:36> county:101",95796,48423,2696,3514,2470,1924,1100,448,514,1808,2926,2760,3400,2659,2937,3219,3626,1516,2227,1817,1646,1889,1604,1039,684,47373,2368,2686,3051,1680,1025,456,381,1544,2631,2653,2831,2428,3163,3242,3720,1800,1730,1152,2020,2286,1917,1133,1476
