,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"New York County, New York: Summary level: 050, state:36> county:061",1644518,778476,43557,30583,30800,16997,15324,7246,9926,37575,92434,85127,64905,54577,53326,51480,46473,16817,23997,12669,19394,24369,15993,12209,12698,866042,41146,32507,27506,17111,20907,9637,11341,42626,107003,89592,65853,54835,52431,51365,49929,22079,27392,18674,25630,32644,24196,18197,23441
"Niagara County, New York: Summary level: 050, state:36> county:063",212652,102800,5545,5353,6684,4110,2752,1396,1392,4180,6578,5762,5133,6875,6860,8213,8013,3379,4434,2965,3101,3692,2751,2189,1443,109852,5662,6200,5531,4092,2423,1621,1382,3939,6831,6108,6011,6604,6922,8741,8453,4366,3582,2424,4026,4743,3737,2032,4422
"Oneida County, New York: Summary level: 050, state:36> county:065",232500,115932,6999,7220,7009,3999,3551,1412,1219,5251,7344,7991,6323,6566,7919,9028,8142,3920,3907,2900,2825,5048,2892,1959,2508,116568,6356,7013,6511,4555,2878,2296,789,4199,7435,6784,5248,7089,7509,8670,8423,3028,4726,3077,2927,5634,4120,3064,4237
"Onondaga County, New York: Summary level: 050, state:36> county:067",468463,226284,13547,15268,13327,9565,7675,3027,3449,10008,16129,14198,13852,11663,15311,16573,15401,6218,9185,5131,6082,7575,4983,3853,4264,242179,13041,12423,15252,9441,9548,4657,4095,7651,16486,14805,12350,14437,15716,17722,17698,6481,8620,7023,6811,7691,6398,4745,9088
"Ontario County, New York: Summary level: 050, state:36> county:069",109561,54101,3222,2869,3488,2135,1781,551,892,2353,3060,2887,2818,2815,3862,4359,4021,1853,2146,1365,1764,2537,1384,884,1055,55460,2462,3227,2775,1969,1686,856,730,2182,3077,2894,2946,3119,3765,4351,4480,1622,2154,1835,2239,2065,1394,1692,1940
"Orange County, New York: Summary level: 050, state:36> county:071",377647,189292,12180,14568,13664,9640,6671,3975,3127,9374,10353,10422,11253,11725,13771,14187,12544,4888,5329,4224,4376,4881,3903,2153,2084,188355,12196,14359,12416,8006,4803,2928,2175,7646,10140,10454,11436,12403,13839,14794,12548,4541,6267,4239,4952,6175,3419,3774,4845
"Oswego County, New York: Summary level: 050, state:36> county:075",120146,60036,3222,3469,4011,2575,1934,1461,959,2631,3865,3340,2162,4208,4365,4941,4419,1924,2285,2057,1562,1734,1375,610,927,60110,3023,3636,3314,2637,2319,1396,1489,1742,3501,3355,3116,3803,4218,4665,3361,1979,3014,1518,1980,1968,1042,1619,1415
"Putnam County, New York: Summary level: 050, state:36> county:079",99042,49610,2295,2472,3508,2219,1553,560,353,2236,2461,2871,2670,3361,3814,4677,4304,1289,2265,1230,1864,1354,1290,496,468,49432,2142,2690,3549,2001,1170,410,337,1930,2348,2233,2791,3256,4341,4567,3871,1374,2171,1182,1908,1825,1329,939,1068
"Queens County, New York: Summary level: 050, state:36> county:081",2339150,1135453,75785,64305,65446,38571,24247,15479,13142,47910,97699,92739,85984,79279,79830,80670,72113,30347,36591,21136,24852,34487,25626,15926,13289,1203697,72419,62202,62288,37387,22977,13954,15012,48580,98633,92388,87229,80199,82347,85176,83507,32975,37943,26301,34629,39797,32888,24757,30109
"Rensselaer County, New York: Summary level: 050, state:36> county:083",160266,79290,4759,3889,4928,3322,3150,1281,1844,3338,6443,4615,4906,4202,4990,5540,5642,2259,3407,1873,2724,2258,1948,1057,915,80976,4244,5073,3555,2520,2515,1381,1049,2836,5755,5622,4875,4068,5470,6832,5362,3057,3001,1710,2722,3140,2024,1743,2422
"Richmond County, New York: Summary level: 050, state:36> county:085",474558,229900,14023,16115,14035,9680,5417,2308,3976,9396,16605,14709,13010,16848,16041,17100,15120,5556,9624,4491,7232,7545,5757,3352,1960,244658,13575,12552,16007,8924,5042,2807,4126,9007,15898,15047,15985,15633,17434,18370,18282,6689,8543,5485,7600,9786,7131,4837,5898
"Rockland County, New York: Summary level: 050, state:36> county:087",326037,159814,12598,13400,12409,7932,4327,2446,2546,5888,10448,9238,8785,8976,10073,10855,10579,4021,4344,2589,4525,5154,4371,2257,2053,166223,11972,11754,12713,7514,4308,2635,1634,6645,9154,8909,8905,9512,10672,11416,10779,3799,5690,3719,4973,6165,4662,3790,4903
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111007,56398,3234,3412,3153,1864,3210,1553,1332,2486,3703,3365,2568,3724,3536,3957,3669,1481,2258,1806,1304,1787,1059,848,1089,54609,2989,3002,3202,1865,3164,1751,1274,1748,2942,3061,2392,3197,3267,3976,3623,1923,1750,1168,1727,2217,1765,914,1692
"Saratoga County, New York: Summary level: 050, state:36> county:091",226249,112378,6324,6693,6986,4564,2410,1137,1705,4066,6402,7097,7205,7424,9016,8890,9391,2737,3599,2666,3274,4679,2615,1963,1535,113871,5723,5550,7596,4172,2572,1621,830,3740,6211,6393,6707,8295,9058,9158,8799,3205,4048,3591,3015,5089,3737,1780,2981
"Schenectady County, New York: Summary level: 050, state:36> county:093",154604,76283,4661,5965,4645,2803,2519,1514,1145,2317,5326,4896,4548,5011,4763,5248,5968,1641,2951,1452,1794,2804,1225,1160,1927,78321,4141,3975,4543,3032,1753,1936,1485,2060,4689,5164,4856,4522,5382,5918,6122,1759,3067,1908,2428,2683,2404,2105,2389
"Steuben County, New York: Summary level: 050, state:36> county:101",97631,48634,2651,2983,3126,2144,1063,1039,615,1292,2723,3048,2626,2903,3321,3720,3523,1527,2507,988,1661,1991,1472,852,859,48997,2727,2840,3089,2038,1013,664,729,1373,2570,3121,3066,2508,3226,3612,4004,1388,1683,1230,1607,2116,2061,848,1484
"Suffolk County, New York: Summary level: 050, state:36> county:103",1501587,739595,41065,44066,51447,32277,20714,10697,9242,31440,46456,42005,40841,50263,56656,61583,52462,19390,27336,15220,19548,26465,18147,12460,9815,761992,39427,42758,47350,30898,18421,10502,7993,31071,42627,40457,41511,51260,58116,63511,54506,22579,26224,18299,22390,31120,21433,16907,22632
"Sullivan County, New York: Summary level: 050, state:36> county:105",74877,38626,2192,2385,2020,1664,969,478,491,1368,2066,2278,2293,2544,2571,3405,3550,956,1004,775,1177,1849,1489,694,408,36251,2237,1763,2023,1427,1209,434,421,1327,1657,2254,1884,2227,2531,2526,3342,956,1419,822,1232,1770,1274,600,916
"Tompkins County, New York: Summary level: 050, state:36> county:109",104926,51300,2132,1702,2486,1717,5101,2530,2937,4044,3597,2948,2827,2160,2630,2827,3742,952,1003,1257,1317,1236,1019,338,798,53626,1759,1956,2075,1372,5123,1883,4610,3731,3353,2921,2533,2985,2630,3319,3304,1128,1741,881,1645,1480,1259,730,1208
"Ulster County, New York: Summary level: 050, state:36> county:111",180143,89423,4317,4175,5361,3077,2689,2119,1137,3206,5660,4719,5577,5154,7318,7172,7153,2989,3265,2539,2536,4046,1856,1983,1375,90720,3818,4852,4766,2971,2792,2068,1157,2657,5185,4754,6335,4369,5962,7233,7159,3038,3805,2290,3298,4592,2863,2871,1885
"Warren County, New York: Summary level: 050, state:36> county:113",64688,32118,1430,1961,1760,1527,587,311,742,951,1828,1580,1987,1362,2292,2641,2769,822,1560,1163,1271,1370,1007,577,620,32570,1338,2077,1285,1199,314,668,365,994,1698,1680,1047,2361,2447,2699,3454,1010,841,1300,1229,1395,883,1052,1234
"Wayne County, New York: Summary level: 050, state:36> county:117",91446,45379,2791,2901,2754,2092,957,365,588,1939,2646,2637,2187,2717,3119,3709,3308,1316,2129,828,1653,2137,1272,575,759,46067,2509,2107,3015,1903,883,465,419,2033,2219,2689,2244,2754,3274,3894,3732,1277,1973,1184,1711,2258,1336,976,1212
"Westchester County, New York: Summary level: 050, state:36> county:119",976396,472340,28241,31224,33287,21327,13091,5148,6785,18740,27266,28502,30105,31629,34926,36246,33624,11064,16591,9347,12127,15646,12110,7347,7967,504056,27019,29592,30956,19788,13491,5784,5102,19369,26779,28460,31082,33644,37369,39004,37778,12322,17048,9869,14915,19790,16973,10771,17151
