,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Jefferson County, New York: Summary level: 050, state:36> county:045",119103,62101,5171,4340,3151,2017,2267,1279,1012,5690,5795,4383,4498,3141,3606,3518,3049,1356,1422,911,1137,1976,1268,577,537,57002,5152,3637,3833,2172,1491,589,1752,2294,4612,3667,3443,3092,3137,3673,3197,1424,1611,1170,1022,2099,1622,1284,1029
"Kings County, New York: Summary level: 050, state:36> county:047",2621793,1242380,101809,84116,78748,46581,29010,16629,15654,60103,118368,109823,91481,82503,74625,74680,68057,25894,36033,22196,25463,28660,23057,14569,14321,1379413,97303,82701,73973,45967,28147,16404,16419,64571,126586,117828,100365,89146,85402,87335,84215,29877,43904,27001,32744,40717,28728,27059,33021
"Livingston County, New York: Summary level: 050, state:36> county:051",64586,32189,1421,1557,1926,1250,1466,1136,292,1726,2252,1785,1960,1458,2208,2533,2162,1312,1084,747,721,1298,895,479,521,32397,1227,1416,1845,1097,2479,644,793,1267,1279,1690,1619,1863,2171,2490,2111,1385,1126,693,788,1589,894,829,1102
"Madison County, New York: Summary level: 050, state:36> county:053",72369,35624,1694,2898,1455,1461,1607,687,1407,1172,1883,1842,1801,2011,2442,2946,2597,1041,1497,688,770,1704,983,372,666,36745,1678,2056,1915,1380,1828,1082,935,1222,1774,1763,1583,2618,2478,3041,2473,962,1754,430,1338,1648,1251,640,896
"Monroe County, New York: Summary level: 050, state:36> county:055",749857,362271,21388,23653,22062,14525,12310,6278,6416,15840,27718,23284,18751,22317,23960,26799,24497,9196,13845,7512,10155,11944,7959,5291,6571,387586,20758,21208,22497,14487,11483,5882,6751,15780,27566,24197,20353,24084,26140,28396,26798,9280,15360,7331,11833,15587,11941,7497,12377
"Nassau County, New York: Summary level: 050, state:36> county:059",1358627,658497,37425,43744,43135,29291,18284,9225,8846,25714,39782,37646,39153,41983,47711,52275,50609,17277,21586,13251,19799,21096,15730,12748,12187,700130,36230,40506,41699,27965,17198,7823,8042,26747,37840,38076,39908,45110,51692,56379,51805,19528,25472,16222,20554,26170,21422,18602,25140
"New York County, New York: Summary level: 050, state:36> county:061",1636268,772376,43549,33034,28230,17378,15854,10080,7438,37452,91687,83427,64693,54658,53470,50710,44561,18072,23118,14711,18013,22207,16089,11413,12532,863892,41477,30693,28810,17412,20278,11276,10452,44180,108098,88411,64100,55769,52098,51562,49533,23368,26378,18762,22797,33716,22939,18890,22893
"Niagara County, New York: Summary level: 050, state:36> county:063",213525,103992,5788,6118,6442,4088,3025,1610,1372,3512,6586,6198,6381,5656,6880,8358,8169,3709,4133,2683,3019,3808,3100,1451,1906,109533,4910,6133,6316,3769,2314,2160,1442,3967,6393,5800,6149,6805,7243,8947,8721,3081,4423,2464,3212,4899,3293,2966,4126
"Oneida County, New York: Summary level: 050, state:36> county:065",232871,116059,6797,6292,7663,4313,3979,1516,1591,5358,7624,7523,6458,6390,8358,8774,8423,3546,3638,2907,3339,4220,3288,1521,2541,116812,6606,6104,7509,4146,2833,1451,1694,4809,7046,6416,5040,8099,7541,8677,7558,4086,4319,2652,3851,4921,4339,3173,3942
"Onondaga County, New York: Summary level: 050, state:36> county:067",468196,225835,13639,13377,15819,9339,7391,4080,3562,9408,16136,14225,12373,13847,14800,16882,16818,5060,8240,4919,5739,7264,5465,4327,3125,242361,13197,13155,14924,9168,8941,4722,3314,8983,16209,14636,13187,14059,16088,18319,16512,6908,9206,5089,5736,9740,6408,5152,8708
"Ontario County, New York: Summary level: 050, state:36> county:069",109707,54096,2834,2881,4202,2170,1775,1025,905,1999,3229,2539,2488,3427,3749,4321,3982,1367,2434,1212,2136,2111,1229,843,1238,55611,2187,3000,3391,2081,2030,893,1173,1498,2652,2852,2768,2952,4127,4991,4254,1483,2456,1519,2296,2085,1362,1535,2026
"Orange County, New York: Summary level: 050, state:36> county:071",376099,187261,12728,12472,15679,8903,6321,3822,3078,9551,10688,10535,9754,13313,13469,14066,12710,3981,5741,3138,3853,5727,3970,2314,1448,188838,11898,12778,14777,8528,4728,2338,3496,6908,9731,10920,11140,13001,13843,14390,13195,4314,5887,4010,4420,6040,4351,4088,4057
"Oswego County, New York: Summary level: 050, state:36> county:075",120913,60718,3480,3717,3740,2532,2257,1171,922,3034,3827,3528,2387,4215,4353,5067,5375,1288,1801,1081,1661,2351,1303,894,734,60195,3230,3333,3701,2232,2646,973,1321,2170,3370,3391,4100,3160,4240,4808,4345,1525,2311,1048,1622,2617,1311,1250,1491
"Putnam County, New York: Summary level: 050, state:36> county:079",99487,49247,2260,3362,3054,2033,1307,440,80,2448,2707,2469,2775,3413,4329,4612,4245,1207,2043,946,1912,1400,777,1190,238,50240,2240,2828,3595,1994,1230,775,447,1649,2450,2305,3078,3382,4479,4597,3761,1466,2072,1126,1573,1967,1234,489,1503
"Queens County, New York: Summary level: 050, state:36> county:081",2321580,1126125,74698,65956,62302,38905,24797,16700,16307,46662,96176,92896,86262,79557,79028,80483,76307,26360,32025,19251,25724,32116,24558,15491,13564,1195455,71936,65619,56787,36743,23169,14664,13385,52360,96756,93001,81920,84619,82221,85630,82991,30639,37840,25973,30378,41033,31786,24190,31815
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159774,79163,4082,4702,4975,2865,3526,1181,1406,3941,5722,4368,3764,5760,5271,5948,5771,2269,3180,1842,2188,2476,1829,1227,870,80611,3863,4333,4271,3126,2440,872,1317,3308,5378,5103,4331,5380,5675,6092,5590,2392,3492,2142,2375,2912,2546,1251,2422
"Richmond County, New York: Summary level: 050, state:36> county:085",473279,228784,13912,14686,15775,9211,5357,3720,4369,8535,16148,14635,14561,15286,16165,17343,16668,6568,7187,4962,5364,7899,4020,3154,3259,244495,13761,13899,14819,9276,5107,3318,3504,9674,15469,14949,13669,18441,17466,18507,17101,6253,9677,4961,7029,9902,7053,4638,6022
"Rockland County, New York: Summary level: 050, state:36> county:087",323866,158686,12591,14705,11136,7728,4979,1707,2424,6361,9720,9220,7880,10055,10206,10916,10221,3374,4973,3434,3941,5095,3587,2397,2036,165180,11834,12259,12164,7476,4611,1885,2032,6560,8925,8723,8864,9910,10836,11469,10780,3909,5322,3224,5433,5732,3637,4478,5117
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111400,56947,3165,3343,3299,2013,3037,1207,1852,2624,4213,3252,3053,3410,3444,4035,4030,1272,2088,1053,1549,1987,1107,718,1196,54453,3003,3097,3125,1790,2702,1550,1326,1874,2952,2780,2376,3573,3608,4034,3435,1531,2314,1243,1665,2197,1716,1313,1249
"Saratoga County, New York: Summary level: 050, state:36> county:091",224921,110814,5671,6865,7087,4372,2571,1190,1342,4917,7474,6360,6529,7426,9223,8680,8112,3012,4198,2994,3496,3355,2605,1756,1579,114107,5727,6105,7030,4467,2919,959,2090,3618,6095,6624,7120,7678,8457,9466,8482,2934,4899,3143,3914,4092,3014,1904,3370
"Schenectady County, New York: Summary level: 050, state:36> county:093",155735,75487,5154,4629,5288,2975,2667,1946,811,2910,4521,4678,5124,3638,4940,6179,5346,1248,3510,1553,1987,1894,1733,1512,1244,80248,4180,3456,6346,2569,2071,968,1178,3493,4602,4482,5338,5328,5292,6294,5355,2107,3054,1977,1421,3285,1471,2682,3299
"Steuben County, New York: Summary level: 050, state:36> county:101",98394,48803,2661,2936,3481,2069,1222,383,795,1628,2717,2837,2601,3232,3248,3704,4059,1709,1712,1101,1861,1747,1507,543,1050,49591,2879,3406,2575,1827,1229,645,620,1542,2649,2952,3069,2671,3154,3830,3941,1362,1705,1411,1639,1955,1910,1209,1411
"Suffolk County, New York: Summary level: 050, state:36> county:103",1502968,739987,41268,46215,50789,32578,21061,11063,11896,28963,45461,42665,46752,46492,57708,61986,53091,18596,24574,14804,19335,24875,16960,13745,9110,762981,39440,42795,49796,31359,18882,9820,8500,30598,41422,41106,45248,49976,60015,63524,57711,17321,25539,18353,20989,30264,23002,17754,19567
"Sullivan County, New York: Summary level: 050, state:36> county:105",75943,39102,2346,2429,2043,1547,949,442,419,1706,2083,2666,1924,2479,2879,3013,3033,1043,1839,774,995,2318,1165,776,234,36841,2429,2397,1804,1408,672,241,532,1123,2038,2551,1797,2281,2519,3026,3111,838,1498,983,1268,1885,997,804,639
"Tompkins County, New York: Summary level: 050, state:36> county:109",104691,51664,2141,2105,2577,1463,5415,3776,1618,3618,4446,3540,2897,2014,2517,2523,2720,1115,1717,906,527,1927,732,647,723,53027,2825,2013,1628,1423,5171,2457,2284,4706,3480,3381,2565,2385,2406,3213,2780,1753,1694,999,854,1953,916,545,1596
"Ulster County, New York: Summary level: 050, state:36> county:111",180445,89688,3909,4316,5620,3125,2383,1519,1651,4136,5497,5439,4480,5747,6854,7819,6762,2576,4038,2163,2821,3664,1428,2342,1399,90757,3946,4522,4996,3008,2720,1267,1347,3530,5208,5312,4801,5168,6497,7232,7329,2034,3920,2639,3395,3737,2502,2936,2711
"Warren County, New York: Summary level: 050, state:36> county:113",64973,31393,1438,1524,1815,1141,655,624,486,864,1704,1776,1677,1934,2384,2629,2355,1217,1501,637,1132,1736,863,540,761,33580,1880,1678,1371,1233,418,562,526,1040,1958,1725,1187,2687,2388,2658,2643,934,1556,1067,967,1836,1001,1002,1263
"Wayne County, New York: Summary level: 050, state:36> county:117",92051,45148,2439,2656,2755,1848,1082,823,845,1566,2428,2580,2528,2605,3479,3667,3531,1228,2053,1110,1656,1741,1095,635,798,46903,2729,3037,3200,1799,882,584,455,1744,2516,2483,2462,2659,3418,3780,3648,1100,2101,543,1573,2585,1109,958,1538
"Westchester County, New York: Summary level: 050, state:36> county:119",972634,470151,28271,31468,33428,21166,13050,6845,6267,16982,27546,27969,30336,31833,35068,36383,32757,11268,15944,8970,12477,15276,10789,7628,8430,502483,26931,28208,33047,19846,13305,5751,5880,18016,26592,28520,33071,32277,37437,39014,36240,13048,16647,10680,14043,18925,14704,12845,17456
