,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Jefferson County, New York: Summary level: 050, state:36> county:045",117910,59934,4587,4421,3650,2159,1775,1209,1497,4303,5092,4908,3222,4079,3739,3644,2929,1016,2013,710,1120,1565,966,715,615,57976,5274,4273,3259,2213,1278,643,1041,3110,4928,3784,3414,3307,4152,3780,3027,1246,1879,765,1359,1523,1275,697,1749
"Kings County, New York: Summary level: 050, state:36> county:047",2532645,1197633,93825,85499,75961,50040,31782,19955,22302,56160,109435,100770,88168,75650,75661,73650,68086,23951,31479,18448,19352,28400,20271,16500,12288,1335012,89202,74326,80433,48874,30257,19021,17313,64203,118443,109424,92766,87759,86732,87187,78828,33230,40381,22615,28044,39111,28941,28556,29366
"Livingston County, New York: Summary level: 050, state:36> county:051",65070,32360,1431,1793,1968,1156,1601,761,1126,1518,1845,1459,1480,2420,2648,2706,2702,534,1189,623,648,984,463,664,641,32710,1382,1555,2060,1241,2055,1013,804,1370,1601,1355,1792,1880,2432,2539,2234,971,1124,718,895,900,1065,597,1127
"Madison County, New York: Summary level: 050, state:36> county:053",73365,36392,1656,1905,2508,1503,1822,617,326,1535,2635,1905,2016,2307,2679,3379,2346,936,1541,613,1017,1243,904,489,510,36973,1805,2142,2057,1513,2329,632,879,840,1689,1718,2042,2121,2909,3168,2866,883,1293,899,1222,844,1116,905,1101
"Monroe County, New York: Summary level: 050, state:36> county:055",745625,360189,21879,20162,26704,15832,13275,7391,7242,15027,24778,20590,21380,22594,26411,27268,23921,8585,13086,6319,8579,9718,8526,5633,5289,385436,20981,22194,22924,14699,12375,5969,6220,16573,25470,22775,21491,25023,28243,29106,27076,9679,13210,6476,9040,13800,9469,11016,11627
"Nassau County, New York: Summary level: 050, state:36> county:059",1344436,650987,37257,44128,44963,30749,18069,9827,6847,25119,37603,35835,38880,44727,51332,52895,45676,16454,24133,10370,15676,19634,15834,11907,13072,693449,35963,39739,45098,28845,16835,6336,8543,24264,35216,36833,40460,49207,56035,56761,49030,19462,24348,12965,17739,24199,20807,20243,24521
"New York County, New York: Summary level: 050, state:36> county:061",1601948,754546,41044,30159,30881,18655,16734,9723,8901,40776,88646,78332,62450,55670,52900,48466,45551,16160,21423,13144,14996,22081,16991,11329,9534,847402,39082,28953,30268,18250,21627,11763,13386,47800,105023,81988,60261,56421,51402,50949,48200,20946,30283,15743,22393,29651,23534,18710,20769
"Niagara County, New York: Summary level: 050, state:36> county:063",216011,105769,6055,7049,6093,4850,2564,1586,2158,3669,6274,6167,4969,8213,7671,8761,8624,3202,3244,1716,3416,2996,2658,2337,1497,110242,5343,5780,6541,3824,2995,1384,2213,3388,6228,6212,6197,7358,8086,9387,8491,2352,4252,2507,2981,4106,3448,3278,3891
"Oneida County, New York: Summary level: 050, state:36> county:065",234287,117327,7076,7099,7129,4891,3385,2625,1478,5522,7220,6360,6731,7637,8954,9282,7195,3302,4856,1921,2257,4575,2474,2388,2970,116960,6070,6840,6658,4527,3874,1449,1607,4236,6758,6002,6500,7653,8329,8742,7653,2947,4689,2111,3817,4077,3736,3502,5183
"Onondaga County, New York: Summary level: 050, state:36> county:067",466960,225849,14139,15305,14786,10062,7888,5040,3438,9091,15127,12941,11795,15507,16686,17570,16133,6642,5927,4350,5347,5553,4208,4249,4065,241111,12978,14614,13961,9423,8973,4930,2861,10035,14792,13982,10567,17816,18619,18213,17478,5117,8064,4484,5445,7858,7288,5511,8102
"Ontario County, New York: Summary level: 050, state:36> county:069",108525,53588,2634,3868,3325,2447,1780,822,987,1776,2553,2617,3523,3243,4499,4346,3736,1912,2059,1390,1236,1736,1437,709,953,54937,2770,3494,2918,2246,1385,572,689,1854,2982,2733,2736,4221,4525,4326,3040,2226,2706,1722,1292,1801,1813,1391,1495
"Orange County, New York: Summary level: 050, state:36> county:071",374872,187709,13453,13013,15982,9025,6688,3990,3112,7555,10463,10525,9334,15758,14797,14167,10594,5090,6019,3187,3257,4628,2255,2649,2168,187163,12541,13195,14387,8485,5191,2224,2138,6919,9990,10547,11932,14106,15060,14168,10970,4449,6769,2969,4487,4903,3535,3859,4339
"Oswego County, New York: Summary level: 050, state:36> county:075",122228,60922,3572,2992,4586,3122,2387,1571,1586,2223,3420,3380,3306,4011,4905,4841,4875,1472,1688,851,1357,2000,1080,1045,652,61306,3280,4476,3109,2526,2642,1358,1095,2455,3440,3275,3032,4455,4891,4862,4404,1852,1522,766,1896,1950,1948,797,1275
"Putnam County, New York: Summary level: 050, state:36> county:079",99933,50484,1976,3687,3899,2444,1132,534,572,1935,2773,2047,3438,4583,4452,4370,4021,1033,1728,571,1458,1658,722,786,665,49449,1994,3413,3521,2010,857,384,349,1440,2288,2640,3109,3569,5077,4573,4037,1190,1910,812,1906,1159,1142,804,1265
"Queens County, New York: Summary level: 050, state:36> county:081",2247848,1089595,69917,63189,62674,41098,26847,16224,18439,47209,92960,90329,81069,80714,79978,77488,69356,20759,33332,16063,23112,27979,20547,16733,13579,1158253,66880,62101,58547,39162,24333,15215,18669,46256,93057,90163,80363,82113,83369,83831,74563,26511,40206,22207,23879,40683,29826,26328,29991
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159395,78039,4534,4674,4479,3266,3522,1992,1161,3868,4516,4905,3715,5735,5864,5891,5214,2607,2795,1518,1648,2058,1330,1539,1208,81356,4026,4974,4776,2677,2219,1086,1075,3216,5561,5490,3902,5796,6086,6952,4940,2357,3775,1356,2489,1939,2174,2060,2430
"Richmond County, New York: Summary level: 050, state:36> county:085",470467,228021,14454,14523,16337,10037,5966,3713,3831,9241,15387,14576,16700,14507,17131,17321,16493,5003,7225,3612,5794,6179,4853,3401,1737,242446,13806,14867,14454,9397,5733,3213,2951,9962,15042,15199,14471,18700,18308,18699,17832,6423,7773,5175,5857,7880,5223,5487,5994
"Rockland County, New York: Summary level: 050, state:36> county:087",315158,154355,11828,12757,12349,7801,5030,1848,1851,6039,9542,8577,8613,9960,10948,10882,10320,3048,4702,2403,3169,4982,3234,2368,2104,160803,12046,10875,12776,7167,4001,1718,2665,5113,8761,8311,8090,12165,11184,11002,10311,3809,5751,2994,4009,5811,4473,3615,4156
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111690,56350,3135,4008,2608,2032,2849,1491,1206,3510,3773,2898,3262,3505,4004,4183,3810,1059,2127,926,1251,1882,1262,1149,420,55340,2871,2919,3397,2101,2710,1557,1399,1703,2984,2976,3210,2990,4282,4094,3417,1635,2217,1168,1306,2020,1721,1439,1224
"Saratoga County, New York: Summary level: 050, state:36> county:091",220882,108810,6369,6892,7403,4712,3085,1485,1452,3487,6379,6002,6457,8425,9498,8850,8979,3037,2848,2161,2791,3199,2264,2136,899,112072,5460,6017,7373,4549,2506,1489,1275,3861,6094,6197,6020,9483,9933,9027,8445,2835,4259,2215,3067,3847,3016,2317,2787
"Schenectady County, New York: Summary level: 050, state:36> county:093",155058,75908,4002,4746,6001,3822,2827,563,1054,3129,5135,4781,4419,4963,5916,5557,6118,1389,2082,1304,1542,2112,985,1646,1815,79150,4071,4719,4153,3123,2639,1655,1594,1758,4514,4203,4405,5844,6143,6098,4926,2000,3051,1348,2008,2803,1903,3022,3170
"Steuben County, New York: Summary level: 050, state:36> county:101",99033,49249,2710,3032,3628,2143,1281,632,378,1913,2588,3008,2848,3078,3733,4056,3579,1054,2417,819,1648,1630,1213,1378,483,49784,2630,2833,3468,2114,1034,252,573,1800,2800,2753,2383,3541,3504,4352,3743,1248,1972,1220,1414,1748,2257,984,1161
"Suffolk County, New York: Summary level: 050, state:36> county:103",1498816,737414,43272,48978,53987,34010,21210,10547,9924,28242,42672,42681,45426,55833,62391,59998,49167,16011,24499,13081,17495,20591,16745,11189,9465,761402,41305,48597,49348,32288,18424,11437,10525,22802,39773,42464,52111,52678,63747,61128,51700,17726,26437,14016,19772,26916,21363,18484,18361
"Sullivan County, New York: Summary level: 050, state:36> county:105",76900,38753,2028,2190,2946,1727,1251,378,819,1503,1843,1762,1827,3239,3034,3494,3252,824,1162,881,1023,1669,807,571,523,38147,2081,2129,2150,1803,1596,690,291,1118,1638,1900,2153,2424,3224,3081,3050,830,2085,987,798,1576,949,805,789
"Tompkins County, New York: Summary level: 050, state:36> county:109",101723,50340,2369,2055,2164,1657,5424,1952,2549,4015,4028,3132,2301,2689,2571,2968,2996,1114,1356,778,1175,1054,768,575,650,51383,1917,1976,2045,1547,5618,2356,1854,3292,3693,3015,2825,2603,3405,3185,2795,1330,1664,1049,1400,622,1242,822,1128
"Ulster County, New York: Summary level: 050, state:36> county:111",182448,90027,4012,5190,4909,3703,2870,1910,1301,3651,5335,4723,5621,6474,7662,7574,6009,2819,4115,1905,1936,2992,2055,1646,1615,92421,4697,5264,4848,3314,2845,1715,1327,3386,4582,5557,5233,5547,7346,7568,7155,2395,4152,1836,3622,2215,2672,2582,2563
"Warren County, New York: Summary level: 050, state:36> county:113",65831,32454,1583,1569,2138,1485,899,752,285,954,1714,1738,2060,1894,2625,2699,2202,827,1975,855,1032,1089,790,897,392,33377,1455,1775,1811,1294,798,235,192,1247,1735,1627,1521,2515,2714,2881,2389,1094,1579,701,1224,1272,1166,1189,963
"Wayne County, New York: Summary level: 050, state:36> county:117",93436,46159,2802,2793,2936,2060,1351,555,479,1614,2152,2501,2841,3248,3714,4129,3580,1463,1467,1033,1187,1572,1028,867,787,47277,3108,2713,3140,2164,879,710,483,1193,2378,2488,2777,3168,3704,3828,3888,926,2050,962,1454,1651,1628,976,1009
"Westchester County, New York: Summary level: 050, state:36> county:119",955899,460864,29030,32082,33294,21290,13037,5101,6153,16109,27161,27679,28092,35368,36168,35647,28355,12049,16054,8629,9887,12834,9727,9415,7703,495035,27598,30169,32230,19982,12628,4813,5044,16522,26226,28498,33553,33981,39112,38451,33949,12613,16408,9955,13302,15824,14053,13690,16434
