,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",5624,5003,621
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",954,784,170
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",8747,6885,1862
"Tannersville village, New York: Summary level: 160, state:36> place:73143",992,808,184
"Painted Post village, New York: Summary level: 160, state:36> place:56088",1727,1319,408
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",1440,1184,256
"Lockport city, New York: Summary level: 160, state:36> place:43082",20306,15482,4824
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",5570,5273,297
"Port Chester village, New York: Summary level: 160, state:36> place:59223",29158,25971,3187
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",17774,17026,748
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",2447,2110,337
"Yonkers city, New York: Summary level: 160, state:36> place:84000",196838,164410,32428
"Round Lake village, New York: Summary level: 160, state:36> place:63957",736,559,177
"Franklin village, New York: Summary level: 160, state:36> place:27221",399,343,56
"Hancock village, New York: Summary level: 160, state:36> place:31940",1070,727,343
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",4958,4245,713
"Attica village, New York: Summary level: 160, state:36> place:03001",3190,2730,460
"Gainesville village, New York: Summary level: 160, state:36> place:27969",232,203,29
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",17626,13796,3830
"Airmont village, New York: Summary level: 160, state:36> place:00408",8508,8101,407
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8355,7673,682
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",21590,21143,447
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",457,359,98
"Springville village, New York: Summary level: 160, state:36> place:70442",4126,3249,877
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",14830,11472,3358
"Canastota village, New York: Summary level: 160, state:36> place:12188",4593,3750,843
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",56763,44018,12745
"Madison village, New York: Summary level: 160, state:36> place:44424",468,413,55
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",2714,2518,196
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",616,385,231
"Mayville village, New York: Summary level: 160, state:36> place:46239",1155,912,243
"Webster village, New York: Summary level: 160, state:36> place:78960",5463,4143,1320
"Nichols village, New York: Summary level: 160, state:36> place:51110",601,561,40
"Dexter village, New York: Summary level: 160, state:36> place:20500",1001,850,151
"Nassau village, New York: Summary level: 160, state:36> place:49506",1048,832,216
"Troy city, New York: Summary level: 160, state:36> place:75484",44850,31113,13737
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",26486,22360,4126
"Johnson City village, New York: Summary level: 160, state:36> place:38748",14146,10355,3791
"Le Roy village, New York: Summary level: 160, state:36> place:42026",4164,3190,974
"Lisle village, New York: Summary level: 160, state:36> place:42642",215,180,35
"Mohawk village, New York: Summary level: 160, state:36> place:47823",2539,1850,689
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",1812,1407,405
"Millbrook village, New York: Summary level: 160, state:36> place:47273",1408,1064,344
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",2422,1758,664
"Greece CDP, New York: Summary level: 160, state:36> place:30279",14749,11660,3089
"Nyack village, New York: Summary level: 160, state:36> place:54100",7180,4714,2466
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",16420,14773,1647
"Suffern village, New York: Summary level: 160, state:36> place:71894",10684,8614,2070
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",798,652,146
"Palmyra village, New York: Summary level: 160, state:36> place:56187",3351,2633,718
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",4013,3035,978
"Horseheads village, New York: Summary level: 160, state:36> place:35694",6389,4686,1703
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",506,454,52
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2094,1666,428
"Lima village, New York: Summary level: 160, state:36> place:42323",2123,1725,398
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",1367,922,445
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",4199,3945,254
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",543,422,121
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",884,695,189
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",307,243,64
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",17363,15009,2354
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",3391,2685,706
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",32192,28904,3288
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",9130,7820,1310
"Harriman village, New York: Summary level: 160, state:36> place:32325",2926,2479,447
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",23281,23177,104
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",6144,5388,756
"Waterville village, New York: Summary level: 160, state:36> place:78663",1495,1198,297
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",283,203,80
"Black River village, New York: Summary level: 160, state:36> place:06794",1210,970,240
"Carthage village, New York: Summary level: 160, state:36> place:12683",3347,2741,606
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",359,279,80
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",659,599,60
"Delhi village, New York: Summary level: 160, state:36> place:20126",1528,982,546
"Morristown village, New York: Summary level: 160, state:36> place:48571",279,205,74
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",2948,2359,589
"Salem CDP, New York: Summary level: 160, state:36> place:64771",683,533,150
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",221,187,34
"Wells CDP, New York: Summary level: 160, state:36> place:79048",628,600,28
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",66,49,17
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",1147,893,254
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",495,440,55
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",448,370,78
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",627,535,92
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",397,245,152
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",112,104,8
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",1914,1572,342
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",319,257,62
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",1103,902,201
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",10146,9285,861
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",6976,6399,577
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",5759,5644,115
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1441,940,501
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",29423,21845,7578
"Tivoli village, New York: Summary level: 160, state:36> place:74023",1095,614,481
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",2740,2342,398
"Southport CDP, New York: Summary level: 160, state:36> place:69606",6929,5203,1726
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",5516,4816,700
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2118,1884,234
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19956,17101,2855
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4981,4407,574
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",7202,6899,303
"Irvington village, New York: Summary level: 160, state:36> place:37803",6472,5614,858
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",3577,2710,867
"Brushton village, New York: Summary level: 160, state:36> place:10286",456,356,100
"Burke village, New York: Summary level: 160, state:36> place:11154",224,176,48
"Amityville village, New York: Summary level: 160, state:36> place:02044",8971,7618,1353
"Babylon village, New York: Summary level: 160, state:36> place:03408",12056,10440,1616
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",31652,28417,3235
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",23658,21289,2369
"Coram CDP, New York: Summary level: 160, state:36> place:18157",39777,33054,6723
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13401,11996,1405
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",20029,18181,1848
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4797,4206,591
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",4731,3279,1452
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",740,523,217
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",8362,7181,1181
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",31847,29448,2399
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",5064,4700,364
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",11353,10698,655
"Candor village, New York: Summary level: 160, state:36> place:12210",645,529,116
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1326,773,553
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",1798,1613,185
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",4484,4045,439
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6376,5790,586
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",2671,2378,293
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",14181,11980,2201
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",19304,17441,1863
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",16311,14305,2006
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5306,5204,102
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",5949,4529,1420
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",466,410,56
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",318,261,57
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",303,105,198
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",204,204,0
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",284,198,86
"Pike CDP, New York: Summary level: 160, state:36> place:57815",240,191,49
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",748,640,108
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",175,175,0
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",399,328,71
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",0,0,0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",1894,1428,466
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",734,568,166
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",699,626,73
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",590,487,103
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",328,291,37
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",122,88,34
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1366,998,368
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2916,2544,372
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4340,3536,804
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",523,503,20
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",509,325,184
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2485,1994,491
"Colton CDP, New York: Summary level: 160, state:36> place:17398",400,359,41
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",455,399,56
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",416,320,96
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2374,1639,735
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",165,137,28
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",145,51,94
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",226,144,82
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",791,629,162
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",337,315,22
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",222,166,56
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",642,575,67
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",472,341,131
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",966,878,88
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",740,471,269
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",671,553,118
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",15393,12428,2965
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",618,488,130
"Erin CDP, New York: Summary level: 160, state:36> place:24625",396,311,85
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",396,338,58
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",1530,1384,146
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",150,143,7
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",336,278,58
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",65,65,0
"Gates CDP, New York: Summary level: 160, state:36> place:28453",5035,4259,776
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",206,181,25
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",930,771,159
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",292,278,14
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",4873,4191,682
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",338,288,50
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",681,633,48
"Bellport village, New York: Summary level: 160, state:36> place:05771",2003,1714,289
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",8332,7577,755
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",27195,24207,2988
"Springs CDP, New York: Summary level: 160, state:36> place:70387",6912,5534,1378
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",12279,11470,809
"Walton village, New York: Summary level: 160, state:36> place:78036",3141,2599,542
"Albany city, New York: Summary level: 160, state:36> place:01000",87475,54753,32722
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",3348,2598,750
"New York city, New York: Summary level: 160, state:36> place:51000",8266644,6612885,1653759
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",1447,1221,226
"Phelps village, New York: Summary level: 160, state:36> place:57518",1723,1407,316
"Falconer village, New York: Summary level: 160, state:36> place:25164",2391,1739,652
"Jamestown city, New York: Summary level: 160, state:36> place:38264",29048,22150,6898
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",2335,1914,421
"Turin village, New York: Summary level: 160, state:36> place:75682",265,245,20
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",17171,16192,979
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",785,734,51
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",1986,1797,189
"Westbury village, New York: Summary level: 160, state:36> place:79444",15251,13388,1863
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",755,697,58
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",1588,1111,477
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",338,252,86
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",812,660,152
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",6756,5149,1607
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",591,516,75
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",5735,4959,776
"Phoenix village, New York: Summary level: 160, state:36> place:57661",2435,1920,515
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",789,660,129
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",3073,2511,562
"Florida village, New York: Summary level: 160, state:36> place:26319",2836,2475,361
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",3094,2520,574
"Middletown city, New York: Summary level: 160, state:36> place:47042",27213,22351,4862
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",9151,7535,1616
"Walden village, New York: Summary level: 160, state:36> place:77849",6689,5769,920
"West Point CDP, New York: Summary level: 160, state:36> place:80747",3466,3347,119
"Chester village, New York: Summary level: 160, state:36> place:15297",3968,3323,645
"Fishkill village, New York: Summary level: 160, state:36> place:25967",1957,1358,599
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6593,6227,366
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",1347,1135,212
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",2436,1736,700
"Philmont village, New York: Summary level: 160, state:36> place:57639",1165,851,314
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",33833,24375,9458
"Rochester city, New York: Summary level: 160, state:36> place:63000",198114,140034,58080
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",12788,11317,1471
"Sidney village, New York: Summary level: 160, state:36> place:67334",4009,3205,804
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",1996,1747,249
"Elba village, New York: Summary level: 160, state:36> place:23745",645,593,52
"Hudson city, New York: Summary level: 160, state:36> place:35969",5649,3794,1855
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",1353,1036,317
"Brockport village, New York: Summary level: 160, state:36> place:08466",5508,3538,1970
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",2728,2076,652
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",1732,1594,138
"Delevan village, New York: Summary level: 160, state:36> place:20115",1000,820,180
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",518,325,193
"Gloversville city, New York: Summary level: 160, state:36> place:29443",14694,11437,3257
"Mayfield village, New York: Summary level: 160, state:36> place:46206",795,693,102
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",557,426,131
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",3113,2275,838
"Warwick village, New York: Summary level: 160, state:36> place:78355",6653,5471,1182
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1262,1043,219
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",49573,39400,10173
"Scottsville village, New York: Summary level: 160, state:36> place:65959",1994,1691,303
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",5198,4948,250
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",7874,7259,615
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",11711,10488,1223
"Kaser village, New York: Summary level: 160, state:36> place:38934",5179,5166,13
"Montebello village, New York: Summary level: 160, state:36> place:48090",4571,3900,671
"New City CDP, New York: Summary level: 160, state:36> place:50100",34279,31708,2571
"Pomona village, New York: Summary level: 160, state:36> place:58992",2928,2632,296
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",719,585,134
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2559,2098,461
"Herkimer village, New York: Summary level: 160, state:36> place:34121",6220,4654,1566
"Middleville village, New York: Summary level: 160, state:36> place:47108",570,493,77
"Beacon city, New York: Summary level: 160, state:36> place:05100",13216,10397,2819
"Victor village, New York: Summary level: 160, state:36> place:77376",2712,2268,444
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",647,527,120
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",3328,2735,593
"Union Springs village, New York: Summary level: 160, state:36> place:76155",1127,982,145
"Colonie village, New York: Summary level: 160, state:36> place:17332",7784,6365,1419
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",1365,1069,296
"Clayton village, New York: Summary level: 160, state:36> place:16089",2004,1599,405
"Deferiet village, New York: Summary level: 160, state:36> place:19994",300,247,53
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",382,311,71
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",456,348,108
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",3434,2859,575
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",1796,1395,401
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",1156,1025,131
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",2050,1732,318
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",1858,1517,341
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",2113,1383,730
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1800,1342,458
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",7086,5573,1513
"Waterford village, New York: Summary level: 160, state:36> place:78520",2086,1585,501
"Lake George village, New York: Summary level: 160, state:36> place:40508",1027,765,262
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",715,575,140
"Malone village, New York: Summary level: 160, state:36> place:44710",5417,4257,1160
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",1673,1307,366
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1320,1065,255
"Little Valley village, New York: Summary level: 160, state:36> place:42829",1020,809,211
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5251,4633,618
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",26488,25435,1053
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",42283,37956,4327
"Brownville village, New York: Summary level: 160, state:36> place:10231",1040,911,129
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",10568,9335,1233
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",13599,10893,2706
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",9766,8614,1152
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",2325,1759,566
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",4753,4120,633
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",3277,2666,611
"Stillwater village, New York: Summary level: 160, state:36> place:71322",1954,1671,283
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",6888,5772,1116
"Great River CDP, New York: Summary level: 160, state:36> place:30235",1373,1301,72
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",19429,17212,2217
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",27015,24274,2741
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1696,1408,288
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7193,6645,548
"Bronxville village, New York: Summary level: 160, state:36> place:08532",6140,5385,755
"Centre Island village, New York: Summary level: 160, state:36> place:13618",472,400,72
"Chittenango village, New York: Summary level: 160, state:36> place:15561",4835,4190,645
"Larchmont village, New York: Summary level: 160, state:36> place:41333",6082,5560,522
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10819,8803,2016
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",6837,5865,972
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1398,1213,185
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",25067,23084,1983
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6656,6123,533
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",18130,15850,2280
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",4317,3950,367
"Great Neck village, New York: Summary level: 160, state:36> place:30169",10189,9518,671
"Kings Point village, New York: Summary level: 160, state:36> place:39694",4602,4448,154
"Peru CDP, New York: Summary level: 160, state:36> place:57364",1421,1170,251
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",16290,10003,6287
"Watervliet city, New York: Summary level: 160, state:36> place:78674",10105,6969,3136
"East Hills village, New York: Summary level: 160, state:36> place:22260",7106,6835,271
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",8639,6886,1753
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",3910,3545,365
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",1183,1167,16
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",9782,9018,764
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",17105,16126,979
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",15716,15049,667
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",3451,3248,203
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",949,904,45
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",3123,2917,206
"Margaretville village, New York: Summary level: 160, state:36> place:45557",470,335,135
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",6923,6631,292
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",1602,1523,79
"Williston Park village, New York: Summary level: 160, state:36> place:82117",7278,6594,684
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",7580,6745,835
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3373,2440,933
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1170,843,327
"Rome city, New York: Summary level: 160, state:36> place:63418",29998,23598,6400
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",4126,3596,530
"Canton village, New York: Summary level: 160, state:36> place:12331",3092,2004,1088
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",3839,3429,410
"Piermont village, New York: Summary level: 160, state:36> place:57749",2538,1885,653
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",3111,2751,360
"Massena village, New York: Summary level: 160, state:36> place:46019",9848,7449,2399
"Potsdam village, New York: Summary level: 160, state:36> place:59564",4471,2823,1648
"Unadilla village, New York: Summary level: 160, state:36> place:76001",1074,888,186
"Highland CDP, New York: Summary level: 160, state:36> place:34484",5315,4338,977
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",2126,1507,619
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",3565,2942,623
"New Paltz village, New York: Summary level: 160, state:36> place:50551",4253,1524,2729
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",166,94,72
"Deposit village, New York: Summary level: 160, state:36> place:20346",1685,1393,292
"Corinth village, New York: Summary level: 160, state:36> place:18212",2504,2163,341
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1532,1121,411
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4596,3991,605
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",4045,3784,261
"White Plains city, New York: Summary level: 160, state:36> place:81677",56683,44953,11730
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",1820,1391,429
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",260,247,13
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6145,5208,937
"Scotia village, New York: Summary level: 160, state:36> place:65893",7701,6053,1648
"Northville village, New York: Summary level: 160, state:36> place:53770",1202,1016,186
"Cleveland village, New York: Summary level: 160, state:36> place:16188",679,540,139
"Mexico village, New York: Summary level: 160, state:36> place:46811",1561,1267,294
"Monticello village, New York: Summary level: 160, state:36> place:48175",6132,4927,1205
"Goshen village, New York: Summary level: 160, state:36> place:29542",5193,4216,977
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",3827,2915,912
"Maybrook village, New York: Summary level: 160, state:36> place:46162",3368,2752,616
"Lacona village, New York: Summary level: 160, state:36> place:40200",731,557,174
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",1032,782,250
"Liberty village, New York: Summary level: 160, state:36> place:42224",3968,3254,714
"Monroe village, New York: Summary level: 160, state:36> place:47988",8541,8098,443
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",615,504,111
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",1104,924,180
"Montgomery village, New York: Summary level: 160, state:36> place:48142",4537,4055,482
"Newburgh city, New York: Summary level: 160, state:36> place:50034",27346,22859,4487
"Unionville village, New York: Summary level: 160, state:36> place:76210",717,633,84
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",2337,2150,187
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",1305,1140,165
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",249,116,133
"Athens village, New York: Summary level: 160, state:36> place:02902",1542,1208,334
"Accord CDP, New York: Summary level: 160, state:36> place:00155",508,448,60
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",1004,717,287
