,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1990,1379,611
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",699,668,31
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",608,486,122
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",22101,19638,2463
"Coram CDP, New York: Summary level: 160, state:36> place:18157",39624,33650,5974
"Corfu village, New York: Summary level: 160, state:36> place:18201",749,636,113
"Corinth village, New York: Summary level: 160, state:36> place:18212",2544,2144,400
"Corning city, New York: Summary level: 160, state:36> place:18256",10969,7805,3164
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",2959,2480,479
"Cortland city, New York: Summary level: 160, state:36> place:18388",16025,10851,5174
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1344,1243,101
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2128,2081,47
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",216,181,35
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2779,2273,506
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",480,322,158
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",197,178,19
"Croghan village, New York: Summary level: 160, state:36> place:19070",574,422,152
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",1941,1806,135
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",7975,7084,891
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2649,2343,306
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1565,1012,553
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",528,378,150
"Cuba village, New York: Summary level: 160, state:36> place:19356",1531,1221,310
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1604,1416,188
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",151,89,62
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3195,2790,405
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",429,418,11
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",373,333,40
"Dannemora village, New York: Summary level: 160, state:36> place:19642",940,738,202
"Dansville village, New York: Summary level: 160, state:36> place:19664",4611,3655,956
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",369,289,80
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",27427,24424,3003
"Deferiet village, New York: Summary level: 160, state:36> place:19994",263,226,37
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",360,315,45
"Delanson village, New York: Summary level: 160, state:36> place:20082",371,309,62
"Delevan village, New York: Summary level: 160, state:36> place:20115",1236,1030,206
"Delhi village, New York: Summary level: 160, state:36> place:20126",1845,1155,690
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",944,823,121
"Depew village, New York: Summary level: 160, state:36> place:20313",15226,12217,3009
"Deposit village, New York: Summary level: 160, state:36> place:20346",1868,1549,319
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",6,4,2
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",515,385,130
"Dexter village, New York: Summary level: 160, state:36> place:20500",1271,1129,142
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",26303,24785,1518
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",9871,8338,1533
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2066,1763,303
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",1241,896,345
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",629,546,83
"Dresden village, New York: Summary level: 160, state:36> place:20896",325,267,58
"Dryden village, New York: Summary level: 160, state:36> place:20951",1961,1514,447
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",329,264,65
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",283,225,58
"Dundee village, New York: Summary level: 160, state:36> place:21050",1714,1327,387
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",12321,9346,2975
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",631,547,84
"Earlville village, New York: Summary level: 160, state:36> place:21523",957,823,134
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",2109,1414,695
"East Aurora village, New York: Summary level: 160, state:36> place:21589",5886,4934,952
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",494,441,53
"Monroe village, New York: Summary level: 160, state:36> place:47988",8427,7907,520
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",17910,17495,415
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3400,2458,942
"Montebello village, New York: Summary level: 160, state:36> place:48090",4531,4242,289
"Montgomery village, New York: Summary level: 160, state:36> place:48142",4000,3579,421
"Monticello village, New York: Summary level: 160, state:36> place:48175",6437,4886,1551
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1658,1157,501
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",2661,2351,310
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",266,162,104
"Moravia village, New York: Summary level: 160, state:36> place:48296",1329,1098,231
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",2140,1586,554
"Morris village, New York: Summary level: 160, state:36> place:48483",462,326,136
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1937,1617,320
"Morristown village, New York: Summary level: 160, state:36> place:48571",497,426,71
"Morrisville village, New York: Summary level: 160, state:36> place:48593",722,563,159
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1512,1307,205
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6847,5588,1259
