,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Carthage village, New York: Summary level: 160, state:36> place:12683",793,11,0,170,0,819,426,0,19,67,0,393,0,35,28,0
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",60,0,2,12,2,207,122,0,4,5,0,85,8,2,7,0
"Castile village, New York: Summary level: 160, state:36> place:12771",140,8,7,11,8,279,179,0,17,8,0,100,6,0,0,0
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",121,6,6,14,0,399,273,20,31,19,0,126,3,3,3,7
"Castorland village, New York: Summary level: 160, state:36> place:12881",39,3,2,4,2,66,33,0,0,3,0,33,0,1,4,0
"Cato village, New York: Summary level: 160, state:36> place:12958",74,6,9,15,0,138,106,0,0,3,3,32,0,0,0,0
"Catskill village, New York: Summary level: 160, state:36> place:13002",689,102,27,240,19,619,385,41,38,33,0,234,16,18,25,0
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",128,0,14,28,5,340,196,3,3,18,0,144,10,3,3,0
"Cayuga village, New York: Summary level: 160, state:36> place:13068",38,4,4,0,0,169,123,6,4,0,0,46,0,6,0,0
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",755,28,83,221,54,721,413,0,11,27,0,308,9,33,21,12
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",393,9,40,81,40,553,325,15,16,45,0,228,6,0,19,0
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",742,0,68,282,75,1391,809,138,82,179,0,582,29,29,50,0
"Celoron village, New York: Summary level: 160, state:36> place:13288",197,11,11,46,16,317,186,6,0,22,0,131,3,14,0,0
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",1438,134,188,524,51,8575,6565,679,759,1217,27,2010,69,94,216,21
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",569,89,43,123,64,2203,1544,122,114,310,0,659,0,11,233,0
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",141,0,0,84,30,1892,1262,66,83,277,0,630,60,31,128,0
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",102,0,0,43,47,72,22,0,0,0,0,50,0,0,0,0
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",3149,299,298,1004,256,6685,5488,478,577,1518,8,1197,103,100,132,0
"Central Square village, New York: Summary level: 160, state:36> place:13585",346,20,14,79,5,472,346,20,15,33,0,126,4,4,7,0
"Centre Island village, New York: Summary level: 160, state:36> place:13618",19,0,0,1,12,138,72,3,6,12,4,66,0,1,7,2
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",350,65,17,35,25,325,157,0,15,12,0,168,0,0,12,0
"Champlain village, New York: Summary level: 160, state:36> place:13739",219,20,24,81,13,242,121,3,0,16,0,121,3,3,4,0
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",140,0,14,49,0,354,262,37,13,36,0,92,0,0,15,0
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",108,6,0,26,8,198,137,2,7,11,0,61,0,0,2,0
"Chatham village, New York: Summary level: 160, state:36> place:14003",367,4,33,128,7,331,232,27,14,36,0,99,2,6,4,0
"Chaumont village, New York: Summary level: 160, state:36> place:14036",81,14,5,7,5,161,94,15,5,19,0,67,0,2,5,0
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",31,0,0,0,17,142,57,0,0,31,0,85,0,22,0,0
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",23,0,0,0,9,151,93,0,0,0,0,58,0,8,0,0
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",9747,598,669,2248,659,23015,14025,684,825,1345,53,8990,300,365,352,117
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",103,11,0,0,0,1066,724,10,75,90,0,342,10,0,35,9
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",60,1,3,26,3,139,73,4,2,6,0,66,4,0,16,0
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",89,12,9,22,11,153,80,2,21,8,0,73,0,2,6,0
"Chester village, New York: Summary level: 160, state:36> place:15297",528,13,37,127,8,1171,841,96,67,124,0,330,32,14,70,0
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",49,0,0,25,0,260,189,0,10,81,0,71,8,0,9,0
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",428,42,21,172,5,2070,1429,131,176,295,0,641,28,25,87,0
"Chittenango village, New York: Summary level: 160, state:36> place:15561",414,20,87,102,21,1488,1141,60,28,90,0,347,0,0,16,0
"Churchville village, New York: Summary level: 160, state:36> place:15638",146,15,0,0,0,679,424,13,20,17,0,255,7,7,16,0
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",308,17,33,72,18,701,422,9,0,60,0,279,15,0,0,0
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",73,0,0,0,0,679,488,13,44,83,0,191,0,0,0,0
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",384,15,0,66,2,592,285,11,40,54,0,307,0,0,19,11
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",357,0,16,130,13,1230,916,23,13,49,0,314,0,0,19,0
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",141,0,0,0,0,240,132,0,0,0,0,108,0,15,14,0
"Clayton village, New York: Summary level: 160, state:36> place:16089",416,32,36,78,16,388,265,17,10,40,0,123,0,0,17,2
"Clayville village, New York: Summary level: 160, state:36> place:16111",71,10,0,5,7,103,53,0,2,10,0,50,0,1,4,0
"Cleveland village, New York: Summary level: 160, state:36> place:16188",57,0,25,18,4,245,124,2,10,16,0,121,0,3,7,0
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",337,15,13,77,12,476,347,13,12,22,0,129,0,18,0,0
"Clinton village, New York: Summary level: 160, state:36> place:16419",353,9,42,77,12,546,326,8,15,9,0,220,11,0,11,0
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",244,30,0,42,37,280,226,0,0,35,0,54,0,0,0,0
"Clyde village, New York: Summary level: 160, state:36> place:16573",200,20,0,81,21,536,298,14,4,20,0,238,8,9,14,5
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",813,32,72,375,16,827,565,10,14,107,0,262,26,36,11,0
"Cohocton village, New York: Summary level: 160, state:36> place:16727",92,6,17,9,2,305,201,19,17,33,0,104,7,2,2,3
"Cohoes city, New York: Summary level: 160, state:36> place:16749",4027,212,248,825,126,3319,2222,101,273,294,0,1097,49,83,35,0
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",46,2,10,17,2,95,28,0,0,2,0,67,3,0,0,0
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",364,33,9,96,33,494,281,15,15,61,0,213,18,6,31,0
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",88,9,47,12,10,1619,1127,121,105,225,0,492,23,17,88,6
"Colonie village, New York: Summary level: 160, state:36> place:17332",586,57,24,107,0,2633,1664,103,74,181,10,969,26,7,45,0
"Colton CDP, New York: Summary level: 160, state:36> place:17398",79,16,0,28,3,116,93,9,2,12,0,23,0,0,0,0
"Commack CDP, New York: Summary level: 160, state:36> place:17530",934,83,134,283,73,10709,7390,515,612,1486,23,3319,157,188,576,31
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",44,0,0,32,0,76,47,0,0,16,0,29,5,0,6,0
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",247,4,6,71,41,1182,779,65,71,87,0,403,0,0,21,0
"Congers CDP, New York: Summary level: 160, state:36> place:17739",421,26,0,144,22,2482,1772,160,170,396,0,710,28,53,71,0
"Constableville village, New York: Summary level: 160, state:36> place:17882",23,10,0,7,4,102,58,0,0,4,0,44,0,2,4,1
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",133,18,0,18,47,244,183,0,0,30,0,61,0,0,0,0
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",70,0,0,0,0,177,101,28,0,0,0,76,0,0,0,0
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",476,40,5,104,29,535,284,26,12,57,0,251,0,11,47,0
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",17,0,0,11,0,264,166,24,30,4,0,98,0,21,0,0
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",118,9,11,17,5,134,86,4,0,0,0,48,0,0,0,0
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",2171,166,284,640,160,5277,3638,227,387,953,0,1639,114,65,288,26
"Coram CDP, New York: Summary level: 160, state:36> place:18157",4771,459,667,992,157,9903,7541,606,660,1524,62,2362,153,262,313,23
"Corfu village, New York: Summary level: 160, state:36> place:18201",105,0,20,11,5,209,144,5,6,12,0,65,0,1,0,0
"Corinth village, New York: Summary level: 160, state:36> place:18212",359,14,16,95,23,593,346,20,13,53,0,247,4,0,20,0
"Corning city, New York: Summary level: 160, state:36> place:18256",2540,80,90,561,143,2713,1618,120,62,83,11,1095,37,44,43,8
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",373,21,7,114,11,821,605,10,57,77,13,216,4,7,2,11
"Cortland city, New York: Summary level: 160, state:36> place:18388",3627,188,268,991,215,2965,1818,59,136,107,7,1147,14,23,59,0
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",25,0,0,0,0,476,339,19,12,26,0,137,13,0,0,47
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",29,0,0,0,0,701,530,36,7,0,0,171,0,0,0,0
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",13,0,0,0,6,71,43,0,2,16,0,28,0,2,0,0
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",438,10,38,69,60,675,503,12,36,62,0,172,28,6,0,5
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",25,0,0,25,0,198,92,0,0,0,0,106,0,0,0,0
