,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",601,52,39,206,31,653,413,33,25,72,0,240,34,24,70,0
"Greece CDP, New York: Summary level: 160, state:36> place:30279",1869,32,161,423,59,4436,2610,75,60,234,34,1826,85,52,148,0
"Nyack village, New York: Summary level: 160, state:36> place:54100",2395,122,244,568,76,905,626,49,42,175,0,279,0,69,50,0
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",1066,64,95,331,21,4669,3136,143,252,352,10,1533,55,77,161,20
"Suffern village, New York: Summary level: 160, state:36> place:71894",1293,25,67,236,169,3071,1979,202,161,288,0,1092,30,66,154,19
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",123,2,12,18,19,246,116,4,3,10,0,130,10,3,11,2
"Palmyra village, New York: Summary level: 160, state:36> place:56187",738,19,30,185,31,733,456,16,21,36,0,277,6,21,8,0
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",956,42,46,188,30,855,558,0,36,11,0,297,0,0,9,23
"Horseheads village, New York: Summary level: 160, state:36> place:35694",1263,95,86,296,54,1735,1042,60,36,28,0,693,14,7,34,0
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",25,0,0,0,12,140,88,2,19,7,0,52,3,1,2,0
"Caledonia village, New York: Summary level: 160, state:36> place:11704",271,40,23,54,9,664,396,0,12,10,0,268,5,0,29,0
"Lima village, New York: Summary level: 160, state:36> place:42323",297,20,54,59,0,614,433,0,7,21,0,181,11,0,9,0
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",415,15,0,154,0,247,149,46,0,0,0,98,0,0,12,0
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",85,0,9,34,11,1304,783,50,12,91,0,521,9,55,35,0
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",22,0,0,0,0,229,172,30,0,35,0,57,18,0,16,0
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",68,0,0,15,5,307,177,4,22,5,0,130,14,7,5,0
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",23,0,5,1,4,109,59,3,7,23,0,50,3,3,2,1
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",1790,146,148,607,40,4592,3168,191,268,544,0,1424,39,101,204,0
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",415,16,21,121,17,991,566,20,91,52,0,425,22,59,39,17
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",6717,365,665,2372,281,2656,1877,93,159,525,0,779,76,29,90,63
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",1305,28,139,295,37,2008,1368,40,58,209,0,640,9,20,71,0
"Harriman village, New York: Summary level: 160, state:36> place:32325",597,27,26,124,46,468,306,23,27,75,0,162,0,0,25,0
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",2974,175,388,1344,194,1115,878,69,102,304,0,237,11,27,15,0
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",485,22,12,147,9,1829,1337,122,108,150,0,492,8,31,27,0
"Waterville village, New York: Summary level: 160, state:36> place:78663",244,0,8,29,31,389,211,3,3,0,0,178,0,12,7,3
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",39,0,4,0,0,105,40,0,12,2,0,65,0,0,7,10
"Black River village, New York: Summary level: 160, state:36> place:06794",228,3,6,5,21,285,142,7,5,5,0,143,10,16,0,0
"Carthage village, New York: Summary level: 160, state:36> place:12683",734,19,95,185,5,511,243,0,0,35,0,268,14,0,25,10
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",19,0,0,0,0,134,111,0,0,0,0,23,0,0,0,0
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",73,0,0,73,0,196,54,0,21,0,0,142,0,0,65,0
"Delhi village, New York: Summary level: 160, state:36> place:20126",369,20,24,126,18,410,206,23,4,20,0,204,7,18,6,0
"Morristown village, New York: Summary level: 160, state:36> place:48571",20,6,0,7,0,108,80,2,5,12,0,28,2,0,0,2
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",429,42,11,125,19,773,448,14,21,31,9,325,0,0,10,20
"Salem CDP, New York: Summary level: 160, state:36> place:64771",71,7,2,13,25,227,126,3,12,29,0,101,6,6,5,0
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",28,0,0,18,0,69,17,0,0,8,0,52,0,0,0,0
"Wells CDP, New York: Summary level: 160, state:36> place:79048",12,0,0,4,5,104,56,2,2,18,0,48,3,2,0,0
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",0,0,0,0,0,38,17,17,0,0,0,21,0,0,0,0
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",205,4,6,34,18,288,155,5,6,0,0,133,0,0,9,5
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",20,0,0,5,0,128,60,4,0,0,0,68,0,0,0,0
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",54,3,3,9,0,108,57,3,4,2,0,51,3,0,3,0
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",0,0,0,0,0,253,145,26,8,30,0,108,0,0,21,0
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",81,2,1,14,6,113,68,7,3,14,0,45,4,0,5,0
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",7,0,0,0,2,40,19,2,6,0,0,21,0,0,0,0
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",239,18,5,101,6,616,372,25,4,13,0,244,0,5,25,0
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",61,0,0,12,19,89,50,4,0,5,0,39,0,8,0,0
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",145,3,37,60,8,391,177,8,1,18,0,214,12,10,7,0
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",1226,143,111,354,46,1845,1365,91,215,298,0,480,16,0,33,22
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",137,0,10,0,44,2222,1288,34,119,352,0,934,43,40,126,5
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",60,18,0,9,19,1448,1061,47,100,276,46,387,4,32,30,0
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",307,0,2,97,9,353,184,10,9,0,0,169,0,0,9,0
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",8374,498,663,3000,325,4253,2785,220,298,471,0,1468,56,39,191,15
"Tivoli village, New York: Summary level: 160, state:36> place:74023",237,5,6,101,32,249,157,17,17,16,0,92,0,24,0,0
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",289,0,14,16,41,764,469,15,30,18,0,295,16,0,16,0
"Southport CDP, New York: Summary level: 160, state:36> place:69606",1043,97,98,168,34,2193,1308,47,39,148,18,885,8,0,65,6
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",350,19,24,66,0,1644,1222,53,75,233,16,422,10,17,60,0
"Buchanan village, New York: Summary level: 160, state:36> place:10341",169,10,5,49,9,558,405,19,30,40,0,153,14,6,12,0
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",1610,61,90,558,113,6207,4030,171,370,437,8,2177,74,111,297,9
"Elmsford village, New York: Summary level: 160, state:36> place:24295",827,32,73,160,39,731,579,64,110,139,0,152,0,20,37,0
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",127,0,0,39,0,2155,1553,80,86,236,9,602,0,9,57,31
"Irvington village, New York: Summary level: 160, state:36> place:37803",483,37,49,276,0,1930,1290,62,105,150,43,640,0,14,118,0
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",889,59,90,211,20,796,523,0,28,114,3,273,7,8,17,0
"Brushton village, New York: Summary level: 160, state:36> place:10286",77,2,2,24,9,118,66,0,8,5,0,52,0,0,0,0
"Burke village, New York: Summary level: 160, state:36> place:11154",28,0,0,15,0,64,30,2,0,0,0,34,1,2,0,3
"Amityville village, New York: Summary level: 160, state:36> place:02044",996,8,46,381,79,2425,1636,147,115,326,0,789,25,60,123,0
"Babylon village, New York: Summary level: 160, state:36> place:03408",992,52,143,204,73,3332,2415,129,109,420,33,917,22,48,141,0
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",3146,182,271,1192,52,6037,4409,234,541,1028,23,1628,67,76,248,0
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",1402,99,208,339,94,5614,3899,313,416,1008,19,1715,40,35,367,11
"Coram CDP, New York: Summary level: 160, state:36> place:18157",4674,285,702,1212,125,10011,7186,579,691,1301,22,2825,149,159,411,26
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",541,27,0,117,29,3782,2607,134,232,295,9,1175,0,72,157,16
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",1034,21,117,392,102,5949,3927,250,233,561,32,2022,55,118,212,20
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",218,0,0,110,32,1677,1089,24,44,229,0,588,35,63,59,0
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",618,27,47,126,20,1790,1071,73,86,125,0,719,15,39,53,0
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",54,4,6,8,12,304,146,4,4,40,0,158,7,15,15,4
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",863,45,126,364,27,2342,1570,71,128,258,0,772,36,26,90,34
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",1653,110,64,624,113,8029,5804,386,584,673,6,2225,138,99,201,28
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",267,36,22,45,8,1447,881,39,35,90,0,566,10,8,55,11
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",234,25,23,22,7,3332,2236,67,222,505,0,1096,89,72,260,0
"Candor village, New York: Summary level: 160, state:36> place:12210",45,1,2,25,4,229,139,5,13,8,0,90,2,9,5,0
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",644,36,64,258,44,145,79,7,14,12,0,66,0,0,0,0
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",59,0,0,15,10,637,401,35,6,32,0,236,9,12,20,0
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",234,5,41,53,57,1384,864,64,57,180,0,520,48,63,126,0
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",131,24,16,10,32,1853,1326,76,78,233,0,527,9,16,77,10
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",35,0,0,10,0,963,634,17,33,91,0,329,0,0,27,0
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",1685,90,166,668,130,3817,2239,158,135,550,0,1578,31,47,285,8
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",1205,76,109,372,96,5349,3915,221,279,514,0,1434,39,10,211,10
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",1194,22,84,439,179,4877,3243,80,197,522,0,1634,74,176,155,5
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",128,14,27,0,7,1167,918,28,52,230,10,249,7,40,0,0
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",902,41,92,268,33,1762,1017,31,95,47,0,745,11,24,20,9
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",99,18,12,24,6,90,53,0,0,3,0,37,0,0,0,0
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",39,0,0,14,3,94,55,0,4,0,0,39,0,0,3,0
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",108,0,0,22,13,47,22,0,22,0,0,25,0,0,0,0
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",28,0,0,5,0,24,24,0,0,0,0,0,0,0,0,0
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",25,0,0,0,0,106,83,0,0,18,0,23,0,0,0,0
"Pike CDP, New York: Summary level: 160, state:36> place:57815",10,0,0,4,3,100,40,12,0,3,0,60,0,0,4,0
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",23,0,0,0,0,283,158,0,0,58,0,125,0,0,0,0
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",0,0,0,0,0,43,16,0,0,0,0,27,0,0,0,0
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",49,42,0,0,0,161,114,7,0,9,0,47,0,0,6,0
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",40,0,9,0,0,719,419,0,16,105,0,300,0,33,65,0
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",138,5,5,23,4,170,56,0,0,0,0,114,0,0,0,0
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",70,30,9,0,0,235,119,0,0,37,0,116,0,12,26,0
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",31,0,0,6,0,237,68,9,9,21,0,169,0,0,10,0
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",20,0,0,0,0,88,52,0,0,14,0,36,0,0,0,0
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",0,0,0,0,0,68,24,0,0,0,0,44,0,0,0,0
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",260,0,16,21,0,322,184,0,0,34,0,138,0,0,0,0
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",87,7,20,0,21,1010,656,38,35,35,0,354,7,0,52,0
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",383,55,0,72,25,1357,1040,27,29,29,14,317,0,52,16,0
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",45,0,0,25,0,146,123,0,0,0,0,23,0,0,0,0
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",154,32,0,0,0,109,85,0,0,9,0,24,0,0,0,0
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",334,13,29,66,12,720,497,15,0,48,0,223,0,0,14,0
"Colton CDP, New York: Summary level: 160, state:36> place:17398",25,0,0,9,10,132,77,11,4,0,0,55,0,0,7,3
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",43,6,0,16,6,116,96,9,0,3,0,20,0,0,0,0
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",0,0,0,0,0,204,71,0,0,0,0,133,0,0,14,0
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",193,28,2,36,18,1039,685,26,38,69,0,354,5,0,20,0
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",8,0,0,0,4,75,32,2,0,12,0,43,0,2,0,0
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",40,0,0,30,0,67,17,0,0,8,0,50,0,0,8,0
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",50,0,5,40,0,86,51,0,0,0,0,35,0,0,5,0
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",56,0,27,0,29,344,192,9,19,11,0,152,0,0,19,9
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",5,0,0,3,0,125,64,0,3,10,0,61,0,0,0,0
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",56,0,0,9,0,38,0,0,0,0,0,38,0,0,0,0
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",52,16,0,12,0,157,86,0,5,4,0,71,0,8,5,0
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",48,7,7,0,10,169,45,0,0,0,0,124,0,0,0,0
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",128,0,0,15,59,138,105,0,0,0,0,33,0,0,0,0
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",227,0,57,63,0,123,64,0,17,0,0,59,0,0,0,0
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",67,0,3,0,10,200,114,4,0,0,0,86,5,0,3,0
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",1513,118,101,398,276,4934,3142,73,212,211,0,1792,15,12,73,0
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",82,3,16,16,0,180,103,2,0,0,3,77,9,0,3,4
"Erin CDP, New York: Summary level: 160, state:36> place:24625",4,4,0,0,0,160,48,4,4,0,0,112,0,4,10,0
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",35,0,0,24,0,132,11,0,0,0,0,121,0,0,0,0
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",94,0,15,16,10,408,193,4,13,10,2,215,3,3,3,7
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",24,0,0,24,0,34,27,0,0,0,0,7,0,0,7,0
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",50,0,0,0,0,116,65,5,0,15,0,51,0,6,11,0
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",0,0,0,0,0,32,5,5,0,0,0,27,0,0,0,0
"Gates CDP, New York: Summary level: 160, state:36> place:28453",157,0,15,43,0,1922,1278,72,62,190,0,644,0,11,30,22
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",0,0,0,0,0,72,24,0,0,0,0,48,0,24,0,0
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",88,0,14,26,0,276,142,29,22,10,0,134,0,8,4,0
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",27,0,0,0,0,88,37,0,0,0,0,51,0,0,12,0
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",173,18,12,12,29,1793,1288,13,16,136,0,505,14,0,0,13
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",42,0,0,0,0,71,63,0,10,0,0,8,0,0,0,0
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",10,0,4,0,6,240,130,9,13,23,0,110,4,9,3,3
"Bellport village, New York: Summary level: 160, state:36> place:05771",109,0,34,38,5,714,400,11,32,70,0,314,14,17,46,11
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",459,15,17,101,10,2294,1662,100,185,349,0,632,41,73,91,15
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",1413,157,160,449,150,7181,5006,270,387,850,39,2175,132,101,416,9
"Springs CDP, New York: Summary level: 160, state:36> place:70387",380,0,61,211,14,2299,1253,148,96,287,0,1046,17,46,66,0
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",819,42,111,372,53,2923,2068,95,238,342,0,855,0,26,74,9
"Walton village, New York: Summary level: 160, state:36> place:78036",527,72,0,126,29,731,379,17,0,43,0,352,17,17,0,6
"Albany city, New York: Summary level: 160, state:36> place:01000",26031,1448,2133,8139,860,15176,9605,446,388,843,61,5571,159,105,305,23
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",541,39,27,71,14,884,533,52,43,40,0,351,42,9,0,0
"New York city, New York: Summary level: 160, state:36> place:51000",2124263,128744,176376,584722,109433,1029840,607211,35898,47682,138761,4149,422629,12324,17149,48668,6259
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",170,16,10,41,5,433,295,10,13,14,0,138,4,3,27,4
"Phelps village, New York: Summary level: 160, state:36> place:57518",277,17,50,57,23,487,334,18,6,28,0,153,0,0,4,0
"Falconer village, New York: Summary level: 160, state:36> place:25164",425,17,64,29,38,672,324,26,0,11,0,348,0,6,6,12
"Jamestown city, New York: Summary level: 160, state:36> place:38264",6218,418,515,2140,229,6434,3512,147,152,318,30,2922,89,102,180,35
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",196,0,14,45,20,774,451,10,4,78,0,323,0,13,27,13
"Turin village, New York: Summary level: 160, state:36> place:75682",11,0,0,5,6,76,45,0,2,0,0,31,2,0,0,0
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",706,39,47,280,10,4434,2561,95,171,459,0,1873,19,133,319,45
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",4,0,0,0,2,255,116,15,11,11,0,139,7,9,24,2
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",102,14,26,19,8,460,333,29,43,54,0,127,13,3,5,0
"Westbury village, New York: Summary level: 160, state:36> place:79444",1219,31,123,348,122,3699,2422,122,186,398,28,1277,37,100,225,24
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",5,0,0,0,2,263,155,8,21,41,0,108,3,4,11,5
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",347,22,0,53,0,451,156,0,0,0,0,295,0,44,31,0
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",52,3,0,0,10,114,72,3,0,9,0,42,0,0,2,0
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",128,8,10,31,7,197,113,7,15,19,0,84,0,0,2,3
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",1681,159,167,558,75,1260,828,65,27,121,0,432,14,0,14,21
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",35,0,5,10,8,198,126,13,3,61,0,72,2,2,17,2
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",486,19,39,136,52,1636,1200,74,72,141,0,436,0,12,76,0
"Phoenix village, New York: Summary level: 160, state:36> place:57661",671,26,108,85,39,415,285,7,7,34,0,130,4,0,5,0
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",103,6,1,16,9,199,134,3,13,1,0,65,4,0,2,0
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",291,38,49,77,8,887,574,76,8,198,0,313,15,40,9,0
"Florida village, New York: Summary level: 160, state:36> place:26319",232,19,0,34,25,776,524,44,73,46,0,252,0,20,23,0
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",266,0,0,38,39,952,723,68,48,50,0,229,0,15,108,0
"Middletown city, New York: Summary level: 160, state:36> place:47042",4587,332,551,1482,365,5744,3376,110,300,468,65,2368,129,76,132,81
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",1062,53,205,244,75,2444,1551,29,165,225,0,893,26,70,132,0
"Walden village, New York: Summary level: 160, state:36> place:77849",702,50,41,109,23,1508,1022,13,144,115,0,486,49,0,29,81
"West Point CDP, New York: Summary level: 160, state:36> place:80747",876,27,156,127,204,6,0,0,0,0,0,6,0,0,0,0
"Chester village, New York: Summary level: 160, state:36> place:15297",466,24,0,250,30,952,768,65,87,113,25,184,12,8,36,0
"Fishkill village, New York: Summary level: 160, state:36> place:25967",619,44,36,98,44,361,194,22,0,37,0,167,5,12,20,0
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",159,0,65,54,6,2200,1547,138,37,143,0,653,11,28,31,9
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",188,22,0,112,4,363,206,9,7,46,0,157,11,0,14,0
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",786,71,47,214,76,304,188,0,0,18,0,116,41,0,0,0
"Philmont village, New York: Summary level: 160, state:36> place:57639",338,19,25,66,19,230,114,25,13,25,0,116,2,0,21,0
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",6561,341,356,1638,291,8880,5660,83,352,420,40,3220,79,67,143,32
"Rochester city, New York: Summary level: 160, state:36> place:63000",54831,3057,4807,17969,2457,31226,19929,732,830,2682,105,11297,259,329,716,170
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",732,81,32,229,55,3644,2231,197,232,264,0,1413,67,60,155,8
"Sidney village, New York: Summary level: 160, state:36> place:67334",760,79,79,208,0,969,567,22,0,145,0,402,12,0,13,0
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",100,4,4,28,12,684,410,18,35,68,0,274,10,22,50,0
"Elba village, New York: Summary level: 160, state:36> place:23745",33,0,2,9,4,202,111,2,8,5,0,91,4,0,2,0
"Hudson city, New York: Summary level: 160, state:36> place:35969",1832,58,108,402,146,862,520,0,20,86,14,342,0,8,37,26
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",282,18,57,25,0,274,128,14,20,5,0,146,0,0,10,0
"Brockport village, New York: Summary level: 160, state:36> place:08466",1353,95,98,457,76,907,501,5,38,21,0,406,19,31,12,7
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",507,60,9,74,17,696,423,19,9,52,0,273,0,0,22,0
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",55,0,12,33,0,536,383,16,35,55,0,153,3,11,13,0
"Delevan village, New York: Summary level: 160, state:36> place:20115",199,9,15,56,15,204,123,2,12,11,3,81,0,0,0,0
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",133,0,9,0,10,162,98,0,8,33,0,64,8,0,0,0
"Gloversville city, New York: Summary level: 160, state:36> place:29443",2907,168,300,853,127,3252,1789,38,83,151,8,1463,41,44,139,33
"Mayfield village, New York: Summary level: 160, state:36> place:46206",70,2,21,9,9,251,176,3,6,21,0,75,0,1,12,2
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",18,0,0,0,18,224,76,18,14,0,0,148,16,0,0,0
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",717,47,145,275,8,668,457,17,14,153,0,211,7,20,16,8
"Warwick village, New York: Summary level: 160, state:36> place:78355",1168,114,93,321,0,1744,1158,127,129,135,14,586,0,28,22,0
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",105,0,0,0,20,360,268,19,22,45,0,92,13,0,15,0
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",4912,152,375,1180,281,17173,11051,610,413,820,17,6122,134,177,448,79
"Scottsville village, New York: Summary level: 160, state:36> place:65959",162,0,24,33,21,641,466,19,26,50,0,175,4,0,16,8
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",25,0,0,4,0,1592,1068,58,145,106,15,524,8,18,67,0
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",442,17,46,148,11,1990,1406,140,176,355,3,584,19,29,81,14
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",2134,96,100,975,29,1507,1107,63,185,233,0,400,38,8,16,11
"Kaser village, New York: Summary level: 160, state:36> place:38934",874,22,74,516,55,52,26,0,0,21,0,26,0,0,14,0
"Montebello village, New York: Summary level: 160, state:36> place:48090",139,15,17,32,0,1534,976,49,69,275,0,558,43,6,36,0
"New City CDP, New York: Summary level: 160, state:36> place:50100",1239,37,44,337,99,10212,7063,451,462,1107,36,3149,27,138,347,6
"Pomona village, New York: Summary level: 160, state:36> place:58992",90,0,9,35,24,901,597,45,58,152,0,304,14,37,34,5
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",90,0,3,18,9,229,125,4,3,7,0,104,5,0,0,5
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",381,13,27,32,30,625,278,9,11,14,0,347,5,5,13,8
"Herkimer village, New York: Summary level: 160, state:36> place:34121",1615,110,191,185,191,1279,569,57,57,29,0,710,10,27,14,0
"Middleville village, New York: Summary level: 160, state:36> place:47108",30,3,0,3,2,195,84,6,2,19,0,111,5,10,2,0
"Beacon city, New York: Summary level: 160, state:36> place:05100",2130,106,238,447,133,3048,2110,92,127,261,0,938,40,29,97,0
"Victor village, New York: Summary level: 160, state:36> place:77376",227,45,6,50,15,895,622,20,15,36,0,273,0,5,20,0
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",100,15,12,9,26,173,110,13,6,11,0,63,3,2,0,0
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",354,0,64,20,25,1004,733,59,20,40,0,271,15,19,0,0
"Union Springs village, New York: Summary level: 160, state:36> place:76155",133,16,5,8,9,306,197,9,0,13,0,109,3,0,0,0
