,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Livingston County, New York: Summary level: 050, state:36> county:051",7353,552,869,2675,329,17981,10503,326,599,708,13,7478,270,246,525,48
"Madison County, New York: Summary level: 050, state:36> county:053",6545,236,229,1077,961,19387,12500,777,636,1393,182,6887,357,155,221,73
"Monroe County, New York: Summary level: 050, state:36> county:055",106350,7238,9112,29048,5395,191921,128508,5524,6087,12689,288,63413,1562,2084,3638,283
"Nassau County, New York: Summary level: 050, state:36> county:059",85881,5037,7463,27601,6284,354287,227688,14626,18351,44833,718,126599,5033,7367,18599,1066
"New York County, New York: Summary level: 050, state:36> county:061",589484,31962,46719,122886,30424,172744,90783,2659,3874,10814,201,81961,2098,2940,9316,1579
"Niagara County, New York: Summary level: 050, state:36> county:063",23858,1259,1780,5674,2037,63049,36145,1445,1539,3431,83,26904,763,923,1484,170
"Oneida County, New York: Summary level: 050, state:36> county:065",31560,1922,2023,7162,2842,59023,35515,1304,2726,3678,216,23508,439,827,1264,253
"Onondaga County, New York: Summary level: 050, state:36> county:067",64413,4057,4266,17644,3294,121061,78784,3009,3789,6219,297,42277,1354,994,1828,646
"Ontario County, New York: Summary level: 050, state:36> county:069",12048,1196,1191,2330,1069,31533,19750,543,783,1934,63,11783,524,280,840,89
"Orange County, New York: Summary level: 050, state:36> county:071",36572,2171,3170,12682,3163,88015,56903,3844,4732,8732,590,31112,1334,1525,2604,1365
"Oswego County, New York: Summary level: 050, state:36> county:075",13027,504,1129,3137,1789,32619,19855,667,1142,2201,120,12764,384,480,906,121
"Putnam County, New York: Summary level: 050, state:36> county:079",6379,396,404,1847,511,27855,19567,1486,1918,2839,58,8288,508,308,454,36
"Queens County, New York: Summary level: 050, state:36> county:081",447469,28035,41692,137098,24773,338516,204878,12916,19392,53745,1333,133638,4520,5871,16560,1405
"Rensselaer County, New York: Summary level: 050, state:36> county:083",22942,2242,1463,5238,2512,40347,27331,1313,2177,2534,368,13016,372,265,498,72
"Richmond County, New York: Summary level: 050, state:36> county:085",52462,3380,2969,17001,5209,112509,77689,4567,7008,18562,645,34820,863,1491,3980,294
"Rockland County, New York: Summary level: 050, state:36> county:087",31072,1270,2440,11647,1951,67801,47806,3020,4715,8303,99,19995,593,968,2367,144
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",11661,854,932,2922,1246,28625,14988,779,1717,1591,123,13637,473,462,795,177
"Saratoga County, New York: Summary level: 050, state:36> county:091",26615,2046,1570,4100,999,64349,44463,1746,2265,4419,247,19886,90,377,1735,145
"Schenectady County, New York: Summary level: 050, state:36> county:093",19068,947,1887,4629,1625,37187,24874,1994,1449,2875,44,12313,136,270,1258,0
"Steuben County, New York: Summary level: 050, state:36> county:101",12975,489,900,2795,998,28071,14132,728,876,1242,13,13939,455,384,1459,81
"Suffolk County, New York: Summary level: 050, state:36> county:103",108022,6029,13202,34186,6302,385265,267022,19073,21810,53750,1068,118243,5179,6980,17336,928
"Sullivan County, New York: Summary level: 050, state:36> county:105",9259,542,1020,2324,895,18265,9783,603,1008,1786,0,8482,427,325,1169,0
"Tompkins County, New York: Summary level: 050, state:36> county:109",17283,996,1258,5251,1116,20837,12688,624,1073,1519,0,8149,156,78,302,0
"Ulster County, New York: Summary level: 050, state:36> county:111",21665,1246,2139,7278,1361,47857,27502,1821,2056,4843,0,20355,351,1073,2899,138
"Warren County, New York: Summary level: 050, state:36> county:113",7730,339,744,2092,675,18463,11587,860,1013,1327,95,6876,171,202,642,44
"Wayne County, New York: Summary level: 050, state:36> county:117",9225,907,1634,1606,475,26352,15893,712,782,1733,50,10459,510,226,663,173
"Westchester County, New York: Summary level: 050, state:36> county:119",135752,7909,10723,37305,9286,206805,135416,8950,9306,23538,884,71389,2603,3257,9789,517
