,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Onondaga County, New York: Summary level: 050, state:36> county:067",64817,2935,4689,15633,4668,118167,72657,2370,2714,5174,106,45510,1290,1047,2996,391
"Ontario County, New York: Summary level: 050, state:36> county:069",12669,1211,1504,1858,777,32518,19867,385,1213,1017,81,12651,423,357,534,243
"Orange County, New York: Summary level: 050, state:36> county:071",45687,3176,4177,11480,4539,78678,54809,3305,4990,8727,76,23869,777,1358,3089,278
"Oswego County, New York: Summary level: 050, state:36> county:075",13115,614,1110,3564,1235,31518,18540,569,510,1423,0,12978,170,270,597,181
"Putnam County, New York: Summary level: 050, state:36> county:079",7462,572,610,1537,527,27300,19010,1522,993,3469,26,8290,151,510,1078,73
"Queens County, New York: Summary level: 050, state:36> county:081",425835,28313,37183,121750,25352,335984,196737,11847,18572,47557,979,139247,4075,6094,18841,1630
"Rensselaer County, New York: Summary level: 050, state:36> county:083",23150,1501,1573,3817,941,39666,25842,1840,786,2076,0,13824,481,68,780,100
"Richmond County, New York: Summary level: 050, state:36> county:085",48427,2262,3800,14340,5807,115862,80564,5257,4949,16343,1059,35298,1803,1652,4002,845
"Rockland County, New York: Summary level: 050, state:36> county:087",31015,2228,2813,10751,1783,68242,45168,2829,4193,9440,112,23074,985,1613,2997,160
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",10477,437,499,2437,1106,30002,15328,433,976,1516,105,14674,266,237,724,181
"Saratoga County, New York: Summary level: 050, state:36> county:091",26012,1547,2233,3533,1633,67691,44191,1303,2556,3189,366,23500,712,698,1445,156
"Schenectady County, New York: Summary level: 050, state:36> county:093",17015,1193,1481,4147,906,31705,19458,689,704,2221,86,12247,153,712,407,448
"Steuben County, New York: Summary level: 050, state:36> county:101",10455,768,818,1304,998,28003,15043,632,577,1303,0,12960,70,609,552,62
"Suffolk County, New York: Summary level: 050, state:36> county:103",99631,4027,9139,33632,6746,374680,252954,17787,18009,43827,1756,121726,4603,6735,15800,1742
"Sullivan County, New York: Summary level: 050, state:36> county:105",7179,360,213,1503,1183,17852,9638,343,1023,1295,150,8214,388,713,783,13
"Tompkins County, New York: Summary level: 050, state:36> county:109",16952,842,1683,5420,2337,20731,11476,391,281,688,0,9255,34,0,346,37
"Ulster County, New York: Summary level: 050, state:36> county:111",21854,1918,1710,6311,1561,46444,28884,1519,1698,4063,80,17560,684,671,1843,179
"Warren County, New York: Summary level: 050, state:36> county:113",8755,768,645,2098,315,20086,12110,537,382,1669,0,7976,97,207,540,141
"Wayne County, New York: Summary level: 050, state:36> county:117",8965,291,1039,1609,520,28531,17936,472,1049,1446,0,10595,85,246,520,100
"Westchester County, New York: Summary level: 050, state:36> county:119",134473,8608,12035,36849,7600,207743,134471,8522,9338,22125,1374,73272,2367,3088,11503,846
