,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",3192,2844,2516,278,0,0,0,0,50,42,8,348
"Brookville village, New York: Summary level: 160, state:36> place:10132",3492,3343,2664,232,0,372,0,13,62,39,23,149
"Brownville village, New York: Summary level: 160, state:36> place:10231",828,817,756,49,0,0,0,0,12,0,12,11
"Brushton village, New York: Summary level: 160, state:36> place:10286",491,464,448,0,0,0,0,14,2,0,2,27
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2246,1827,1590,103,0,28,0,14,92,0,92,419
"Buffalo city, New York: Summary level: 160, state:36> place:11000",260568,235266,120464,96279,1227,9889,105,641,6661,244,6417,25302
"Burdett village, New York: Summary level: 160, state:36> place:11132",305,305,301,0,4,0,0,0,0,0,0,0
"Burke village, New York: Summary level: 160, state:36> place:11154",174,170,163,0,0,2,0,0,5,0,5,4
"Busti CDP, New York: Summary level: 160, state:36> place:11440",435,435,427,0,0,8,0,0,0,0,0,0
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",136,136,136,0,0,0,0,0,0,0,0,0
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1235,1235,1234,1,0,0,0,0,0,0,0,0
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3295,2586,1863,289,88,145,0,0,201,0,201,709
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2176,2144,2047,53,0,21,0,0,23,0,23,32
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",136,122,122,0,0,0,0,0,0,0,0,14
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",6401,6291,5417,624,0,98,0,0,152,15,137,110
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1716,1638,1618,5,0,2,0,0,13,0,13,78
"Camden village, New York: Summary level: 160, state:36> place:11847",2354,2330,2263,16,0,19,0,0,32,0,32,24
"Camillus village, New York: Summary level: 160, state:36> place:11902",1221,1205,1170,29,0,0,0,0,6,0,6,16
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",755,755,755,0,0,0,0,0,0,0,0,0
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",2325,2273,2169,31,0,16,0,7,50,24,26,52
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",10537,10304,9871,70,0,182,41,0,140,26,114,233
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",676,655,633,0,6,16,0,0,0,0,0,21
"Canastota village, New York: Summary level: 160, state:36> place:12188",4760,4714,4386,156,54,0,0,43,75,0,75,46
"Candor village, New York: Summary level: 160, state:36> place:12210",765,750,733,0,0,0,0,0,17,0,17,15
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2273,2231,2206,6,0,5,0,3,11,0,11,42
"Canton village, New York: Summary level: 160, state:36> place:12331",6551,6124,5381,349,35,171,21,0,167,0,167,427
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",629,599,574,16,0,0,0,0,9,0,9,30
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",5600,4994,4075,191,0,692,0,0,36,0,36,606
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6553,5883,5532,95,0,231,0,0,25,0,25,670
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",491,491,491,0,0,0,0,0,0,0,0,0
"Carthage village, New York: Summary level: 160, state:36> place:12683",3706,3511,3419,28,0,26,0,0,38,0,38,195
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",694,686,683,0,0,0,0,0,3,0,3,8
"Castile village, New York: Summary level: 160, state:36> place:12771",1063,1059,1059,0,0,0,0,0,0,0,0,4
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1433,1405,1361,18,0,3,0,0,23,0,23,28
"Castorland village, New York: Summary level: 160, state:36> place:12881",336,321,321,0,0,0,0,0,0,0,0,15
"Cato village, New York: Summary level: 160, state:36> place:12958",569,568,568,0,0,0,0,0,0,0,0,1
"Catskill village, New York: Summary level: 160, state:36> place:13002",4044,3769,3017,601,0,0,0,0,151,0,151,275
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",1107,1043,1038,0,0,0,0,0,5,0,5,64
"Cayuga village, New York: Summary level: 160, state:36> place:13068",526,526,517,2,1,0,0,0,6,0,6,0
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",3747,3584,2770,132,0,576,0,37,69,0,69,163
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",2804,2717,2557,121,0,21,0,12,6,0,6,87
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6598,5872,5674,0,0,198,0,0,0,0,0,726
"Celoron village, New York: Summary level: 160, state:36> place:13288",1203,1168,1147,0,13,2,0,0,6,0,6,35
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",32738,28415,25132,1065,109,1645,0,51,413,58,355,4323
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",7968,7406,7278,68,0,17,0,0,43,0,43,562
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5554,5419,5182,53,0,133,0,0,51,0,51,135
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",313,313,299,0,0,0,0,0,14,0,14,0
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",36944,16606,6944,7773,10,1227,16,73,563,57,506,20338
"Central Square village, New York: Summary level: 160, state:36> place:13585",2026,2024,2018,0,6,0,0,0,0,0,0,2
"Centre Island village, New York: Summary level: 160, state:36> place:13618",385,343,343,0,0,0,0,0,0,0,0,42
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1971,1951,1951,0,0,0,0,0,0,0,0,20
"Champlain village, New York: Summary level: 160, state:36> place:13739",986,980,939,3,0,3,0,0,35,3,32,6
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1132,1015,833,106,0,53,0,0,23,0,23,117
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",662,660,651,8,0,1,0,0,0,0,0,2
"Chatham village, New York: Summary level: 160, state:36> place:14003",1647,1625,1527,38,0,48,0,0,12,0,12,22
"Chaumont village, New York: Summary level: 160, state:36> place:14036",634,630,600,5,0,8,0,0,17,0,17,4
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",502,491,469,11,0,11,0,0,0,0,0,11
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",539,539,528,0,0,11,0,0,0,0,0,0
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",75002,72963,63080,7575,294,1027,0,101,886,0,886,2039
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2940,2926,2918,0,0,0,0,0,8,0,8,14
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",518,508,508,0,0,0,0,0,0,0,0,10
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",472,459,443,1,0,11,0,0,4,0,4,13
"Chester village, New York: Summary level: 160, state:36> place:15297",3961,3272,2294,809,0,106,0,0,63,0,63,689
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",888,886,886,0,0,0,0,0,0,0,0,2
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",7987,6952,4715,1504,9,555,0,86,83,0,83,1035
"Chittenango village, New York: Summary level: 160, state:36> place:15561",5057,4964,4913,0,41,0,0,0,10,0,10,93
"Churchville village, New York: Summary level: 160, state:36> place:15638",1971,1919,1884,15,0,10,0,0,10,0,10,52
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2799,2677,2597,22,0,53,0,5,0,0,0,122
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",2125,2125,2039,0,0,73,0,0,13,0,13,0
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",2016,2016,2008,0,0,8,0,0,0,0,0,0
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4575,4500,4420,15,0,19,0,0,46,0,46,75
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",717,717,717,0,0,0,0,0,0,0,0,0
"Clayton village, New York: Summary level: 160, state:36> place:16089",1953,1944,1885,11,0,21,5,0,22,0,22,9
"Clayville village, New York: Summary level: 160, state:36> place:16111",357,357,338,2,0,0,0,0,17,0,17,0
"Cleveland village, New York: Summary level: 160, state:36> place:16188",785,777,764,0,0,0,0,0,13,0,13,8
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",2053,2020,1947,17,0,39,0,0,17,0,17,33
"Clinton village, New York: Summary level: 160, state:36> place:16419",2092,2033,1889,24,0,62,0,0,58,13,45,59
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1250,1224,1075,55,0,30,0,0,64,0,64,26
"Clyde village, New York: Summary level: 160, state:36> place:16573",1989,1935,1828,40,13,23,0,0,31,7,24,54
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",4670,4482,4151,168,29,71,0,0,63,4,59,188
"Cohocton village, New York: Summary level: 160, state:36> place:16727",1091,1091,1056,0,7,0,0,0,28,0,28,0
"Cohoes city, New York: Summary level: 160, state:36> place:16749",16180,15422,14429,531,69,191,0,35,167,0,167,758
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",320,304,300,0,0,0,0,0,4,0,4,16
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1755,1610,1533,3,37,17,0,0,20,0,20,145
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",4974,4882,4751,0,0,86,0,9,36,0,36,92
"Colonie village, New York: Summary level: 160, state:36> place:17332",7845,7539,6785,209,28,328,0,8,181,0,181,306
"Colton CDP, New York: Summary level: 160, state:36> place:17398",403,402,392,0,0,2,0,0,8,0,8,1
"Commack CDP, New York: Summary level: 160, state:36> place:17530",35757,33715,31486,330,27,1452,0,0,420,26,394,2042
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",298,298,298,0,0,0,0,0,0,0,0,0
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2999,2962,2861,3,8,90,0,0,0,0,0,37
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8810,7696,6307,303,0,957,0,71,58,9,49,1114
"Constableville village, New York: Summary level: 160, state:36> place:17882",267,267,264,0,0,0,0,0,3,0,3,0
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1028,1028,1028,0,0,0,0,0,0,0,0,0
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",442,442,442,0,0,0,0,0,0,0,0,0
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",2080,2063,1909,36,3,89,0,19,7,0,7,17
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",699,699,699,0,0,0,0,0,0,0,0,0
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",608,590,551,31,0,0,0,0,8,0,8,18
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",22155,16198,13789,1635,0,650,0,29,95,0,95,5957
"Coram CDP, New York: Summary level: 160, state:36> place:18157",39935,34866,28412,3262,50,2387,8,43,704,30,674,5069
"Corfu village, New York: Summary level: 160, state:36> place:18201",749,749,739,10,0,0,0,0,0,0,0,0
"Corinth village, New York: Summary level: 160, state:36> place:18212",2552,2498,2398,7,0,10,0,0,83,0,83,54
"Corning city, New York: Summary level: 160, state:36> place:18256",11128,10852,10154,299,67,231,0,0,101,0,101,276
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",3010,2918,2761,0,0,20,0,0,137,0,137,92
"Cortland city, New York: Summary level: 160, state:36> place:18388",19187,18467,17368,502,16,192,0,41,348,0,348,720
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1371,1361,1287,2,0,24,0,0,48,0,48,10
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2128,2099,1957,57,0,71,0,0,14,0,14,29
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",216,193,178,0,0,15,0,0,0,0,0,23
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2794,2596,2321,275,0,0,0,0,0,0,0,198
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",480,480,480,0,0,0,0,0,0,0,0,0
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",197,197,197,0,0,0,0,0,0,0,0,0
"Croghan village, New York: Summary level: 160, state:36> place:19070",574,558,552,3,0,0,0,0,3,0,3,16
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",2168,1984,1699,114,0,85,0,11,75,0,75,184
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",8113,7212,6289,433,0,201,0,17,272,14,258,901
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2651,2349,2049,153,0,43,0,0,104,0,104,302
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1860,1385,1217,158,0,0,0,0,10,0,10,475
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",528,528,512,0,0,16,0,0,0,0,0,0
"Cuba village, New York: Summary level: 160, state:36> place:19356",1591,1576,1525,5,0,10,0,0,36,0,36,15
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1615,1607,1587,15,0,0,0,0,5,0,5,8
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",151,151,151,0,0,0,0,0,0,0,0,0
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3246,3172,2982,139,0,51,0,0,0,0,0,74
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",429,408,408,0,0,0,0,0,0,0,0,21
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",373,373,370,0,3,0,0,0,0,0,0,0
"Dannemora village, New York: Summary level: 160, state:36> place:19642",3930,3317,1633,1632,15,19,0,0,18,0,18,613
"Dansville village, New York: Summary level: 160, state:36> place:19664",4695,4578,4519,44,0,0,0,0,15,14,1,117
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",369,366,353,9,0,0,0,0,4,0,4,3
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",27482,24614,17982,3756,0,2503,0,95,278,28,250,2868
"Deferiet village, New York: Summary level: 160, state:36> place:19994",263,254,227,18,0,2,0,0,7,0,7,9
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",360,347,347,0,0,0,0,0,0,0,0,13
"Delanson village, New York: Summary level: 160, state:36> place:20082",373,371,367,0,0,2,0,0,2,0,2,2
"Delevan village, New York: Summary level: 160, state:36> place:20115",1239,1239,1199,0,0,9,0,0,31,0,31,0
"Delhi village, New York: Summary level: 160, state:36> place:20126",3237,2956,2546,298,8,54,0,7,43,3,40,281
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",944,940,940,0,0,0,0,0,0,0,0,4
"Depew village, New York: Summary level: 160, state:36> place:20313",15283,14975,14680,18,4,118,0,0,155,10,145,308
"Deposit village, New York: Summary level: 160, state:36> place:20346",1868,1837,1728,59,0,0,0,0,50,3,47,31
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",6,6,6,0,0,0,0,0,0,0,0,0
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",515,515,496,0,0,19,0,0,0,0,0,0
"Dexter village, New York: Summary level: 160, state:36> place:20500",1271,1226,1214,3,0,0,0,0,9,0,9,45
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",26585,25100,20541,1201,17,3117,0,0,224,21,203,1485
