,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Hall CDP, New York: Summary level: 160, state:36> place:31533",128,128,128,0,0,0,0,0,0,0,0,0
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",5453,5320,5001,233,0,13,0,0,73,0,73,133
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",882,860,806,6,0,13,0,0,35,0,35,22
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",641,641,631,0,0,0,0,0,10,0,10,0
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",423,423,423,0,0,0,0,0,0,0,0,0
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",151,151,145,6,0,0,0,0,0,0,0,0
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",854,618,591,27,0,0,0,0,0,0,0,236
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",162,162,157,0,0,0,0,0,5,0,5,0
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",109,106,106,0,0,0,0,0,0,0,0,3
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",1982,1921,1819,79,15,6,0,0,2,0,2,61
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",1895,1842,1657,49,0,68,0,0,68,0,68,53
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",363,363,358,5,0,0,0,0,0,0,0,0
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",975,957,790,41,16,110,0,0,0,0,0,18
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",189,189,189,0,0,0,0,0,0,0,0,0
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",1002,1002,937,65,0,0,0,0,0,0,0,0
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",845,845,841,0,4,0,0,0,0,0,0,0
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",85,85,79,6,0,0,0,0,0,0,0,0
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",330,330,324,6,0,0,0,0,0,0,0,0
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",379,356,337,19,0,0,0,0,0,0,0,23
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",107,107,107,0,0,0,0,0,0,0,0,0
"Machias CDP, New York: Summary level: 160, state:36> place:44226",432,372,372,0,0,0,0,0,0,0,0,60
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",680,662,645,7,0,0,0,0,10,0,10,18
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",291,168,141,0,0,0,0,0,27,0,27,123
"Marion CDP, New York: Summary level: 160, state:36> place:45634",1373,1324,1244,80,0,0,0,0,0,0,0,49
"Sherburne village, New York: Summary level: 160, state:36> place:66883",1414,1390,1306,22,0,6,0,0,56,0,56,24
"Farnham village, New York: Summary level: 160, state:36> place:25428",474,466,447,0,0,1,0,0,18,0,18,8
"Sherman village, New York: Summary level: 160, state:36> place:66949",752,752,740,0,6,3,0,0,3,0,3,0
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",539,529,463,0,0,53,0,0,13,0,13,10
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",1705,1573,1020,0,0,545,0,0,8,8,0,132
"Island Park village, New York: Summary level: 160, state:36> place:37847",4807,3090,2927,12,7,125,0,7,12,0,12,1717
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",758,752,677,19,0,49,0,0,7,0,7,6
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1245,1245,1117,36,0,31,0,11,50,0,50,0
"Angelica village, New York: Summary level: 160, state:36> place:02176",759,748,742,3,0,0,0,0,3,0,3,11
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",37358,31906,24027,2474,162,4564,0,186,493,45,448,5452
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",21861,20636,20015,138,56,358,0,45,24,6,18,1225
"Celoron village, New York: Summary level: 160, state:36> place:13288",953,926,892,0,0,20,0,0,14,0,14,27
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",319,316,303,0,0,1,0,0,12,0,12,3
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",442,442,436,1,0,2,0,0,3,0,3,0
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",828,762,724,12,3,0,0,0,23,0,23,66
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",1776,1654,848,166,0,609,0,0,31,15,16,122
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",1335,1296,1191,97,5,3,0,0,0,0,0,39
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",3187,2688,2496,91,0,67,0,0,34,7,27,499
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1914,1743,1689,54,0,0,0,0,0,0,0,171
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",592,592,559,0,0,15,0,0,18,0,18,0
