,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Islip CDP, New York: Summary level: 160, state:36> place:37869",1478,105142,43128,5934,155,82,111,131,214,169,55,147,143,327,438,769,903,650,730,910
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",2344,118950,41019,1610,43,13,11,51,33,21,20,30,29,98,181,116,191,191,331,251
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",1751,61211,42125,1548,20,14,49,35,85,62,29,145,112,177,279,104,54,149,94,140
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",883,122273,49833,4024,81,81,95,92,77,64,213,30,56,202,253,288,517,423,744,808
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",1852,85491,38717,1327,80,9,29,7,38,81,16,32,53,53,164,201,111,120,172,161
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",1705,94259,39147,2702,70,15,155,51,45,119,81,121,60,85,269,332,385,232,342,340
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",1636,101190,52493,846,34,14,0,0,44,32,49,35,39,64,60,42,57,130,166,80
"St. James CDP, New York: Summary level: 160, state:36> place:64584",1775,109493,49392,4687,161,103,113,148,122,105,100,96,36,293,370,451,616,344,600,1029
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",-666666666,81904,52692,755,0,49,13,0,0,83,0,52,0,0,50,146,84,93,31,154
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",2088,84296,31013,8406,369,126,172,328,150,182,282,358,200,631,939,1151,1142,817,807,752
"Shoreham village, New York: Summary level: 160, state:36> place:67191",-666666666,141667,63649,162,9,1,2,3,4,0,2,13,0,2,6,12,16,18,30,44
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",-666666666,30750,20054,336,52,0,27,67,16,20,26,0,13,9,39,8,0,0,32,27
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",2050,94537,39813,340,34,0,9,9,22,0,0,37,10,18,9,32,28,47,77,8
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",1791,66190,29627,4117,88,153,218,199,126,104,211,164,177,244,613,570,384,238,450,178
"Odessa village, New York: Summary level: 160, state:36> place:54452",550,50469,26222,225,10,18,16,8,9,22,0,13,15,24,24,24,24,13,4,1
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",699,44922,26006,835,57,62,54,60,44,48,65,28,40,36,60,107,96,40,17,21
"Interlaken village, New York: Summary level: 160, state:36> place:37528",675,52188,24568,237,9,8,4,11,12,10,25,17,12,31,10,61,19,6,0,2
"Belmont village, New York: Summary level: 160, state:36> place:05815",550,39271,25222,377,26,19,45,44,8,26,24,9,28,30,16,43,37,6,12,4
"Holland CDP, New York: Summary level: 160, state:36> place:35111",768,53021,26792,509,25,73,32,17,16,27,5,57,0,12,71,93,15,22,44,0
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",654,37258,20374,7426,552,706,651,523,617,487,442,384,310,608,849,673,289,220,85,30
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",963,89762,46698,1396,42,10,37,0,52,51,89,50,96,57,111,239,159,105,151,147
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",797,66464,34278,19753,717,750,834,833,803,1056,699,777,853,1562,2255,3470,2137,1345,1103,559
"Burdett village, New York: Summary level: 160, state:36> place:11132",800,54167,28077,184,6,2,15,5,10,7,4,16,13,22,20,33,18,4,6,3
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",1016,52525,45124,987,149,11,14,50,62,40,35,48,75,96,50,72,69,23,68,125
"Groton village, New York: Summary level: 160, state:36> place:30961",636,52321,27989,835,77,31,21,51,37,83,34,45,32,72,102,99,51,53,19,28
"Lansing village, New York: Summary level: 160, state:36> place:41223",1377,59329,42846,1639,199,55,63,37,25,76,76,154,28,121,217,76,169,74,102,167
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",2690,128553,61888,1852,10,7,10,12,26,61,19,19,41,96,159,235,200,213,177,567
"Ardsley village, New York: Summary level: 160, state:36> place:02506",1440,132778,68615,1638,24,0,11,47,14,0,28,43,34,78,67,157,278,82,159,616
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",1540,127716,61441,3027,67,101,39,95,35,18,122,29,41,193,160,351,201,372,372,831
"Pelham village, New York: Summary level: 160, state:36> place:57001",1769,130945,72453,2249,21,21,0,27,100,38,56,71,41,150,185,206,132,177,242,782
"Arcade village, New York: Summary level: 160, state:36> place:02407",557,43750,26585,978,67,76,65,69,36,92,40,62,31,56,93,130,76,48,13,24
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",-666666666,67734,34779,469,11,16,33,0,34,21,0,65,37,16,16,25,78,27,80,10
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",1315,80994,42044,3120,51,117,166,98,55,194,150,38,40,222,292,369,386,144,415,383
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",1940,116053,41432,754,0,0,13,0,44,18,18,9,11,74,51,123,27,141,168,57
"Dundee village, New York: Summary level: 160, state:36> place:21050",556,38875,24666,697,76,64,53,44,39,57,20,37,24,66,65,86,29,6,22,9
"Richburg village, New York: Summary level: 160, state:36> place:61434",733,43977,17701,163,4,11,11,14,22,11,0,13,22,2,23,12,13,3,2,0
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",632,48333,27430,242,9,21,15,2,17,31,10,9,11,23,25,42,11,6,7,3
"Lakewood village, New York: Summary level: 160, state:36> place:41069",694,48607,37060,1407,34,99,99,101,82,100,134,31,43,120,115,141,90,50,44,124
"Westfield village, New York: Summary level: 160, state:36> place:79939",679,39375,24546,1261,83,152,77,16,115,70,140,66,25,52,154,158,21,65,42,25
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",-666666666,-666666666,3007,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",1596,58770,33764,1268,30,24,13,55,133,39,65,113,51,141,154,72,90,28,104,156
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",558,52019,22255,291,20,18,11,13,16,0,9,36,12,51,37,42,19,3,0,4
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",950,75135,29714,126,0,0,0,0,0,9,0,29,0,0,23,45,6,14,0,0
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",870,93676,37001,832,31,27,8,25,55,10,35,28,24,9,54,139,163,73,72,79
"Meridian village, New York: Summary level: 160, state:36> place:46646",780,85313,25804,102,1,1,1,6,0,0,1,8,2,8,17,25,16,11,5,0
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",988,93794,44809,1097,34,40,22,19,30,14,16,15,12,91,96,196,138,129,139,106
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",1228,65145,43885,3173,136,72,88,37,157,237,80,147,81,280,537,261,331,300,202,227
"Angola village, New York: Summary level: 160, state:36> place:02198",754,58000,27144,844,24,19,39,69,20,65,33,108,24,29,132,101,79,38,53,11
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",-666666666,119135,46510,1033,13,0,9,12,0,15,0,0,7,66,76,199,131,171,233,101
"Gowanda village, New York: Summary level: 160, state:36> place:29630",646,39906,27535,1191,88,92,78,129,45,76,89,61,63,123,93,87,77,49,17,24
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",849,63295,30469,1229,28,47,103,41,42,52,44,44,68,113,110,230,162,69,70,6
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",652,34899,21410,5182,438,523,356,455,408,419,223,201,389,433,413,478,235,130,56,25
"Panama village, New York: Summary level: 160, state:36> place:56231",598,38077,21670,180,7,14,20,10,16,19,14,8,13,9,14,20,13,3,0,0
"Croghan village, New York: Summary level: 160, state:36> place:19070",582,50250,25688,267,15,25,20,5,46,7,10,3,2,31,19,34,18,8,16,8
"Lowville village, New York: Summary level: 160, state:36> place:43720",632,44500,27883,1338,46,215,57,36,48,127,82,59,85,75,23,169,137,59,81,39
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",670,41613,21745,682,66,72,60,42,23,39,19,55,24,47,53,87,65,5,25,0
"Lodi village, New York: Summary level: 160, state:36> place:43214",743,47813,27707,153,8,0,14,16,12,1,8,17,4,12,17,18,8,15,2,1
"Waterloo village, New York: Summary level: 160, state:36> place:78553",686,58060,28627,1991,104,135,121,72,54,85,56,91,156,144,242,324,162,132,77,36
"Alfred village, New York: Summary level: 160, state:36> place:01198",753,32321,8009,382,107,6,43,19,3,16,24,8,7,19,26,36,31,4,19,14
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",715,46597,21036,207,20,8,9,19,12,14,3,7,34,14,10,30,15,12,0,0
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",648,57727,14534,282,10,15,0,5,4,41,3,39,7,27,18,52,23,23,12,3
"Hamilton village, New York: Summary level: 160, state:36> place:31709",835,64107,19897,823,108,34,85,29,9,24,38,28,11,35,57,102,82,57,61,63
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",1725,102226,44557,1838,65,50,25,39,46,46,65,79,31,129,117,162,332,75,248,329
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",1606,107266,36360,4599,65,104,12,79,235,110,153,105,107,226,274,679,665,530,773,482
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",-666666666,-666666666,56484,73,0,2,0,0,0,11,0,2,2,2,20,0,6,0,21,7
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",1947,144091,63146,3336,86,40,107,70,35,67,50,169,62,108,198,116,310,322,468,1128
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",1938,81111,30320,1010,0,69,34,32,55,13,13,22,59,127,73,102,93,47,176,95
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",1906,103211,40988,8854,309,160,118,138,247,98,146,165,213,559,765,1285,1214,1013,1248,1176
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",1633,126618,56571,778,7,7,8,14,24,7,7,14,27,35,42,68,107,66,126,219
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",734,37283,18044,244,19,18,12,13,16,23,30,3,18,13,30,23,20,6,0,0
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",2447,154219,81702,420,0,10,9,10,0,9,12,0,0,0,15,74,18,31,86,146
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",-666666666,250001,114861,409,4,0,2,10,6,9,6,0,7,0,36,30,31,11,36,221
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",1888,129276,59987,2083,92,34,73,48,35,13,64,40,31,43,182,231,142,137,275,643
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",-666666666,166389,63672,158,0,0,10,0,0,0,0,7,10,0,0,0,37,0,33,61
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",2256,159375,64820,6216,171,97,45,95,76,117,137,82,44,254,367,443,537,432,827,2492
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",1893,145193,55628,5845,50,39,174,39,50,108,56,125,104,134,425,549,690,508,1040,1754
"Boonville village, New York: Summary level: 160, state:36> place:07355",578,38854,21644,833,75,82,64,68,67,28,38,45,59,48,63,66,68,47,8,7
"Camden village, New York: Summary level: 160, state:36> place:11847",682,39650,23372,1110,101,60,151,70,27,43,110,80,48,31,106,106,90,49,31,7
"Utica city, New York: Summary level: 160, state:36> place:76540",711,35394,21581,23520,2684,2540,1966,1764,1310,1359,1370,1050,841,1875,2049,1883,1318,611,459,441
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",802,38116,26082,1348,91,140,76,46,122,125,129,29,56,82,110,164,55,81,12,30
"Elbridge village, New York: Summary level: 160, state:36> place:23789",841,62273,34551,398,12,18,6,23,6,23,22,23,22,34,24,71,51,18,35,10
"Akron village, New York: Summary level: 160, state:36> place:00441",682,52429,34558,1228,26,99,66,29,113,50,55,71,37,197,154,66,115,45,47,58
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",-666666666,79000,44405,704,14,81,32,14,14,44,15,15,0,62,52,75,151,54,59,22
"Depew village, New York: Summary level: 160, state:36> place:20313",803,57895,30491,6669,181,194,387,382,299,412,323,414,293,532,905,1050,602,371,241,83
"East Aurora village, New York: Summary level: 160, state:36> place:21589",809,69509,37066,2576,95,87,114,78,98,138,43,96,98,223,324,357,228,252,221,124
"Eden CDP, New York: Summary level: 160, state:36> place:23404",590,77604,34357,1280,63,71,61,10,45,0,51,50,31,96,153,179,153,180,103,34
"Naples village, New York: Summary level: 160, state:36> place:49429",655,39375,23553,438,38,28,29,24,40,20,45,26,22,31,32,30,43,14,7,9
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1103,72125,44772,537,59,9,24,21,19,8,0,7,11,34,78,65,45,23,56,78
"Woodridge village, New York: Summary level: 160, state:36> place:82953",738,37188,18904,301,31,34,22,32,0,21,12,8,15,34,24,38,22,2,1,5
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",2607,80687,62923,2373,79,24,21,49,71,113,35,74,142,243,212,401,318,189,135,267
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",688,54297,27337,301,13,41,5,5,12,21,6,17,12,33,32,51,21,18,4,10
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",-666666666,133750,72441,530,36,0,21,31,15,6,0,5,9,0,26,56,22,65,65,173
"Batavia city, New York: Summary level: 160, state:36> place:04715",738,48190,25208,6129,560,477,368,363,284,247,244,313,333,539,603,816,450,276,179,77
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",1793,139118,75167,2860,99,33,59,45,101,44,22,71,20,126,188,289,202,231,230,1100
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",1750,118844,41081,1577,55,12,9,16,29,61,8,55,28,117,114,180,158,237,233,265
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",786,37197,19867,1468,128,144,108,130,76,90,113,100,8,116,62,163,58,46,96,30
"Esperance village, New York: Summary level: 160, state:36> place:24713",1321,57500,26317,148,13,12,0,9,0,8,2,6,13,12,27,15,23,3,4,1
"Schoharie village, New York: Summary level: 160, state:36> place:65585",798,53068,30729,354,23,22,22,3,40,11,23,11,14,56,12,51,13,21,18,14
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",700,47321,23658,613,11,56,56,22,29,50,34,29,36,43,80,96,39,14,11,7
"New Berlin village, New York: Summary level: 160, state:36> place:49946",658,49375,23281,398,27,29,20,37,19,15,3,28,24,26,98,40,8,19,2,3
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",688,38449,18206,477,62,30,9,18,14,85,54,14,45,24,53,53,5,5,6,0
"Greene village, New York: Summary level: 160, state:36> place:30411",628,52011,27019,775,33,71,38,42,48,26,29,52,30,108,90,78,75,27,16,12
"Munnsville village, New York: Summary level: 160, state:36> place:49220",715,48889,19988,168,27,6,0,17,6,9,6,3,14,10,21,25,12,9,3,0
"Wampsville village, New York: Summary level: 160, state:36> place:78113",650,52083,22175,197,29,11,8,7,0,4,7,23,7,12,21,29,24,7,4,4
"Brookville village, New York: Summary level: 160, state:36> place:10132",3071,250001,93523,829,9,0,0,0,0,19,13,24,14,14,16,66,33,34,62,525
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2417,156429,66983,984,44,0,45,18,0,13,30,16,18,29,25,75,97,64,223,287
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",1704,106519,35624,9580,188,183,213,298,234,226,102,237,253,477,821,1211,1458,1127,1457,1095
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",-666666666,170602,58588,145,0,0,0,0,0,7,0,0,0,0,0,6,36,17,27,52
"Hempstead village, New York: Summary level: 160, state:36> place:33139",1403,62347,24022,15703,1230,726,583,673,749,770,511,583,572,1186,1428,2096,1340,1073,1407,776
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",3501,139309,55241,1299,44,11,0,38,31,7,25,15,34,30,43,124,149,155,204,389
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",1745,109046,47273,2407,19,50,44,15,75,106,9,31,90,159,147,338,253,361,289,421
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",2689,139180,34579,1490,39,9,15,0,26,46,10,41,36,80,46,217,81,210,460,174
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",-666666666,136375,60364,1116,5,25,0,19,45,19,0,11,13,113,11,89,141,89,64,472
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",1608,133279,49582,6469,214,51,64,56,179,223,136,13,156,251,295,570,762,891,1079,1529
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",1827,118401,46964,6189,154,93,135,169,166,118,118,143,70,217,315,787,719,656,982,1347
"Antwerp village, New York: Summary level: 160, state:36> place:02286",689,44417,22670,221,13,23,10,3,10,9,21,25,13,18,28,34,12,0,0,2
"Southampton village, New York: Summary level: 160, state:36> place:68462",1845,101316,75594,1352,53,29,30,38,35,57,18,45,49,105,120,87,133,113,194,246
"Olean city, New York: Summary level: 160, state:36> place:54716",628,42024,25785,6158,520,661,330,422,331,400,347,209,196,494,538,767,467,228,140,108
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",684,39750,22887,573,13,59,54,52,28,19,63,70,9,34,5,144,16,7,0,0
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",886,61500,29340,614,16,33,13,47,31,30,15,39,24,44,94,105,65,18,27,13
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",843,48207,28923,6466,390,393,455,508,398,350,295,247,268,553,711,738,571,248,225,116
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",-666666666,100071,50676,446,20,0,0,67,0,20,0,11,0,18,12,73,104,18,55,48
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",1472,93158,37090,6770,431,195,228,209,181,239,151,86,77,408,439,978,794,643,906,805
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",1985,79842,28236,4079,173,83,140,140,177,65,63,91,134,261,538,577,664,196,482,295
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",1613,87770,23853,4347,126,155,31,158,67,142,46,49,106,238,627,786,635,476,375,330
"North Haven village, New York: Summary level: 160, state:36> place:52188",-666666666,138359,118371,383,4,3,4,13,7,8,3,14,9,10,15,35,47,30,42,139
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",1794,108592,55351,3030,57,70,54,53,128,46,26,87,74,184,290,330,408,287,310,626
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",1530,40707,25372,512,47,102,69,0,0,0,25,46,15,0,65,0,21,86,0,36
"Selden CDP, New York: Summary level: 160, state:36> place:66212",1782,92780,33853,6214,242,147,173,99,148,251,260,81,253,171,590,1019,993,563,704,520
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",1448,129926,52932,8888,200,184,194,227,243,167,205,127,282,408,389,786,829,1012,1433,2202
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",1571,98276,41922,2737,47,9,74,107,48,69,74,177,82,62,292,413,341,222,284,436
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",2139,108207,53941,983,41,5,19,28,10,28,22,23,23,28,60,143,155,89,144,165
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",1847,102604,72080,721,33,14,18,41,17,18,12,17,20,33,71,52,98,64,70,143
"Salamanca city, New York: Summary level: 160, state:36> place:64749",646,30758,17550,2170,237,250,228,204,139,145,116,118,95,150,175,167,82,30,15,19
"Poquott village, New York: Summary level: 160, state:36> place:59157",2063,183125,93947,346,6,0,2,7,5,7,4,0,6,6,16,44,23,26,36,158
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",1504,95422,40614,4491,95,56,112,125,198,151,86,48,167,312,407,705,419,494,590,526
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",-666666666,109417,54763,450,0,0,0,0,0,47,0,0,13,14,0,102,93,59,90,32
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",3197,130202,58233,4487,218,66,126,75,23,71,34,113,134,169,151,476,527,364,716,1224
"Jordan village, New York: Summary level: 160, state:36> place:38825",592,50172,27787,572,18,46,60,23,38,16,23,32,28,54,57,55,60,30,14,18
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",810,49487,24445,1707,117,79,93,88,130,101,61,60,136,194,232,201,185,11,10,9
"Manlius village, New York: Summary level: 160, state:36> place:45018",831,65179,40359,1985,155,59,57,96,63,89,94,46,106,134,173,228,138,151,271,125
"Minoa village, New York: Summary level: 160, state:36> place:47757",807,56405,27707,1370,22,36,0,29,54,190,37,98,61,239,207,168,102,38,58,31
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",927,48405,29364,945,68,44,31,42,32,66,69,78,61,117,83,91,66,36,32,29
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",1095,55956,28605,932,30,0,49,29,41,62,43,86,48,132,167,102,114,29,0,0
"Castile village, New York: Summary level: 160, state:36> place:12771",553,43472,22968,407,20,14,59,38,23,15,14,26,0,20,65,74,25,4,7,3
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",1067,53750,22176,259,5,10,11,21,0,3,40,13,13,29,32,26,13,8,32,3
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",684,58188,41418,377,0,0,19,10,0,43,10,36,37,48,25,50,35,0,32,32
"Delanson village, New York: Summary level: 160, state:36> place:20082",1088,77500,26313,106,5,0,4,0,3,6,1,2,0,9,20,25,16,10,4,1
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",953,64411,28954,7210,254,271,323,308,296,375,346,283,274,518,953,1189,955,394,321,150
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",856,49750,29470,1660,103,70,142,47,110,168,61,93,40,109,157,157,110,129,112,52
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",769,60580,28681,617,8,36,19,14,56,43,41,13,34,38,53,141,73,12,32,4
"East Rochester village, New York: Summary level: 160, state:36> place:22865",854,48608,26270,2834,128,105,163,219,165,156,163,176,186,284,394,265,182,109,109,30
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",862,40417,21503,582,32,51,26,30,14,78,59,27,0,52,112,46,20,25,10,0
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",-666666666,76477,26395,201,0,8,4,3,3,6,0,4,34,17,15,43,20,18,11,15
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",1884,148939,84771,966,19,21,32,6,0,59,7,10,10,38,28,109,71,87,52,417
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",1669,126210,40913,2798,70,0,35,60,69,40,30,93,38,97,174,334,344,365,362,687
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",767,53875,36501,140,0,0,0,0,0,0,9,45,0,56,16,8,0,0,6,0
"Hillburn village, New York: Summary level: 160, state:36> place:34660",1750,70655,26892,295,13,6,18,5,7,8,13,13,7,20,55,29,23,48,7,23
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",1950,110644,48133,3452,17,16,151,58,25,63,172,128,86,240,184,328,561,310,398,715
"West Winfield village, New York: Summary level: 160, state:36> place:81292",519,57083,31108,353,18,22,18,21,14,18,6,17,20,32,42,63,30,11,16,5
"Red Hook village, New York: Summary level: 160, state:36> place:60895",998,62000,40232,830,69,25,59,44,87,34,23,24,13,33,81,122,67,23,44,82
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",1871,129634,41086,1514,27,12,3,21,35,14,36,19,10,60,127,205,118,252,337,238
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",868,49515,26540,625,72,0,0,0,24,79,98,0,49,11,70,72,102,11,37,0
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",741,57344,39126,582,53,15,17,0,15,0,61,38,53,64,35,48,41,25,51,66
"Homer village, New York: Summary level: 160, state:36> place:35276",739,55357,36076,1330,36,44,46,57,83,78,64,108,105,75,144,178,88,62,114,48
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",1068,51466,32405,936,20,55,71,52,54,20,74,88,0,99,119,128,41,8,9,98
"Auburn city, New York: Summary level: 160, state:36> place:03078",736,42695,24291,11607,1038,865,889,503,705,788,661,668,466,738,1442,1318,742,407,217,160
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",844,-666666666,19339,123,45,0,12,0,0,20,0,0,0,0,8,20,12,6,0,0
"Ovid village, New York: Summary level: 160, state:36> place:55816",755,51354,31859,217,11,10,18,16,21,4,11,2,9,27,25,21,5,8,20,9
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",922,86250,37035,178,8,6,5,2,18,6,11,1,6,5,18,13,27,27,9,16
"Solvay village, New York: Summary level: 160, state:36> place:68286",781,47927,25773,2802,200,158,147,203,186,150,131,162,98,315,280,388,173,121,47,43
"Ossining village, New York: Summary level: 160, state:36> place:55530",1560,67841,34143,8418,478,325,305,199,293,264,472,307,386,643,814,917,624,846,682,863
"Sands Point village, New York: Summary level: 160, state:36> place:65035",3167,250001,154164,947,17,6,5,0,15,5,10,5,0,20,28,27,68,73,88,580
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",856,49318,26929,276,24,5,16,17,9,21,21,10,18,28,15,52,22,6,12,0
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",1213,87917,48090,1753,92,168,12,70,50,55,85,0,115,28,145,143,167,224,196,203
"Waverly village, New York: Summary level: 160, state:36> place:78806",752,35515,23968,1702,81,245,139,129,121,129,70,45,44,98,94,216,157,62,35,37
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",566,53502,29506,1735,118,94,51,30,156,59,73,109,56,243,126,275,191,95,39,20
"Greenport village, New York: Summary level: 160, state:36> place:30576",1436,50208,34113,838,71,6,39,87,72,31,46,34,32,66,63,98,29,23,83,58
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",2333,178000,104825,518,4,11,0,0,3,12,3,6,3,15,20,33,72,49,53,234
"Windsor village, New York: Summary level: 160, state:36> place:82524",619,63684,29450,400,14,18,26,16,25,12,6,16,21,28,59,75,24,26,23,11
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",-666666666,101860,29333,118,10,0,0,0,0,0,0,17,0,0,0,0,65,0,11,15
"Leicester village, New York: Summary level: 160, state:36> place:41872",871,67727,30027,210,1,3,14,9,18,15,13,0,5,14,31,38,17,20,10,2
"Barker village, New York: Summary level: 160, state:36> place:04440",475,43125,21867,215,7,8,11,12,22,21,11,20,9,26,15,18,10,14,11,0
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",1090,38750,26317,424,29,11,51,17,54,22,28,46,20,33,33,16,27,10,16,11
"Stamford village, New York: Summary level: 160, state:36> place:70618",628,39861,22730,579,40,67,52,57,35,12,27,38,25,66,18,63,36,31,12,0
"Saltaire village, New York: Summary level: 160, state:36> place:64881",-666666666,-666666666,43013,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",-666666666,98750,34369,76,3,4,4,2,6,5,0,2,2,2,5,3,9,13,7,9
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",891,66250,46681,882,53,20,42,32,48,33,39,11,28,107,69,133,39,76,66,86
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",809,45938,26171,2310,297,98,125,144,42,75,199,148,82,198,195,232,236,171,64,4
