,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Brownville village, New York: Summary level: 160, state:36> place:10231",670,50703,24648.0,351,29,34,16,23,0,25,21,12,11,37,53,30,27,19,12,2
"Brushton village, New York: Summary level: 160, state:36> place:10286",575,31500,20220.0,206,39,13,17,15,16,5,9,11,5,15,8,22,16,0,15,0
"Buchanan village, New York: Summary level: 160, state:36> place:10341",1553,88607,50849.0,881,16,11,30,49,52,25,4,10,9,57,71,210,97,77,97,66
"Buffalo city, New York: Summary level: 160, state:36> place:11000",682,30942,20392.0,112037,19337,10510,9422,8405,6984,6727,5485,4816,4010,8044,8999,8619,4674,2369,1945,1691
"Burdett village, New York: Summary level: 160, state:36> place:11132",580,46250,26618.0,154,19,10,3,11,14,8,2,2,18,14,15,20,10,3,5,0
"Burke village, New York: Summary level: 160, state:36> place:11154",300,43214,46826.0,78,5,10,6,4,4,3,5,7,7,3,7,8,7,0,0,2
"Busti CDP, New York: Summary level: 160, state:36> place:11440",431,58264,20821.0,139,0,2,10,6,31,0,0,0,8,25,20,21,0,0,16,0
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",-666666666,53125,15533.0,30,0,4,3,0,2,0,0,3,0,12,0,3,0,0,0,3
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",921,34427,16307.0,519,62,31,34,106,8,24,24,68,8,52,81,0,21,0,0,0
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1170,42601,23179.0,1469,122,81,22,148,49,184,80,84,70,196,138,107,72,6,33,77
"Caledonia village, New York: Summary level: 160, state:36> place:11704",769,52244,28082.0,938,27,96,54,52,17,25,48,44,71,99,69,154,74,72,21,15
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",-666666666,29837,22343.0,79,0,0,18,0,23,6,19,0,0,0,6,7,0,0,0,0
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",1347,48602,33345.0,2879,113,216,68,154,190,211,121,144,317,137,156,313,211,168,202,158
"Cambridge village, New York: Summary level: 160, state:36> place:11825",748,41016,23574.0,781,29,71,97,69,47,33,25,50,39,36,91,110,44,20,20,0
"Camden village, New York: Summary level: 160, state:36> place:11847",639,40000,21988.0,998,40,52,101,66,71,124,45,51,58,114,108,69,26,31,35,7
"Camillus village, New York: Summary level: 160, state:36> place:11902",668,43750,24522.0,558,25,38,62,37,61,32,8,19,25,63,62,62,38,16,7,3
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",636,32321,21516.0,304,17,42,1,16,37,42,26,23,13,0,18,10,17,16,26,0
