,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Nassau County, New York: Summary level: 050, state:36> county:059",1634,105870,46482,440785,13005,9964,8861,13492,12991,11651,11534,11841,9160,22392,29519,53285,48561,40520,58335,85674
"New York County, New York: Summary level: 050, state:36> county:061",1661,77559,68126,748293,70459,37803,30002,23852,26879,24920,18911,19186,16743,38390,54622,72887,60445,38572,63014,151608
"Niagara County, New York: Summary level: 050, state:36> county:063",661,50233,27848,86786,5735,4735,4478,4328,4466,5709,5086,4362,4302,5926,7269,12067,8289,4618,3435,1981
"Oneida County, New York: Summary level: 050, state:36> county:065",708,52996,27357,87929,6774,5174,3996,4546,4320,4309,4387,3410,4066,7847,10474,11230,7024,3669,4042,2661
"Onondaga County, New York: Summary level: 050, state:36> county:067",807,56991,31040,182984,14358,9558,8668,8996,7645,7948,9292,7686,6961,13840,17479,23823,16656,12021,9970,8083
"Ontario County, New York: Summary level: 050, state:36> county:069",831,57448,32922,45187,1731,1608,1561,2653,1959,2255,2124,3538,2139,3833,4516,5665,4007,2969,2540,2089
"Orange County, New York: Summary level: 050, state:36> county:071",1159,73025,31571,124365,7015,4357,5091,5387,3473,5718,7144,3988,3315,7344,10476,15974,14284,9540,11200,10059
"Oswego County, New York: Summary level: 050, state:36> county:075",730,53562,25432,44633,2881,3018,2404,2206,2042,1767,2253,2549,1939,3987,5076,6276,3436,2207,1480,1112
"Putnam County, New York: Summary level: 050, state:36> county:079",1401,96992,43309,34762,275,663,1486,692,1232,728,1205,1015,1052,1714,2962,4924,3156,3806,4619,5233
"Queens County, New York: Summary level: 050, state:36> county:081",1452,62207,28609,761819,52812,32489,34702,32475,32728,37292,32565,33559,26131,50835,77634,101574,68535,49311,55355,43822
"Rensselaer County, New York: Summary level: 050, state:36> county:083",870,65965,32904,62816,2839,3009,2211,2534,3411,3362,2365,2680,2442,4220,6590,8635,6763,4947,3700,3108
"Richmond County, New York: Summary level: 050, state:36> county:085",1245,77197,33559,164289,15099,5167,5274,6152,5471,5715,4799,5199,4127,9285,13345,21212,17861,14592,15711,15280
"Rockland County, New York: Summary level: 050, state:36> county:087",1478,85515,37038,99257,3953,2651,3737,3107,2907,4219,4077,2583,2539,7482,7772,10257,9637,7391,11474,15471
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",703,51592,24212,40479,2615,2843,2167,2185,1844,2993,1874,1157,1668,4218,4275,6305,2729,1338,1257,1011
"Saratoga County, New York: Summary level: 050, state:36> county:091",1044,76097,41368,93703,3748,2118,2520,4329,2727,3335,3097,3356,4365,6810,9729,13086,11730,7253,7800,7700
"Schenectady County, New York: Summary level: 050, state:36> county:093",906,58331,28485,48720,1933,3313,2161,2778,2167,3310,1660,2478,1720,3234,4754,7477,4531,2371,2851,1982
"Steuben County, New York: Summary level: 050, state:36> county:101",668,50575,28395,38458,1629,1934,1822,2387,3010,2613,1722,2397,1397,3381,4430,4114,3240,1688,1609,1085
"Suffolk County, New York: Summary level: 050, state:36> county:103",1655,92933,40253,474311,16665,12361,12452,17143,12650,14105,12635,13989,11105,26390,42305,60597,54069,41469,61018,65358
"Sullivan County, New York: Summary level: 050, state:36> county:105",752,50652,27870,25031,1679,1052,1638,2561,851,1316,1137,1425,808,1281,2084,2877,2368,1248,1226,1480
"Tompkins County, New York: Summary level: 050, state:36> county:109",997,56349,28013,37683,4465,1807,1658,1258,1484,1424,1376,1104,1861,3900,3532,5098,2446,1949,2036,2285
"Ulster County, New York: Summary level: 050, state:36> county:111",1010,62790,33190,68298,3375,3831,3552,3453,3877,3120,1840,2761,1927,4976,7316,9014,6576,3931,4117,4632
"Warren County, New York: Summary level: 050, state:36> county:113",891,58061,34098,28841,1441,1672,1356,634,1806,1334,1656,1045,1609,2104,3151,3965,3166,1822,1280,800
"Wayne County, New York: Summary level: 050, state:36> county:117",793,59538,28775,37496,1325,1625,1450,1877,1370,1907,2417,2275,1325,3331,4854,5940,3933,1163,1848,856
"Westchester County, New York: Summary level: 050, state:36> county:119",1431,89709,50631,342216,18355,11719,11599,11967,10771,11285,10203,10754,9636,18165,25791,35254,31642,23559,35618,65898
