,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"New York County, New York: Summary level: 050, state:36> county:061",1753,93651,82720,768203,70589,34008,27730,19823,19278,20902,18186,17511,13583,31610,49851,74802,62289,45223,70185,192633
"Cayuga County, New York: Summary level: 050, state:36> county:011",745,58665,32099,31489,1852,1102,1837,1073,1461,995,1600,1748,1453,2945,3242,4474,2901,1440,2320,1046
"Rockland County, New York: Summary level: 050, state:36> county:087",1490,100916,41490,101424,3534,3037,3210,2775,2179,2513,2822,3367,2564,5144,7767,11118,12198,9043,11012,19141
"Niagara County, New York: Summary level: 050, state:36> county:063",670,56304,32434,90625,7197,4407,3424,5085,3712,4793,3805,3241,5159,6435,8687,11945,8406,5467,5264,3598
"Nassau County, New York: Summary level: 050, state:36> county:059",1790,118453,53405,449798,13366,7705,10353,12564,10281,7239,8629,11092,9301,19663,32211,47386,45192,38113,64290,112413
"Jefferson County, New York: Summary level: 050, state:36> county:045",1025,53917,26701,41214,2740,1886,1558,2123,1940,2373,1808,2330,1914,3982,4378,6117,3722,1839,1336,1168
"Suffolk County, New York: Summary level: 050, state:36> county:103",1796,106228,48381,499744,14721,9541,10029,12268,10975,12645,12071,13448,12041,27085,38629,59849,56123,49535,66478,94306
"Oswego County, New York: Summary level: 050, state:36> county:075",764,58459,30174,46640,1893,2760,2332,2845,1583,2341,2104,2166,1679,4051,4501,6846,5295,2627,2033,1584
"Wayne County, New York: Summary level: 050, state:36> county:117",778,61730,33540,36634,2583,1791,1086,1593,1974,2080,1097,1288,1718,2673,3791,5315,3931,2031,1796,1887
"Broome County, New York: Summary level: 050, state:36> county:007",779,52010,28689,79309,6404,4463,5187,4069,4090,3398,3484,3870,3501,5645,8442,10532,5811,3897,3388,3128
"Erie County, New York: Summary level: 050, state:36> county:029",855,60652,34649,398326,26321,17946,19682,17853,16846,20923,15541,16264,15855,29526,43066,51256,36005,20950,27669,22623
"Sullivan County, New York: Summary level: 050, state:36> county:105",820,60137,30957,28960,2464,1731,1015,1189,1114,1455,858,1222,1186,2173,2988,3899,2974,1444,2001,1247
"Orange County, New York: Summary level: 050, state:36> county:071",1324,84458,36641,131421,6619,5317,4839,5088,2380,3467,3641,4572,4144,7427,10522,18447,16269,10191,13466,15032
