,Total
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",484
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",36664
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",3105
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2763
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1597
"Brockport village, New York: Summary level: 160, state:36> place:08466",8369
"Brocton village, New York: Summary level: 160, state:36> place:08488",1562
"Bronxville village, New York: Summary level: 160, state:36> place:08532",6352
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",3192
"Brookville village, New York: Summary level: 160, state:36> place:10132",3492
"Brownville village, New York: Summary level: 160, state:36> place:10231",828
"Brushton village, New York: Summary level: 160, state:36> place:10286",491
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2246
"Buffalo city, New York: Summary level: 160, state:36> place:11000",260568
"Burdett village, New York: Summary level: 160, state:36> place:11132",305
"Burke village, New York: Summary level: 160, state:36> place:11154",174
"Busti CDP, New York: Summary level: 160, state:36> place:11440",435
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",136
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1235
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3295
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2176
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",136
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",6401
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1716
"Camden village, New York: Summary level: 160, state:36> place:11847",2354
"Camillus village, New York: Summary level: 160, state:36> place:11902",1221
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",755
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",2325
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",10537
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",676
"Canastota village, New York: Summary level: 160, state:36> place:12188",4760
"Candor village, New York: Summary level: 160, state:36> place:12210",765
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2273
"Canton village, New York: Summary level: 160, state:36> place:12331",6551
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",629
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",5600
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6553
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",491
"Carthage village, New York: Summary level: 160, state:36> place:12683",3706
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",694
"Castile village, New York: Summary level: 160, state:36> place:12771",1063
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1433
"Castorland village, New York: Summary level: 160, state:36> place:12881",336
"Cato village, New York: Summary level: 160, state:36> place:12958",569
"Catskill village, New York: Summary level: 160, state:36> place:13002",4044
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",1107
"Cayuga village, New York: Summary level: 160, state:36> place:13068",526
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",3747
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",2804
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6598
"Celoron village, New York: Summary level: 160, state:36> place:13288",1203
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",32738
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",7968
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5554
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",313
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",36944
"Central Square village, New York: Summary level: 160, state:36> place:13585",2026
"Centre Island village, New York: Summary level: 160, state:36> place:13618",385
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1971
"Champlain village, New York: Summary level: 160, state:36> place:13739",986
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1132
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",662
"Chatham village, New York: Summary level: 160, state:36> place:14003",1647
"Chaumont village, New York: Summary level: 160, state:36> place:14036",634
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",502
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",539
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",75002
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2940
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",518
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",472
"Chester village, New York: Summary level: 160, state:36> place:15297",3961
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",888
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",7987
"Chittenango village, New York: Summary level: 160, state:36> place:15561",5057
"Churchville village, New York: Summary level: 160, state:36> place:15638",1971
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2799
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",2125
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",2016
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4575
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",717
"Clayton village, New York: Summary level: 160, state:36> place:16089",1953
"Clayville village, New York: Summary level: 160, state:36> place:16111",357
"Cleveland village, New York: Summary level: 160, state:36> place:16188",785
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",2053
"Clinton village, New York: Summary level: 160, state:36> place:16419",2092
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1250
"Clyde village, New York: Summary level: 160, state:36> place:16573",1989
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",4670
"Cohocton village, New York: Summary level: 160, state:36> place:16727",1091
"Cohoes city, New York: Summary level: 160, state:36> place:16749",16180
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",320
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1755
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",4974
"Colonie village, New York: Summary level: 160, state:36> place:17332",7845
"Colton CDP, New York: Summary level: 160, state:36> place:17398",403
"Commack CDP, New York: Summary level: 160, state:36> place:17530",35757
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",298
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2999
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8810
"Constableville village, New York: Summary level: 160, state:36> place:17882",267
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1028
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",442
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",2080
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",699
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",608
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",22155
"Coram CDP, New York: Summary level: 160, state:36> place:18157",39935
"Corfu village, New York: Summary level: 160, state:36> place:18201",749
"Corinth village, New York: Summary level: 160, state:36> place:18212",2552
"Corning city, New York: Summary level: 160, state:36> place:18256",11128
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",3010
"Cortland city, New York: Summary level: 160, state:36> place:18388",19187
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1371
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2128
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",216
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2794
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",480
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",197
"Croghan village, New York: Summary level: 160, state:36> place:19070",574
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",2168
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",8113
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2651
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1860
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",528
"Cuba village, New York: Summary level: 160, state:36> place:19356",1591
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1615
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",151
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3246
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",429
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",373
"Dannemora village, New York: Summary level: 160, state:36> place:19642",3930
"Dansville village, New York: Summary level: 160, state:36> place:19664",4695
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",369
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",27482
"Deferiet village, New York: Summary level: 160, state:36> place:19994",263
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",360
"Delanson village, New York: Summary level: 160, state:36> place:20082",373
"Delevan village, New York: Summary level: 160, state:36> place:20115",1239
"Delhi village, New York: Summary level: 160, state:36> place:20126",3237
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",944
"Depew village, New York: Summary level: 160, state:36> place:20313",15283
"Deposit village, New York: Summary level: 160, state:36> place:20346",1868
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",6
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",515
"Dexter village, New York: Summary level: 160, state:36> place:20500",1271
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",26585
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",10948
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2084
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",1282
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",629
"Dresden village, New York: Summary level: 160, state:36> place:20896",365
"Dryden village, New York: Summary level: 160, state:36> place:20951",1971
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",329
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",283
"Dundee village, New York: Summary level: 160, state:36> place:21050",1736
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",12458
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",631
"Earlville village, New York: Summary level: 160, state:36> place:21523",957
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",2109
"East Aurora village, New York: Summary level: 160, state:36> place:21589",6237
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",494
"Monroe village, New York: Summary level: 160, state:36> place:47988",8455
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",18341
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3471
"Montebello village, New York: Summary level: 160, state:36> place:48090",4558
"Montgomery village, New York: Summary level: 160, state:36> place:48142",4000
"Monticello village, New York: Summary level: 160, state:36> place:48175",6781
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1844
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",2661
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",266
"Moravia village, New York: Summary level: 160, state:36> place:48296",1362
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",2156
"Morris village, New York: Summary level: 160, state:36> place:48483",467
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1937
"Morristown village, New York: Summary level: 160, state:36> place:48571",509
"Morrisville village, New York: Summary level: 160, state:36> place:48593",2117
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1512
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6863
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10936
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2836
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11750
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",67653
"Munnsville village, New York: Summary level: 160, state:36> place:49220",451
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2683
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2395
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3555
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6512
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",18578
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",1314
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",164
"Naples village, New York: Summary level: 160, state:36> place:49429",1115
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",470
"Nassau village, New York: Summary level: 160, state:36> place:49506",1099
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",741
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2237
"Nelliston village, New York: Summary level: 160, state:36> place:49748",595
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",759
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13790
"Newark village, New York: Summary level: 160, state:36> place:49891",9059
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1031
"New Berlin village, New York: Summary level: 160, state:36> place:49946",1225
"Newburgh city, New York: Summary level: 160, state:36> place:50034",28731
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",13932
"New City CDP, New York: Summary level: 160, state:36> place:50100",33510
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3316
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",619
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1732
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5200
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9730
"New Paltz village, New York: Summary level: 160, state:36> place:50551",6898
"Newport village, New York: Summary level: 160, state:36> place:50573",449
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",77820
"New Square village, New York: Summary level: 160, state:36> place:50705",7127
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",329
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",8850
"New York city, New York: Summary level: 160, state:36> place:51000",8268999
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3345
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",49920
"Nichols village, New York: Summary level: 160, state:36> place:51110",414
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4918
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1645
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1798
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1172
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",19502
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",503
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",17079
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1441
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",20064
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",20210
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",11404
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2476
"North Collins village, New York: Summary level: 160, state:36> place:51792",1301
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",386
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",3004
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",9854
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",4086
"North Haven village, New York: Summary level: 160, state:36> place:52188",967
"North Hills village, New York: Summary level: 160, state:36> place:53022",5093
"North Hornell village, New York: Summary level: 160, state:36> place:53055",748
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",11818
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",678
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",18651
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",11816
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",14581
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",7051
"Northport village, New York: Summary level: 160, state:36> place:53396",7405
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",635
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4375
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6733
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",31373
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",16817
"Northville village, New York: Summary level: 160, state:36> place:53770",899
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1639
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11742
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3920
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1135
"Norwich city, New York: Summary level: 160, state:36> place:53979",7135
"Norwood village, New York: Summary level: 160, state:36> place:54012",1614
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",3673
"Nunda village, New York: Summary level: 160, state:36> place:54078",1523
"Nyack village, New York: Summary level: 160, state:36> place:54100",6980
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",603
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7329
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1864
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",81
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",30097
"Odessa village, New York: Summary level: 160, state:36> place:54452",631
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",11097
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1227
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5461
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",2661
"Old Field village, New York: Summary level: 160, state:36> place:54617",898
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",598
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",4648
"Olean city, New York: Summary level: 160, state:36> place:54716",14316
"Oneida city, New York: Summary level: 160, state:36> place:54837",11333
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",725
"Oneonta city, New York: Summary level: 160, state:36> place:54881",13922
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",2171
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",4492
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",7460
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3229
"Orient CDP, New York: Summary level: 160, state:36> place:55321",714
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1329
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",807
"Ossining village, New York: Summary level: 160, state:36> place:55530",25158
"Oswego city, New York: Summary level: 160, state:36> place:55574",18148
"Otego village, New York: Summary level: 160, state:36> place:55618",1204
"Otisville village, New York: Summary level: 160, state:36> place:55673",1219
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19678
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",6477
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",6115
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6748
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4429
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1137
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4171
"East Hills village, New York: Summary level: 160, state:36> place:22260",6984
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13796
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2341
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",234
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",1012
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",19265
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",37687
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",5109
"East Nassau village, New York: Summary level: 160, state:36> place:22557",565
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",19877
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2689
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",22292
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",1524
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4777
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",574
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6588
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9841
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6463
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",3063
"East Williston village, New York: Summary level: 160, state:36> place:23217",2570
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1323
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3493
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",778
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",14764
"Elba village, New York: Summary level: 160, state:36> place:23745",689
"Elbridge village, New York: Summary level: 160, state:36> place:23789",1006
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",713
"Ellenville village, New York: Summary level: 160, state:36> place:23965",4140
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",259
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",200
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",2659
"Elmira city, New York: Summary level: 160, state:36> place:24229",29176
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",4167
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",35991
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4709
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",10704
"Endicott village, New York: Summary level: 160, state:36> place:24515",13291
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",11147
"Erin CDP, New York: Summary level: 160, state:36> place:24625",367
"Esperance village, New York: Summary level: 160, state:36> place:24713",408
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",597
"Fabius village, New York: Summary level: 160, state:36> place:24867",377
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",718
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",10154
