,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Hilton village, New York: Summary level: 160, state:36> place:34847",5564,654,318,85,4910,1161,135,137,60,139,136
"Pittsford village, New York: Summary level: 160, state:36> place:58354",1621,37,0,0,1584,412,35,0,0,59,35
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",8929,286,88,16,8643,2163,167,16,8,111,384
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",23575,1064,306,0,22511,6281,529,0,0,607,627
"Remsen village, New York: Summary level: 160, state:36> place:61115",394,80,41,0,314,51,4,8,0,7,9
"Sherrill city, New York: Summary level: 160, state:36> place:66993",2931,212,40,0,2719,592,66,0,10,82,63
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",775,75,11,0,700,45,0,4,7,27,23
"Yorkville village, New York: Summary level: 160, state:36> place:84099",2465,299,147,0,2166,452,46,33,0,153,59
"Camillus village, New York: Summary level: 160, state:36> place:11902",1115,121,26,0,994,184,0,4,8,8,29
"Fabius village, New York: Summary level: 160, state:36> place:24867",323,22,5,0,301,83,3,0,3,10,4
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",623,35,8,0,588,158,20,0,0,20,22
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",4594,70,28,0,4524,1219,83,0,0,172,187
"Portville village, New York: Summary level: 160, state:36> place:59498",875,93,18,0,782,168,21,50,12,21,38
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",791,100,7,0,691,113,8,0,0,25,9
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3452,316,141,0,3136,842,69,0,35,313,194
"Glen Park village, New York: Summary level: 160, state:36> place:29322",540,91,27,5,449,122,11,12,2,23,11
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",985,48,13,0,937,200,0,13,13,31,74
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",353,23,2,0,330,58,1,1,0,3,0
"Oneonta city, New York: Summary level: 160, state:36> place:54881",9062,2313,1577,39,6749,1336,103,33,27,182,196
"West End CDP, New York: Summary level: 160, state:36> place:79796",1864,436,20,0,1428,206,0,0,0,12,11
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2002,40,0,0,1962,504,59,0,23,71,116
"Galway village, New York: Summary level: 160, state:36> place:28101",215,51,29,5,164,25,4,5,15,6,3
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",709,193,60,33,516,181,0,0,61,0,0
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",2124,294,69,0,1830,410,15,0,34,195,138
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4480,257,24,0,4223,788,112,0,0,86,109
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",4089,301,147,0,3788,761,103,0,0,225,31
"Patchogue village, New York: Summary level: 160, state:36> place:56660",11972,1247,253,0,10725,2487,58,32,63,352,233
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",747,0,0,0,747,43,0,0,0,0,0
"Southold CDP, New York: Summary level: 160, state:36> place:69452",6117,678,331,95,5439,937,0,0,95,39,0
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",2138,12,4,0,2126,479,37,0,0,54,38
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",14897,682,189,8,14215,3765,384,37,22,438,461
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",15441,1651,553,47,13790,3281,247,108,213,570,397
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",917,25,3,0,892,225,14,0,0,22,13
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",26299,2964,1204,50,23335,5764,387,125,98,715,735
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",4110,245,69,0,3865,1087,44,0,58,49,66
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",19406,1108,379,41,18298,5411,380,49,67,532,577
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",840,233,75,7,607,134,2,12,3,14,15
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",451,80,30,0,371,84,6,0,0,0,23
"Fredonia village, New York: Summary level: 160, state:36> place:27419",8028,1893,1008,93,6135,1162,61,84,180,121,123
"Constableville village, New York: Summary level: 160, state:36> place:17882",268,38,14,2,230,39,4,5,6,14,4
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",757,72,14,0,685,157,16,3,0,15,21
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",524,63,21,0,461,91,11,7,0,14,2
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",1470,216,67,9,1254,192,16,9,20,20,9
"Richmondville village, New York: Summary level: 160, state:36> place:61588",840,135,17,0,705,169,6,8,7,21,11
"Ithaca city, New York: Summary level: 160, state:36> place:38077",22528,9562,7360,64,12966,4616,120,81,52,236,158
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",1658,335,98,0,1323,241,20,20,19,11,27
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",556,75,14,3,481,55,0,3,0,6,13
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",1634,149,62,0,1485,273,0,0,0,35,0
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",441,57,11,6,384,112,6,0,6,19,14
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",937,128,29,12,809,157,26,12,0,59,16
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4565,193,62,0,4372,1291,187,0,0,303,210
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",542,83,43,17,459,112,11,0,17,9,7
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",2373,256,49,0,2117,439,68,0,0,79,96
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",822,166,37,0,656,137,8,9,0,20,25
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",796,92,25,13,704,109,10,21,8,7,7
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",134,0,0,0,134,0,0,0,0,0,30
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",267,0,0,0,267,81,0,0,0,0,0
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",99,0,0,0,99,14,4,0,0,6,0
"Hall CDP, New York: Summary level: 160, state:36> place:31533",113,5,0,0,108,6,0,0,0,0,6
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",5336,647,252,0,4689,1089,55,13,13,81,139
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",849,141,48,0,708,161,24,0,0,36,21
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",613,45,13,0,568,124,3,0,11,3,17
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",423,51,35,0,372,36,0,0,0,0,0
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",151,8,0,0,143,41,0,0,0,0,0
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",798,18,0,0,780,253,0,0,0,112,0
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",162,5,0,0,157,0,0,0,0,0,0
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",105,12,2,0,93,26,0,0,0,0,4
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",1968,189,70,0,1779,411,18,12,4,33,14
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",1814,46,33,0,1768,492,57,0,0,44,97
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",363,71,8,0,292,55,3,0,0,2,0
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",172,0,0,0,172,8,0,0,0,0,14
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",186,89,45,0,97,4,0,0,0,3,0
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",963,423,136,0,540,58,0,44,39,0,0
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",701,63,28,0,638,186,0,10,0,26,0
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",85,30,0,0,55,0,0,0,0,0,0
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",330,5,0,0,325,83,0,0,0,0,0
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",363,60,11,0,303,71,3,0,4,3,0
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",107,8,0,0,99,14,0,0,0,0,0
"Machias CDP, New York: Summary level: 160, state:36> place:44226",418,26,8,0,392,103,17,0,0,32,5
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",644,138,41,7,506,130,0,9,6,5,13
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",291,0,0,0,291,19,0,0,0,25,0
"Marion CDP, New York: Summary level: 160, state:36> place:45634",1354,292,31,0,1062,219,18,0,0,9,38
"Sherburne village, New York: Summary level: 160, state:36> place:66883",1380,231,53,0,1149,166,15,4,9,8,57
"Farnham village, New York: Summary level: 160, state:36> place:25428",454,80,21,0,374,70,5,9,3,11,10
"Sherman village, New York: Summary level: 160, state:36> place:66949",708,166,86,0,542,151,20,15,0,23,38
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",526,138,62,8,388,62,6,2,2,5,13
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",1650,79,43,0,1571,481,0,0,0,18,37
"Island Park village, New York: Summary level: 160, state:36> place:37847",4371,237,10,0,4134,786,34,0,0,172,171
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",739,25,11,0,714,216,21,0,0,28,10
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1226,48,0,0,1178,260,17,0,0,33,19
"Angelica village, New York: Summary level: 160, state:36> place:02176",749,66,3,0,683,151,5,0,0,8,7
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",34603,1566,334,0,33037,7407,636,0,46,1008,1052
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",21287,511,123,0,20776,5197,413,0,0,618,400
"Celoron village, New York: Summary level: 160, state:36> place:13288",908,179,37,0,729,99,4,4,0,18,25
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",313,24,5,3,289,67,12,3,0,13,6
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",389,104,37,0,285,77,11,18,19,19,17
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",794,129,34,1,665,144,3,9,3,14,8
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",1687,38,28,15,1649,526,53,30,0,81,26
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",1069,124,75,0,945,216,0,0,7,0,79
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",3077,311,73,0,2766,591,58,0,0,82,106
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1895,215,67,16,1680,337,21,16,15,19,21
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",505,52,35,0,453,56,0,0,0,0,9
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",8938,834,94,0,8104,1755,118,0,0,267,146
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",421,61,18,0,360,40,4,0,0,0,8
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",39,0,0,0,39,0,0,0,0,0,0
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",454,68,38,0,386,28,0,0,0,0,0
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",1786,174,0,0,1612,264,42,0,0,39,58
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",99,4,0,0,95,30,0,0,0,5,5
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",372,0,0,0,372,45,0,0,0,0,9
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",643,137,55,0,506,107,6,18,11,13,12
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0,0,0,0,0,0,0,0,0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",562,16,0,0,546,87,0,0,0,7,13
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",534,47,17,0,487,76,7,2,0,24,8
"Milford village, New York: Summary level: 160, state:36> place:47229",373,30,6,0,343,70,6,0,0,7,10
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",1039,155,53,3,884,125,7,13,0,29,16
"North Hornell village, New York: Summary level: 160, state:36> place:53055",648,13,3,0,635,111,1,0,0,7,1
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6105,272,74,0,5833,1535,75,0,25,65,42
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",18275,1458,318,25,16817,4026,232,0,105,709,217
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",64409,9174,2772,204,55235,13426,967,400,606,1971,1726
"Peekskill city, New York: Summary level: 160, state:36> place:56979",22884,2835,634,49,20049,4678,291,73,43,659,674
"Rye city, New York: Summary level: 160, state:36> place:64309",15285,664,216,32,14621,4786,402,23,20,398,399
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",686,0,0,0,686,158,0,0,0,8,10
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",10805,440,24,0,10365,2383,158,0,0,259,317
"Johnstown city, New York: Summary level: 160, state:36> place:38781",7962,1145,456,0,6817,1539,75,30,37,144,91
"Central Square village, New York: Summary level: 160, state:36> place:13585",1815,258,41,0,1557,322,5,0,0,14,42
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",338,24,5,0,314,45,6,0,0,6,0
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",537,7,0,0,530,115,0,9,0,0,0
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",4972,119,44,0,4853,1310,68,0,0,248,111
"Otisville village, New York: Summary level: 160, state:36> place:55673",1203,95,38,0,1108,347,23,0,0,33,47
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",8434,1604,561,15,6830,1246,86,15,15,99,198
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",14044,1126,385,0,12918,4020,172,0,0,215,261
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",1359,103,46,0,1256,245,32,4,0,15,24
"Islip CDP, New York: Summary level: 160, state:36> place:37869",17460,1115,299,82,16345,3746,193,122,97,305,338
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",5341,140,30,0,5201,1378,97,31,0,171,112
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",3072,108,0,0,2964,461,33,0,0,176,220
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11218,742,303,0,10476,2566,213,0,181,306,160
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",3795,225,7,0,3570,849,0,0,56,51,67
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",7508,387,141,0,7121,1379,139,17,0,191,317
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",1899,65,14,0,1834,333,46,0,0,51,31
"St. James CDP, New York: Summary level: 160, state:36> place:64584",12385,378,36,0,12007,3426,272,0,0,363,270
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",1609,76,0,0,1533,419,0,0,0,86,0
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",27487,3446,1606,169,24041,6154,285,56,429,586,669
"Shoreham village, New York: Summary level: 160, state:36> place:67191",420,42,15,0,378,75,15,0,0,16,16
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",969,324,118,39,645,64,0,0,0,5,7
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",809,76,9,0,733,175,0,0,0,0,35
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",11685,1531,370,0,10154,2471,8,120,26,156,101
"Odessa village, New York: Summary level: 160, state:36> place:54452",481,77,14,2,404,38,8,18,2,35,5
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",1867,292,71,3,1575,335,25,28,13,48,60
"Interlaken village, New York: Summary level: 160, state:36> place:37528",575,85,21,0,490,108,3,6,1,7,13
"Belmont village, New York: Summary level: 160, state:36> place:05815",763,119,35,0,644,138,9,0,0,8,54
"Holland CDP, New York: Summary level: 160, state:36> place:35111",1169,88,11,0,1081,264,0,0,0,22,0
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",16593,3877,1416,110,12716,2576,222,348,285,424,462
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3106,49,0,0,3057,773,36,0,0,33,47
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",44021,2739,731,10,41282,8629,517,42,76,963,815
"Burdett village, New York: Summary level: 160, state:36> place:11132",416,36,4,0,380,78,2,2,6,2,8
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",1931,295,227,0,1636,447,0,0,0,36,89
"Groton village, New York: Summary level: 160, state:36> place:30961",1886,207,62,18,1679,339,36,34,18,36,41
"Lansing village, New York: Summary level: 160, state:36> place:41223",3252,418,226,0,2834,697,47,15,0,97,96
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",5146,128,49,0,5018,1218,125,0,0,149,150
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4453,78,0,0,4375,1190,52,0,0,101,29
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",7762,227,75,0,7535,2238,255,0,0,216,317
"Pelham village, New York: Summary level: 160, state:36> place:57001",6791,326,135,0,6465,2007,270,0,0,240,175
"Arcade village, New York: Summary level: 160, state:36> place:02407",2123,399,239,22,1724,414,35,40,23,46,38
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",1151,27,0,0,1124,260,0,0,0,47,0
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",7983,297,47,0,7686,1822,33,47,0,306,111
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",2120,0,0,0,2120,607,20,0,0,114,0
"Dundee village, New York: Summary level: 160, state:36> place:21050",1513,275,64,2,1238,181,24,17,28,51,51
"Richburg village, New York: Summary level: 160, state:36> place:61434",436,66,37,1,370,103,12,3,0,12,11
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",496,51,11,0,445,63,3,0,0,18,3
"Lakewood village, New York: Summary level: 160, state:36> place:41069",2742,261,79,20,2481,507,15,40,18,57,46
"Westfield village, New York: Summary level: 160, state:36> place:79939",2793,472,130,0,2321,566,27,42,0,36,24
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",15,0,0,0,15,0,0,0,0,0,0
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",3384,269,58,0,3115,868,84,9,15,176,21
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",686,55,8,4,631,212,13,4,4,4,31
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",296,33,0,0,263,95,0,0,12,0,4
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",2200,109,0,0,2091,514,19,0,0,113,90
"Meridian village, New York: Summary level: 160, state:36> place:46646",297,58,45,0,239,60,7,0,1,22,7
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",2744,129,37,0,2615,657,46,0,6,66,56
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",6797,401,186,0,6396,1589,78,0,0,199,114
"Angola village, New York: Summary level: 160, state:36> place:02198",2116,269,131,3,1847,397,12,10,10,49,25
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",3051,13,0,0,3038,900,80,0,0,38,129
"Gowanda village, New York: Summary level: 160, state:36> place:29630",2562,566,175,12,1996,389,0,41,5,79,46
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2798,86,0,0,2712,446,0,0,0,34,36
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",11559,2597,950,86,8962,1724,81,109,137,193,253
"Panama village, New York: Summary level: 160, state:36> place:56231",402,41,6,0,361,77,0,0,3,9,5
"Croghan village, New York: Summary level: 160, state:36> place:19070",573,63,18,6,510,90,3,0,0,25,32
"Lowville village, New York: Summary level: 160, state:36> place:43720",2997,424,99,0,2573,606,17,5,67,100,43
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1510,338,99,11,1172,207,0,39,10,6,45
"Lodi village, New York: Summary level: 160, state:36> place:43214",346,36,13,4,310,37,2,5,0,6,4
"Waterloo village, New York: Summary level: 160, state:36> place:78553",4479,539,146,0,3940,755,3,101,0,100,62
"Alfred village, New York: Summary level: 160, state:36> place:01198",754,277,252,0,477,145,7,0,0,13,2
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",500,105,41,3,395,73,3,12,12,0,0
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",793,71,49,0,722,198,25,0,16,18,59
"Hamilton village, New York: Summary level: 160, state:36> place:31709",1742,324,207,0,1418,281,31,0,0,57,23
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",5129,282,79,0,4847,1241,43,0,12,120,22
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",14922,760,360,69,14162,3422,168,69,0,405,316
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",177,3,0,0,174,25,2,0,0,2,2
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9417,474,112,0,8943,2328,87,0,0,165,119
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",3528,364,149,34,3164,938,85,34,0,209,66
