,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",318,24,0,0,294,15,0,0,0,0,0
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",522,26,12,0,496,193,9,0,0,7,19
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",71873,7291,2617,156,64582,13504,644,385,424,1357,1449
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2864,162,41,0,2702,635,25,0,0,49,60
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",505,126,37,0,379,85,5,5,5,12,7
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",469,76,29,0,393,58,0,0,3,0,0
"Chester village, New York: Summary level: 160, state:36> place:15297",3841,204,48,0,3637,816,15,14,15,69,100
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",864,66,4,0,798,305,32,0,24,55,8
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",7560,548,214,19,7012,1826,76,48,31,147,246
"Chittenango village, New York: Summary level: 160, state:36> place:15561",4766,412,170,0,4354,1005,77,34,34,143,143
"Churchville village, New York: Summary level: 160, state:36> place:15638",1912,131,64,10,1781,446,26,0,0,55,33
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2530,260,49,17,2270,621,52,18,0,31,52
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",2053,14,0,0,2039,637,51,0,0,91,32
