,Total,Owner occupied,Renter occupied
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",165,129,36
"Monroe village, New York: Summary level: 160, state:36> place:47988",2618,2121,497
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",3536,1410,2126
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",1737,1316,421
"Montebello village, New York: Summary level: 160, state:36> place:48090",1457,1245,212
"Montgomery village, New York: Summary level: 160, state:36> place:48142",1383,920,463
"Monticello village, New York: Summary level: 160, state:36> place:48175",2869,771,2098
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",759,405,354
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",1049,929,120
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",176,72,104
"Moravia village, New York: Summary level: 160, state:36> place:48296",575,396,179
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",1127,580,547
"Morris village, New York: Summary level: 160, state:36> place:48483",233,172,61
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",796,484,312
"Morristown village, New York: Summary level: 160, state:36> place:48571",198,149,49
"Morrisville village, New York: Summary level: 160, state:36> place:48593",296,172,124
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",582,528,54
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",2700,1786,914
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",4128,2167,1961
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",1133,555,578
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",4172,3966,206
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",25998,9790,16208
"Munnsville village, New York: Summary level: 160, state:36> place:49220",164,111,53
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",747,747,0
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",957,559,398
"Muttontown village, New York: Summary level: 160, state:36> place:49330",1054,1004,50
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",2195,2152,43
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",6721,4578,2143
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",521,388,133
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",90,75,15
"Naples village, New York: Summary level: 160, state:36> place:49429",441,292,149
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",199,150,49
"Nassau village, New York: Summary level: 160, state:36> place:49506",509,298,211
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",181,116,65
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",866,737,129
"Nelliston village, New York: Summary level: 160, state:36> place:49748",297,219,78
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",244,175,69
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",4457,3601,856
"Newark village, New York: Summary level: 160, state:36> place:49891",3761,2068,1693
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",422,314,108
"New Berlin village, New York: Summary level: 160, state:36> place:49946",448,283,165
"Newburgh city, New York: Summary level: 160, state:36> place:50034",9236,3070,6166
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",3109,1837,1272
"New City CDP, New York: Summary level: 160, state:36> place:50100",11001,9976,1025
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",1304,1023,281
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",287,263,24
"New Hartford village, New York: Summary level: 160, state:36> place:50298",828,514,314
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",1165,1137,28
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",3248,2616,632
"New Paltz village, New York: Summary level: 160, state:36> place:50551",2128,636,1492
"Newport village, New York: Summary level: 160, state:36> place:50573",218,107,111
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",28202,14070,14132
"New Square village, New York: Summary level: 160, state:36> place:50705",1240,130,1110
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",173,143,30
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",3415,2538,877
"New York city, New York: Summary level: 160, state:36> place:51000",3070298,989708,2080590
"New York Mills village, New York: Summary level: 160, state:36> place:51011",1582,777,805
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",21737,12138,9599
"Nichols village, New York: Summary level: 160, state:36> place:51110",166,123,43
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",1803,1667,136
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",541,504,37
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",719,616,103
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",504,326,178
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",5407,3436,1971
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",183,122,61
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",6027,5011,1016
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",557,496,61
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",4751,3528,1223
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",6485,5855,630
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",3551,2098,1453
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",1090,841,249
"North Collins village, New York: Summary level: 160, state:36> place:51792",439,322,117
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",176,88,88
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",1152,606,546
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",4213,2473,1740
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",1216,1190,26
"North Haven village, New York: Summary level: 160, state:36> place:52188",390,338,52
"North Hills village, New York: Summary level: 160, state:36> place:53022",2400,2130,270
"North Hornell village, New York: Summary level: 160, state:36> place:53055",335,296,39
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",3736,2659,1077
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",221,179,42
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",6185,5749,436
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",3822,3554,268
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",4622,4473,149
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",2260,2067,193
"Northport village, New York: Summary level: 160, state:36> place:53396",2773,2193,580
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",243,221,22
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",1830,1495,335
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",3303,2147,1156
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",13937,9299,4638
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",5229,4774,455
"Northville village, New York: Summary level: 160, state:36> place:53770",403,310,93
"Northville CDP, New York: Summary level: 160, state:36> place:53775",659,602,57
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",4157,3905,252
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",1724,1535,189
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",522,261,261
"Norwich city, New York: Summary level: 160, state:36> place:53979",2924,1505,1419
"Norwood village, New York: Summary level: 160, state:36> place:54012",650,445,205
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",1619,1331,288
"Nunda village, New York: Summary level: 160, state:36> place:54078",599,341,258
"Nyack village, New York: Summary level: 160, state:36> place:54100",3334,1099,2235
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",231,231,0
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",2840,2442,398
"Oakfield village, New York: Summary level: 160, state:36> place:54155",702,454,248
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",39,39,0
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",10794,9527,1267
"Odessa village, New York: Summary level: 160, state:36> place:54452",275,183,92
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",4231,2661,1570
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",530,409,121
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",1809,1626,183
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",795,725,70
"Old Field village, New York: Summary level: 160, state:36> place:54617",320,308,12
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",342,196,146
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",921,828,93
"Olean city, New York: Summary level: 160, state:36> place:54716",6247,3454,2793
"Oneida city, New York: Summary level: 160, state:36> place:54837",4552,2667,1885
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",285,203,82
"Oneonta city, New York: Summary level: 160, state:36> place:54881",4372,1890,2482
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",998,763,235
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",1433,885,548
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",2641,2345,296
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",1449,954,495
"Orient CDP, New York: Summary level: 160, state:36> place:55321",346,311,35
"Oriskany village, New York: Summary level: 160, state:36> place:55365",523,363,160
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",314,190,124
"Ossining village, New York: Summary level: 160, state:36> place:55530",7789,3878,3911
"Oswego city, New York: Summary level: 160, state:36> place:55574",7476,3879,3597
"Otego village, New York: Summary level: 160, state:36> place:55618",491,348,143
